June 26, 2017 20:23:04:580000		LiftLandTableRepeat
June 26, 2017 20:23:43:902000	127.0.0.1-9559	-1
June 26, 2017 20:23:51:701000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:23:51:703000	127.0.0.1-9557	-1
June 26, 2017 20:23:51:706000	127.0.0.1-9557	-1
June 26, 2017 20:23:51:712000	127.0.0.1-9557	-1
June 26, 2017 20:23:51:715000	127.0.0.1-9557	-1
June 26, 2017 20:23:54:304000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:23:54:306000	127.0.0.1-9559	-1
June 26, 2017 20:23:54:308000	127.0.0.1-9559	-1
June 26, 2017 20:23:54:309000	127.0.0.1-9559	-1
June 26, 2017 20:23:54:311000	127.0.0.1-9559	-1
June 26, 2017 20:24:02:361000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:24:02:363000	127.0.0.1-9557	-1
June 26, 2017 20:24:02:365000	127.0.0.1-9557	-1
June 26, 2017 20:24:02:366000	127.0.0.1-9557	-1
June 26, 2017 20:24:02:371000	127.0.0.1-9557	-1
June 26, 2017 20:24:04:570000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:24:04:572000	127.0.0.1-9559	-1
June 26, 2017 20:24:04:575000	127.0.0.1-9559	-1
June 26, 2017 20:24:04:578000	127.0.0.1-9559	-1
June 26, 2017 20:24:04:579000	127.0.0.1-9559	-1
June 26, 2017 20:24:12:579000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:24:12:582000	127.0.0.1-9557	-1
June 26, 2017 20:24:12:584000	127.0.0.1-9557	-1
June 26, 2017 20:24:12:586000	127.0.0.1-9557	-1
June 26, 2017 20:24:12:587000	127.0.0.1-9557	-1
June 26, 2017 20:24:15:019000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:24:15:022000	127.0.0.1-9559	-1
June 26, 2017 20:24:15:024000	127.0.0.1-9559	-1
June 26, 2017 20:24:15:026000	127.0.0.1-9559	-1
June 26, 2017 20:24:15:028000	127.0.0.1-9559	-1
June 26, 2017 20:24:23:106000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:24:23:115000	127.0.0.1-9557	-1
June 26, 2017 20:24:23:117000	127.0.0.1-9557	-1
June 26, 2017 20:24:23:120000	127.0.0.1-9557	-1
June 26, 2017 20:24:23:121000	127.0.0.1-9557	-1
June 26, 2017 20:24:25:372000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:24:25:374000	127.0.0.1-9559	-1
June 26, 2017 20:24:25:376000	127.0.0.1-9559	-1
June 26, 2017 20:24:25:378000	127.0.0.1-9559	-1
June 26, 2017 20:24:25:380000	127.0.0.1-9559	-1
June 26, 2017 20:24:33:606000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:24:33:608000	127.0.0.1-9557	-1
June 26, 2017 20:24:33:610000	127.0.0.1-9557	-1
June 26, 2017 20:24:33:611000	127.0.0.1-9557	-1
June 26, 2017 20:24:33:613000	127.0.0.1-9557	-1
June 26, 2017 20:24:35:717000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:24:35:719000	127.0.0.1-9559	-1
June 26, 2017 20:24:35:721000	127.0.0.1-9559	-1
June 26, 2017 20:24:35:723000	127.0.0.1-9559	-1
June 26, 2017 20:24:35:727000	127.0.0.1-9559	-1
June 26, 2017 20:24:43:855000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:24:43:857000	127.0.0.1-9557	-1
June 26, 2017 20:24:43:859000	127.0.0.1-9557	-1
June 26, 2017 20:24:43:862000	127.0.0.1-9557	-1
June 26, 2017 20:24:43:864000	127.0.0.1-9557	-1
June 26, 2017 20:24:46:067000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:24:46:069000	127.0.0.1-9559	252
June 26, 2017 20:24:46:071000	127.0.0.1-9559	638
June 26, 2017 20:24:46:073000	127.0.0.1-9559	0
June 26, 2017 20:24:46:075000	127.0.0.1-9559	35
June 26, 2017 20:24:54:354000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:24:54:355000	127.0.0.1-9557	-1
June 26, 2017 20:24:54:357000	127.0.0.1-9557	-1
June 26, 2017 20:24:54:359000	127.0.0.1-9557	-1
June 26, 2017 20:24:54:361000	127.0.0.1-9557	-1
June 26, 2017 20:24:55:455000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:24:55:460000	127.0.0.1-9559	28
June 26, 2017 20:24:55:462000	127.0.0.1-9559	638
June 26, 2017 20:24:55:464000	127.0.0.1-9559	0
June 26, 2017 20:24:55:467000	127.0.0.1-9559	67
June 26, 2017 20:25:04:436000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:25:04:438000	127.0.0.1-9557	-1
June 26, 2017 20:25:04:440000	127.0.0.1-9557	-1
June 26, 2017 20:25:04:442000	127.0.0.1-9557	-1
June 26, 2017 20:25:04:445000	127.0.0.1-9557	-1
June 26, 2017 20:25:04:866000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:25:04:872000	127.0.0.1-9559	0
June 26, 2017 20:25:04:881000	127.0.0.1-9559	638
June 26, 2017 20:25:04:885000	127.0.0.1-9559	0
June 26, 2017 20:25:04:888000	127.0.0.1-9559	107
June 26, 2017 20:25:14:283000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:25:14:285000	127.0.0.1-9559	0
June 26, 2017 20:25:14:287000	127.0.0.1-9559	638
June 26, 2017 20:25:14:290000	127.0.0.1-9559	0
June 26, 2017 20:25:14:291000	127.0.0.1-9559	127
June 26, 2017 20:25:14:954000	127.0.0.1-9557	Four extreme points are: 
June 26, 2017 20:25:14:957000	127.0.0.1-9557	624
June 26, 2017 20:25:14:958000	127.0.0.1-9557	638
June 26, 2017 20:25:14:959000	127.0.0.1-9557	0
June 26, 2017 20:25:14:960000	127.0.0.1-9557	3
June 26, 2017 20:25:24:099000	127.0.0.1-9559	Four extreme points are: 
June 26, 2017 20:25:24:112000	127.0.0.1-9559	0
June 26, 2017 20:25:24:114000	127.0.0.1-9559	638
June 26, 2017 20:25:24:116000	127.0.0.1-9559	0
June 26, 2017 20:25:24:120000	127.0.0.1-9559	143
