June 02, 2017 05:56:13:395000		MOVE  NAO
June 02, 2017 05:56:18:785000	127.0.0.1-9557	SendMessage
June 02, 2017 05:56:18:787000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 02, 2017 05:56:18:789000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 02, 2017 05:56:18:791000	127.0.0.1-9557	read messages
June 02, 2017 05:56:18:794000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 02, 2017 05:56:21:116000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 02, 2017 05:56:21:120000	127.0.0.1-9557	[440, 55]
June 02, 2017 05:56:21:123000	127.0.0.1-9557	[(423, 39), (424, 36), (455, 43), (440, 55), [640, 480]]
June 02, 2017 05:56:24:087000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:56:24:089000	127.0.0.1-9557	256
June 02, 2017 05:56:24:103000	127.0.0.1-9557	638
June 02, 2017 05:56:24:104000	127.0.0.1-9557	0
June 02, 2017 05:56:24:106000	127.0.0.1-9557	179
June 02, 2017 05:56:24:108000	127.0.0.1-9557	Keep walking until very close to table
June 02, 2017 05:56:27:806000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:56:27:808000	127.0.0.1-9557	252
June 02, 2017 05:56:27:809000	127.0.0.1-9557	638
June 02, 2017 05:56:27:810000	127.0.0.1-9557	0
June 02, 2017 05:56:27:813000	127.0.0.1-9557	183
June 02, 2017 05:56:27:838000	127.0.0.1-9557	mask sizes
June 02, 2017 05:56:27:843000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 02, 2017 05:56:27:857000	127.0.0.1-9557	left value Y
June 02, 2017 05:56:27:862000	127.0.0.1-9557	178
June 02, 2017 05:56:27:867000	127.0.0.1-9557	left value Y
June 02, 2017 05:56:27:870000	127.0.0.1-9557	174
June 02, 2017 05:56:27:877000	127.0.0.1-9557	left value Y
June 02, 2017 05:56:27:884000	127.0.0.1-9557	170
June 02, 2017 05:56:27:905000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 02, 2017 05:56:38:962000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:56:38:965000	127.0.0.1-9557	-1
June 02, 2017 05:56:38:970000	127.0.0.1-9557	-1
June 02, 2017 05:56:38:974000	127.0.0.1-9557	-1
June 02, 2017 05:56:38:976000	127.0.0.1-9557	-1
June 02, 2017 05:56:48:183000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:56:48:185000	127.0.0.1-9557	-1
June 02, 2017 05:56:48:187000	127.0.0.1-9557	-1
June 02, 2017 05:56:48:189000	127.0.0.1-9557	-1
June 02, 2017 05:56:48:191000	127.0.0.1-9557	-1
June 02, 2017 05:56:57:545000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:56:57:546000	127.0.0.1-9557	-1
June 02, 2017 05:56:57:548000	127.0.0.1-9557	-1
June 02, 2017 05:56:57:549000	127.0.0.1-9557	-1
June 02, 2017 05:56:57:551000	127.0.0.1-9557	-1
June 02, 2017 05:57:06:918000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:57:06:920000	127.0.0.1-9557	-1
June 02, 2017 05:57:06:922000	127.0.0.1-9557	-1
June 02, 2017 05:57:06:924000	127.0.0.1-9557	-1
June 02, 2017 05:57:06:926000	127.0.0.1-9557	-1
June 02, 2017 05:57:16:078000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:57:16:079000	127.0.0.1-9557	248
June 02, 2017 05:57:16:081000	127.0.0.1-9557	638
June 02, 2017 05:57:16:082000	127.0.0.1-9557	0
June 02, 2017 05:57:16:084000	127.0.0.1-9557	115
June 02, 2017 05:57:25:642000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:57:25:643000	127.0.0.1-9557	292
June 02, 2017 05:57:25:645000	127.0.0.1-9557	638
June 02, 2017 05:57:25:647000	127.0.0.1-9557	0
June 02, 2017 05:57:25:648000	127.0.0.1-9557	391
June 02, 2017 05:57:42:494000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:57:42:496000	127.0.0.1-9557	0
June 02, 2017 05:57:42:498000	127.0.0.1-9557	638
June 02, 2017 05:57:42:500000	127.0.0.1-9557	0
June 02, 2017 05:57:42:503000	127.0.0.1-9557	439
June 02, 2017 05:57:50:850000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 02, 2017 05:57:50:852000	127.0.0.1-9557	[260, 247]
June 02, 2017 05:57:50:856000	127.0.0.1-9557	[(259, 231), (292, 64), (319, 95), (260, 247), [640, 480]]
June 02, 2017 05:57:53:736000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:57:53:739000	127.0.0.1-9557	0
June 02, 2017 05:57:53:743000	127.0.0.1-9557	638
June 02, 2017 05:57:53:750000	127.0.0.1-9557	0
June 02, 2017 05:57:53:760000	127.0.0.1-9557	439
June 02, 2017 05:57:53:784000	127.0.0.1-9557	Keep walking until very close to table
June 02, 2017 05:57:57:946000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:57:57:948000	127.0.0.1-9557	0
June 02, 2017 05:57:57:950000	127.0.0.1-9557	638
June 02, 2017 05:57:57:952000	127.0.0.1-9557	0
June 02, 2017 05:57:57:955000	127.0.0.1-9557	439
June 02, 2017 05:57:57:988000	127.0.0.1-9557	mask sizes
June 02, 2017 05:57:57:991000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 02, 2017 05:57:58:004000	127.0.0.1-9557	left value Y
June 02, 2017 05:57:58:007000	127.0.0.1-9557	418
June 02, 2017 05:57:58:012000	127.0.0.1-9557	left value Y
June 02, 2017 05:57:58:026000	127.0.0.1-9557	414
June 02, 2017 05:57:58:032000	127.0.0.1-9557	left value Y
June 02, 2017 05:57:58:039000	127.0.0.1-9557	402
June 02, 2017 05:58:08:605000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:58:08:611000	127.0.0.1-9557	0
June 02, 2017 05:58:08:616000	127.0.0.1-9557	638
June 02, 2017 05:58:08:621000	127.0.0.1-9557	0
June 02, 2017 05:58:08:627000	127.0.0.1-9557	439
June 02, 2017 05:58:08:728000	127.0.0.1-9557	mask sizes
June 02, 2017 05:58:08:738000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 02, 2017 05:58:08:755000	127.0.0.1-9557	left value Y
June 02, 2017 05:58:08:757000	127.0.0.1-9557	422
June 02, 2017 05:58:08:759000	127.0.0.1-9557	left value Y
June 02, 2017 05:58:08:761000	127.0.0.1-9557	418
June 02, 2017 05:58:08:769000	127.0.0.1-9557	left value Y
June 02, 2017 05:58:08:772000	127.0.0.1-9557	414
June 02, 2017 05:58:19:446000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:58:19:449000	127.0.0.1-9557	0
June 02, 2017 05:58:19:451000	127.0.0.1-9557	638
June 02, 2017 05:58:19:453000	127.0.0.1-9557	0
June 02, 2017 05:58:19:455000	127.0.0.1-9557	439
June 02, 2017 05:58:19:476000	127.0.0.1-9557	mask sizes
June 02, 2017 05:58:19:479000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 02, 2017 05:58:19:492000	127.0.0.1-9557	left value Y
June 02, 2017 05:58:19:498000	127.0.0.1-9557	422
June 02, 2017 05:58:19:504000	127.0.0.1-9557	left value Y
June 02, 2017 05:58:19:509000	127.0.0.1-9557	414
June 02, 2017 05:58:19:512000	127.0.0.1-9557	left value Y
June 02, 2017 05:58:19:516000	127.0.0.1-9557	414
June 02, 2017 05:58:26:233000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:58:26:236000	127.0.0.1-9557	0
June 02, 2017 05:58:26:238000	127.0.0.1-9557	638
June 02, 2017 05:58:26:241000	127.0.0.1-9557	0
June 02, 2017 05:58:26:244000	127.0.0.1-9557	439
June 02, 2017 05:58:26:277000	127.0.0.1-9557	mask sizes
June 02, 2017 05:58:26:279000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 02, 2017 05:58:26:284000	127.0.0.1-9557	left value Y
June 02, 2017 05:58:26:287000	127.0.0.1-9557	422
June 02, 2017 05:58:26:290000	127.0.0.1-9557	left value Y
June 02, 2017 05:58:26:292000	127.0.0.1-9557	418
June 02, 2017 05:58:26:296000	127.0.0.1-9557	left value Y
