May 31, 2017 18:59:09:361000		MOVE  NAO
May 31, 2017 18:59:15:131000	127.0.0.1-9557	SendMessage
May 31, 2017 18:59:15:134000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 18:59:15:138000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 18:59:15:142000	127.0.0.1-9557	read messages
May 31, 2017 18:59:15:146000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
May 31, 2017 18:59:17:540000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 18:59:18:953000	127.0.0.1-9557	mask sizes
May 31, 2017 18:59:18:957000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 18:59:18:984000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:18:986000	127.0.0.1-9557	162
May 31, 2017 18:59:18:998000	127.0.0.1-9557	Y values left mid right
May 31, 2017 18:59:19:003000	127.0.0.1-9557	162
May 31, 2017 18:59:19:006000	127.0.0.1-9557	-1
May 31, 2017 18:59:19:008000	127.0.0.1-9557	-1
May 31, 2017 18:59:24:261000	127.0.0.1-9557	mask sizes
May 31, 2017 18:59:24:263000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 18:59:24:275000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:24:277000	127.0.0.1-9557	162
May 31, 2017 18:59:24:284000	127.0.0.1-9557	Y values left mid right
May 31, 2017 18:59:24:287000	127.0.0.1-9557	162
May 31, 2017 18:59:24:291000	127.0.0.1-9557	-1
May 31, 2017 18:59:24:296000	127.0.0.1-9557	-1
May 31, 2017 18:59:29:250000	127.0.0.1-9557	mask sizes
May 31, 2017 18:59:29:258000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 18:59:29:277000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:29:281000	127.0.0.1-9557	166
May 31, 2017 18:59:29:290000	127.0.0.1-9557	Y values left mid right
May 31, 2017 18:59:29:294000	127.0.0.1-9557	166
May 31, 2017 18:59:29:297000	127.0.0.1-9557	-1
May 31, 2017 18:59:29:300000	127.0.0.1-9557	-1
May 31, 2017 18:59:34:257000	127.0.0.1-9557	mask sizes
May 31, 2017 18:59:34:264000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 18:59:34:281000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:34:285000	127.0.0.1-9557	182
May 31, 2017 18:59:34:289000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:34:294000	127.0.0.1-9557	166
May 31, 2017 18:59:34:297000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:34:299000	127.0.0.1-9557	146
May 31, 2017 18:59:39:222000	127.0.0.1-9557	mask sizes
May 31, 2017 18:59:39:224000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 18:59:39:237000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:39:242000	127.0.0.1-9557	178
May 31, 2017 18:59:39:244000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:39:247000	127.0.0.1-9557	178
May 31, 2017 18:59:39:252000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:39:255000	127.0.0.1-9557	142
May 31, 2017 18:59:44:217000	127.0.0.1-9557	mask sizes
May 31, 2017 18:59:44:220000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 18:59:44:239000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:44:244000	127.0.0.1-9557	178
May 31, 2017 18:59:44:249000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:44:251000	127.0.0.1-9557	170
May 31, 2017 18:59:44:255000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:44:258000	127.0.0.1-9557	146
May 31, 2017 18:59:49:151000	127.0.0.1-9557	mask sizes
May 31, 2017 18:59:49:155000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 18:59:49:176000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:49:180000	127.0.0.1-9557	174
May 31, 2017 18:59:49:185000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:49:188000	127.0.0.1-9557	170
May 31, 2017 18:59:49:193000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:49:196000	127.0.0.1-9557	142
May 31, 2017 18:59:54:152000	127.0.0.1-9557	mask sizes
May 31, 2017 18:59:54:156000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 18:59:54:332000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:54:333000	127.0.0.1-9557	166
May 31, 2017 18:59:54:335000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:54:337000	127.0.0.1-9557	166
May 31, 2017 18:59:54:339000	127.0.0.1-9557	left value Y
May 31, 2017 18:59:54:344000	127.0.0.1-9557	146
