June 06, 2017 18:51:42:606000		MOVE  NAO
June 06, 2017 18:51:47:971000	127.0.0.1-9557	SendMessage
June 06, 2017 18:51:47:973000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 06, 2017 18:51:47:975000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 06, 2017 18:51:47:979000	127.0.0.1-9557	read messages
June 06, 2017 18:51:47:981000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 06, 2017 18:51:47:984000	127.0.0.1-9557	START MOVING TO OTHER SIDE MoveToOtherSideOfObject
June 06, 2017 18:51:47:988000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 18:51:50:530000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 18:51:50:534000	127.0.0.1-9557	[312, 259]
June 06, 2017 18:51:50:595000	127.0.0.1-9557	[(312, 256), (312, 256), (323, 259), (312, 259), [640, 480]]
June 06, 2017 18:51:57:800000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 18:52:01:225000	127.0.0.1-9557	100
June 06, 2017 18:52:04:283000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 18:52:07:691000	127.0.0.1-9557	50
June 06, 2017 18:52:10:870000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 18:52:12:189000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 18:52:12:194000	127.0.0.1-9557	[244, 135]
June 06, 2017 18:52:12:202000	127.0.0.1-9557	[(240, 128), (240, 128), (251, 135), (244, 135), [640, 480]]
June 06, 2017 18:52:17:793000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 18:52:17:796000	127.0.0.1-9557	[368, 311]
June 06, 2017 18:52:17:800000	127.0.0.1-9557	[(359, 267), (363, 263), (543, 307), (368, 311), [640, 480]]
June 06, 2017 18:52:17:811000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 06, 2017 18:52:19:929000	127.0.0.1-9557	DIRECTION TO MOVE IS
June 06, 2017 18:52:19:932000	127.0.0.1-9557	
June 06, 2017 18:52:21:255000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 18:52:21:262000	127.0.0.1-9557	[438, 328]
June 06, 2017 18:52:21:268000	127.0.0.1-9557	[(359, 288), (367, 279), (543, 323), (438, 328), [640, 480]]
June 06, 2017 18:52:21:287000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 18:52:22:630000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 18:52:22:633000	127.0.0.1-9557	[232, 251]
June 06, 2017 18:52:22:642000	127.0.0.1-9557	[(228, 244), (228, 244), (239, 251), (232, 251), [640, 480]]
