May 31, 2017 21:53:18:952000		MOVE  NAO
May 31, 2017 21:53:24:347000	127.0.0.1-9557	SendMessage
May 31, 2017 21:53:24:349000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 21:53:24:355000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 21:53:24:432000	127.0.0.1-9557	read messages
May 31, 2017 21:53:24:461000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
May 31, 2017 21:53:26:764000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 21:53:26:766000	127.0.0.1-9557	[512, 103]
May 31, 2017 21:53:26:768000	127.0.0.1-9557	[(492, 88), (495, 87), (543, 91), (512, 103), [640, 480]]
May 31, 2017 21:53:29:401000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:53:29:404000	127.0.0.1-9557	260
May 31, 2017 21:53:29:407000	127.0.0.1-9557	638
May 31, 2017 21:53:29:409000	127.0.0.1-9557	0
May 31, 2017 21:53:29:411000	127.0.0.1-9557	183
May 31, 2017 21:53:29:416000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 21:53:33:283000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:53:33:286000	127.0.0.1-9557	256
May 31, 2017 21:53:33:288000	127.0.0.1-9557	638
May 31, 2017 21:53:33:289000	127.0.0.1-9557	0
May 31, 2017 21:53:33:292000	127.0.0.1-9557	183
May 31, 2017 21:53:33:315000	127.0.0.1-9557	mask sizes
May 31, 2017 21:53:33:318000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 21:53:33:331000	127.0.0.1-9557	left value Y
May 31, 2017 21:53:33:334000	127.0.0.1-9557	170
May 31, 2017 21:53:33:338000	127.0.0.1-9557	left value Y
May 31, 2017 21:53:33:340000	127.0.0.1-9557	170
May 31, 2017 21:53:33:345000	127.0.0.1-9557	left value Y
May 31, 2017 21:53:33:348000	127.0.0.1-9557	158
May 31, 2017 21:53:40:924000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:53:40:926000	127.0.0.1-9557	152
May 31, 2017 21:53:40:928000	127.0.0.1-9557	638
May 31, 2017 21:53:40:930000	127.0.0.1-9557	0
May 31, 2017 21:53:40:933000	127.0.0.1-9557	183
May 31, 2017 21:53:40:954000	127.0.0.1-9557	mask sizes
May 31, 2017 21:53:40:956000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 21:53:40:966000	127.0.0.1-9557	left value Y
May 31, 2017 21:53:40:968000	127.0.0.1-9557	170
May 31, 2017 21:53:40:970000	127.0.0.1-9557	left value Y
May 31, 2017 21:53:40:971000	127.0.0.1-9557	166
May 31, 2017 21:53:40:974000	127.0.0.1-9557	left value Y
May 31, 2017 21:53:40:977000	127.0.0.1-9557	166
May 31, 2017 21:53:40:987000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
May 31, 2017 21:53:50:421000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:53:50:423000	127.0.0.1-9557	136
May 31, 2017 21:53:50:426000	127.0.0.1-9557	638
May 31, 2017 21:53:50:428000	127.0.0.1-9557	0
May 31, 2017 21:53:50:430000	127.0.0.1-9557	183
May 31, 2017 21:54:06:618000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:54:06:620000	127.0.0.1-9557	-1
May 31, 2017 21:54:06:628000	127.0.0.1-9557	-1
May 31, 2017 21:54:06:630000	127.0.0.1-9557	-1
May 31, 2017 21:54:06:633000	127.0.0.1-9557	-1
