June 03, 2017 19:19:23:195000		MOVE  NAO
June 03, 2017 19:19:28:646000	127.0.0.1-9557	SendMessage
June 03, 2017 19:19:28:649000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 03, 2017 19:19:28:650000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 03, 2017 19:19:28:654000	127.0.0.1-9557	read messages
June 03, 2017 19:19:28:656000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 03, 2017 19:19:31:139000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 03, 2017 19:19:31:141000	127.0.0.1-9557	[320, 19]
June 03, 2017 19:19:31:143000	127.0.0.1-9557	[(319, 15), (324, 4), (335, 11), (320, 19), [640, 480]]
June 03, 2017 19:19:34:087000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:19:34:090000	127.0.0.1-9557	0
June 03, 2017 19:19:34:091000	127.0.0.1-9557	455
June 03, 2017 19:19:34:093000	127.0.0.1-9557	0
June 03, 2017 19:19:34:094000	127.0.0.1-9557	119
June 03, 2017 19:19:34:097000	127.0.0.1-9557	Keep walking until very close to table
June 03, 2017 19:19:37:918000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:19:37:920000	127.0.0.1-9557	0
June 03, 2017 19:19:37:923000	127.0.0.1-9557	451
June 03, 2017 19:19:37:925000	127.0.0.1-9557	0
June 03, 2017 19:19:37:927000	127.0.0.1-9557	119
June 03, 2017 19:19:37:945000	127.0.0.1-9557	mask sizes
June 03, 2017 19:19:37:948000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:19:37:962000	127.0.0.1-9557	left value Y
June 03, 2017 19:19:37:964000	127.0.0.1-9557	106
June 03, 2017 19:19:37:967000	127.0.0.1-9557	left value Y
June 03, 2017 19:19:37:970000	127.0.0.1-9557	106
June 03, 2017 19:19:37:976000	127.0.0.1-9557	left value Y
June 03, 2017 19:19:37:980000	127.0.0.1-9557	94
June 03, 2017 19:19:44:291000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:19:44:296000	127.0.0.1-9557	0
June 03, 2017 19:19:44:298000	127.0.0.1-9557	411
June 03, 2017 19:19:44:301000	127.0.0.1-9557	0
June 03, 2017 19:19:44:305000	127.0.0.1-9557	111
June 03, 2017 19:19:44:335000	127.0.0.1-9557	mask sizes
June 03, 2017 19:19:44:340000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:19:44:368000	127.0.0.1-9557	left value Y
June 03, 2017 19:19:44:372000	127.0.0.1-9557	102
June 03, 2017 19:19:44:387000	127.0.0.1-9557	left value Y
June 03, 2017 19:19:44:393000	127.0.0.1-9557	98
June 03, 2017 19:19:44:396000	127.0.0.1-9557	left value Y
