June 01, 2017 05:55:30:767000		MOVE  NAO
June 01, 2017 05:55:34:468000	127.0.0.1-9557	SendMessage
June 01, 2017 05:55:34:496000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 01, 2017 05:55:34:499000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 01, 2017 05:55:34:615000	127.0.0.1-9557	read messages
June 01, 2017 05:55:34:780000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 01, 2017 05:55:51:303000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 01, 2017 05:55:51:305000	127.0.0.1-9557	[264, 119]
June 01, 2017 05:55:51:309000	127.0.0.1-9557	[(251, 103), (256, 96), (275, 107), (264, 119), [640, 480]]
June 01, 2017 05:55:55:282000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:55:55:285000	127.0.0.1-9557	220
June 01, 2017 05:55:55:288000	127.0.0.1-9557	638
June 01, 2017 05:55:55:291000	127.0.0.1-9557	0
June 01, 2017 05:55:55:293000	127.0.0.1-9557	187
June 01, 2017 05:55:55:319000	127.0.0.1-9557	Keep walking until very close to table
June 01, 2017 05:56:00:199000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:56:00:206000	127.0.0.1-9557	220
June 01, 2017 05:56:00:210000	127.0.0.1-9557	638
June 01, 2017 05:56:00:214000	127.0.0.1-9557	0
June 01, 2017 05:56:00:219000	127.0.0.1-9557	187
June 01, 2017 05:56:00:256000	127.0.0.1-9557	mask sizes
June 01, 2017 05:56:00:261000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 05:56:00:307000	127.0.0.1-9557	left value Y
June 01, 2017 05:56:00:309000	127.0.0.1-9557	182
June 01, 2017 05:56:00:312000	127.0.0.1-9557	left value Y
June 01, 2017 05:56:00:313000	127.0.0.1-9557	154
June 01, 2017 05:56:00:321000	127.0.0.1-9557	Y values left mid right
June 01, 2017 05:56:00:325000	127.0.0.1-9557	-1
June 01, 2017 05:56:00:331000	127.0.0.1-9557	182
June 01, 2017 05:56:00:344000	127.0.0.1-9557	154
June 01, 2017 05:56:11:821000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:56:11:829000	127.0.0.1-9557	204
June 01, 2017 05:56:11:833000	127.0.0.1-9557	638
June 01, 2017 05:56:11:836000	127.0.0.1-9557	0
June 01, 2017 05:56:11:840000	127.0.0.1-9557	171
June 01, 2017 05:56:11:921000	127.0.0.1-9557	mask sizes
June 01, 2017 05:56:11:925000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 05:56:12:019000	127.0.0.1-9557	left value Y
June 01, 2017 05:56:12:055000	127.0.0.1-9557	166
June 01, 2017 05:56:12:072000	127.0.0.1-9557	left value Y
June 01, 2017 05:56:12:083000	127.0.0.1-9557	162
June 01, 2017 05:56:12:088000	127.0.0.1-9557	left value Y
June 01, 2017 05:56:12:107000	127.0.0.1-9557	162
June 01, 2017 05:56:12:335000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 01, 2017 05:56:24:290000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:56:24:297000	127.0.0.1-9557	-1
June 01, 2017 05:56:24:301000	127.0.0.1-9557	-1
June 01, 2017 05:56:24:304000	127.0.0.1-9557	-1
June 01, 2017 05:56:24:306000	127.0.0.1-9557	-1
June 01, 2017 05:56:34:026000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:56:34:033000	127.0.0.1-9557	-1
June 01, 2017 05:56:34:038000	127.0.0.1-9557	-1
June 01, 2017 05:56:34:042000	127.0.0.1-9557	-1
June 01, 2017 05:56:34:044000	127.0.0.1-9557	-1
June 01, 2017 05:56:44:458000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:56:44:461000	127.0.0.1-9557	-1
June 01, 2017 05:56:44:465000	127.0.0.1-9557	-1
June 01, 2017 05:56:44:467000	127.0.0.1-9557	-1
June 01, 2017 05:56:44:469000	127.0.0.1-9557	-1
June 01, 2017 05:56:54:238000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:56:54:239000	127.0.0.1-9557	-1
June 01, 2017 05:56:54:243000	127.0.0.1-9557	-1
June 01, 2017 05:56:54:245000	127.0.0.1-9557	-1
June 01, 2017 05:56:54:251000	127.0.0.1-9557	-1
June 01, 2017 05:57:04:538000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:57:04:541000	127.0.0.1-9557	-1
June 01, 2017 05:57:04:545000	127.0.0.1-9557	-1
June 01, 2017 05:57:04:548000	127.0.0.1-9557	-1
June 01, 2017 05:57:04:551000	127.0.0.1-9557	-1
June 01, 2017 05:57:16:039000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:57:16:042000	127.0.0.1-9557	-1
June 01, 2017 05:57:16:047000	127.0.0.1-9557	-1
June 01, 2017 05:57:16:050000	127.0.0.1-9557	-1
June 01, 2017 05:57:16:053000	127.0.0.1-9557	-1
June 01, 2017 05:57:25:832000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:57:25:841000	127.0.0.1-9557	-1
June 01, 2017 05:57:25:843000	127.0.0.1-9557	-1
June 01, 2017 05:57:25:846000	127.0.0.1-9557	-1
June 01, 2017 05:57:25:848000	127.0.0.1-9557	-1
June 01, 2017 05:57:35:429000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:57:35:435000	127.0.0.1-9557	-1
June 01, 2017 05:57:35:441000	127.0.0.1-9557	-1
June 01, 2017 05:57:35:447000	127.0.0.1-9557	-1
June 01, 2017 05:57:35:451000	127.0.0.1-9557	-1
June 01, 2017 05:57:45:048000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:57:45:051000	127.0.0.1-9557	196
June 01, 2017 05:57:45:054000	127.0.0.1-9557	519
June 01, 2017 05:57:45:057000	127.0.0.1-9557	0
June 01, 2017 05:57:45:060000	127.0.0.1-9557	63
June 01, 2017 05:57:54:493000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:57:54:496000	127.0.0.1-9557	132
June 01, 2017 05:57:54:503000	127.0.0.1-9557	638
June 01, 2017 05:57:54:508000	127.0.0.1-9557	0
June 01, 2017 05:57:54:512000	127.0.0.1-9557	199
June 01, 2017 05:58:04:142000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:58:04:144000	127.0.0.1-9557	120
June 01, 2017 05:58:04:145000	127.0.0.1-9557	638
June 01, 2017 05:58:04:148000	127.0.0.1-9557	0
June 01, 2017 05:58:04:173000	127.0.0.1-9557	283
June 01, 2017 05:58:20:888000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:58:20:892000	127.0.0.1-9557	0
June 01, 2017 05:58:20:896000	127.0.0.1-9557	638
June 01, 2017 05:58:20:900000	127.0.0.1-9557	0
June 01, 2017 05:58:20:903000	127.0.0.1-9557	247
June 01, 2017 05:58:32:032000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:58:32:043000	127.0.0.1-9557	272
June 01, 2017 05:58:32:051000	127.0.0.1-9557	638
June 01, 2017 05:58:32:056000	127.0.0.1-9557	0
June 01, 2017 05:58:32:059000	127.0.0.1-9557	395
June 01, 2017 05:58:32:321000	127.0.0.1-9557	368
June 01, 2017 05:58:45:137000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:58:45:139000	127.0.0.1-9557	0
June 01, 2017 05:58:45:141000	127.0.0.1-9557	199
June 01, 2017 05:58:45:144000	127.0.0.1-9557	0
June 01, 2017 05:58:45:146000	127.0.0.1-9557	267
June 01, 2017 05:58:45:152000	127.0.0.1-9557	199
June 01, 2017 05:58:52:101000	127.0.0.1-9557	too much to right: 169
June 01, 2017 05:59:04:140000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:59:04:142000	127.0.0.1-9557	304
June 01, 2017 05:59:04:144000	127.0.0.1-9557	638
June 01, 2017 05:59:04:146000	127.0.0.1-9557	0
June 01, 2017 05:59:04:155000	127.0.0.1-9557	407
June 01, 2017 05:59:04:382000	127.0.0.1-9557	336
June 01, 2017 05:59:18:391000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 05:59:18:395000	127.0.0.1-9557	0
June 01, 2017 05:59:18:398000	127.0.0.1-9557	211
June 01, 2017 05:59:18:401000	127.0.0.1-9557	0
June 01, 2017 05:59:18:404000	127.0.0.1-9557	287
June 01, 2017 05:59:18:414000	127.0.0.1-9557	211
