June 03, 2017 18:53:52:983000		MOVE  NAO
June 03, 2017 18:53:58:493000	127.0.0.1-9557	SendMessage
June 03, 2017 18:53:58:496000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 03, 2017 18:53:58:497000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 03, 2017 18:53:58:501000	127.0.0.1-9557	read messages
June 03, 2017 18:53:58:504000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 03, 2017 18:54:01:020000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 03, 2017 18:54:01:023000	127.0.0.1-9557	[372, 39]
June 03, 2017 18:54:01:026000	127.0.0.1-9557	[(372, 36), (380, 12), (384, 16), (372, 39), [640, 480]]
June 03, 2017 18:54:04:220000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:54:04:222000	127.0.0.1-9557	0
June 03, 2017 18:54:04:225000	127.0.0.1-9557	467
June 03, 2017 18:54:04:227000	127.0.0.1-9557	0
June 03, 2017 18:54:04:229000	127.0.0.1-9557	115
June 03, 2017 18:54:04:235000	127.0.0.1-9557	Keep walking until very close to table
June 03, 2017 18:54:08:213000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:54:08:228000	127.0.0.1-9557	0
June 03, 2017 18:54:08:231000	127.0.0.1-9557	463
June 03, 2017 18:54:08:234000	127.0.0.1-9557	0
June 03, 2017 18:54:08:237000	127.0.0.1-9557	111
June 03, 2017 18:54:08:264000	127.0.0.1-9557	mask sizes
June 03, 2017 18:54:08:266000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 18:54:08:279000	127.0.0.1-9557	left value Y
June 03, 2017 18:54:08:283000	127.0.0.1-9557	110
June 03, 2017 18:54:08:288000	127.0.0.1-9557	left value Y
June 03, 2017 18:54:08:291000	127.0.0.1-9557	106
June 03, 2017 18:54:08:295000	127.0.0.1-9557	left value Y
June 03, 2017 18:54:08:299000	127.0.0.1-9557	102
June 03, 2017 18:54:08:310000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 03, 2017 18:54:19:487000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:54:19:490000	127.0.0.1-9557	-1
June 03, 2017 18:54:19:493000	127.0.0.1-9557	-1
June 03, 2017 18:54:19:503000	127.0.0.1-9557	-1
June 03, 2017 18:54:19:509000	127.0.0.1-9557	-1
June 03, 2017 18:54:29:649000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:54:29:651000	127.0.0.1-9557	-1
June 03, 2017 18:54:29:653000	127.0.0.1-9557	-1
June 03, 2017 18:54:29:655000	127.0.0.1-9557	-1
June 03, 2017 18:54:29:657000	127.0.0.1-9557	-1
June 03, 2017 18:54:39:952000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:54:39:954000	127.0.0.1-9557	-1
