June 02, 2017 05:45:20:059000		MOVE  NAO
June 02, 2017 05:45:26:328000	127.0.0.1-9557	SendMessage
June 02, 2017 05:45:26:332000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 02, 2017 05:45:26:336000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 02, 2017 05:45:26:343000	127.0.0.1-9557	read messages
June 02, 2017 05:45:26:350000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 02, 2017 05:45:33:137000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 02, 2017 05:45:33:141000	127.0.0.1-9557	[328, 79]
June 02, 2017 05:45:33:145000	127.0.0.1-9557	[(316, 64), (324, 60), (343, 67), (328, 79), [640, 480]]
June 02, 2017 05:45:35:912000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:45:35:916000	127.0.0.1-9557	232
June 02, 2017 05:45:35:934000	127.0.0.1-9557	638
June 02, 2017 05:45:35:937000	127.0.0.1-9557	0
June 02, 2017 05:45:35:940000	127.0.0.1-9557	179
June 02, 2017 05:45:35:944000	127.0.0.1-9557	Keep walking until very close to table
June 02, 2017 05:45:40:028000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:45:40:031000	127.0.0.1-9557	228
June 02, 2017 05:45:40:033000	127.0.0.1-9557	638
June 02, 2017 05:45:40:036000	127.0.0.1-9557	0
June 02, 2017 05:45:40:038000	127.0.0.1-9557	183
June 02, 2017 05:45:40:062000	127.0.0.1-9557	mask sizes
June 02, 2017 05:45:40:068000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 02, 2017 05:45:40:091000	127.0.0.1-9557	left value Y
June 02, 2017 05:45:40:103000	127.0.0.1-9557	170
June 02, 2017 05:45:40:110000	127.0.0.1-9557	left value Y
June 02, 2017 05:45:40:112000	127.0.0.1-9557	166
June 02, 2017 05:45:40:119000	127.0.0.1-9557	left value Y
June 02, 2017 05:45:40:122000	127.0.0.1-9557	122
June 02, 2017 05:45:40:188000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 02, 2017 05:45:51:815000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:45:51:820000	127.0.0.1-9557	-1
June 02, 2017 05:45:51:823000	127.0.0.1-9557	-1
June 02, 2017 05:45:51:831000	127.0.0.1-9557	-1
June 02, 2017 05:45:51:835000	127.0.0.1-9557	-1
June 02, 2017 05:46:01:892000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:46:01:896000	127.0.0.1-9557	-1
June 02, 2017 05:46:01:899000	127.0.0.1-9557	-1
June 02, 2017 05:46:01:904000	127.0.0.1-9557	-1
June 02, 2017 05:46:01:918000	127.0.0.1-9557	-1
June 02, 2017 05:46:11:643000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:46:11:658000	127.0.0.1-9557	-1
June 02, 2017 05:46:11:664000	127.0.0.1-9557	-1
June 02, 2017 05:46:11:669000	127.0.0.1-9557	-1
June 02, 2017 05:46:11:672000	127.0.0.1-9557	-1
June 02, 2017 05:46:21:688000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:46:21:698000	127.0.0.1-9557	172
June 02, 2017 05:46:21:726000	127.0.0.1-9557	638
June 02, 2017 05:46:21:728000	127.0.0.1-9557	0
June 02, 2017 05:46:21:730000	127.0.0.1-9557	203
June 02, 2017 05:46:32:386000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:46:32:387000	127.0.0.1-9557	184
June 02, 2017 05:46:32:389000	127.0.0.1-9557	638
June 02, 2017 05:46:32:391000	127.0.0.1-9557	0
June 02, 2017 05:46:32:393000	127.0.0.1-9557	439
June 02, 2017 05:46:49:463000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:46:49:467000	127.0.0.1-9557	0
June 02, 2017 05:46:49:471000	127.0.0.1-9557	638
June 02, 2017 05:46:49:475000	127.0.0.1-9557	0
June 02, 2017 05:46:49:477000	127.0.0.1-9557	439
June 02, 2017 05:46:57:865000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 02, 2017 05:46:57:868000	127.0.0.1-9557	[252, 407]
June 02, 2017 05:46:57:872000	127.0.0.1-9557	[(251, 387), (276, 196), (315, 231), (252, 407), [640, 480]]
June 02, 2017 05:47:01:040000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:47:01:046000	127.0.0.1-9557	0
