April 23, 2017 19:17:32:685000		MOVE  NAO
April 23, 2017 19:18:28:274000	127.0.0.1-9557	[(283, 317), (529, 299), (638, 331), (336, 351), [640, 480]]
April 23, 2017 19:18:28:286000	127.0.0.1-9557	bottommost point: 351
April 23, 2017 19:18:28:337000	127.0.0.1-9557	move head down by x degrees
April 23, 2017 19:18:29:184000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:29:186000	127.0.0.1-9559	[588, 339]
April 23, 2017 19:18:29:189000	127.0.0.1-9559	[(479, 301), (603, 287), (638, 323), (588, 339), [640, 480]]
April 23, 2017 19:18:29:257000	127.0.0.1-9559	AlignClosestCornerToMiddle
April 23, 2017 19:18:29:551000	127.0.0.1-9557	turn angle:  0.135
April 23, 2017 19:18:29:554000	127.0.0.1-9557	bottom most position:  
April 23, 2017 19:18:29:556000	127.0.0.1-9557	368
April 23, 2017 19:18:29:557000	127.0.0.1-9557	AlignClosestCornerToMiddle
April 23, 2017 19:18:30:497000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:30:500000	127.0.0.1-9559	[588, 339]
April 23, 2017 19:18:30:503000	127.0.0.1-9559	[(479, 301), (603, 287), (638, 323), (588, 339), [640, 480]]
April 23, 2017 19:18:30:776000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:30:777000	127.0.0.1-9557	[332, 319]
April 23, 2017 19:18:30:780000	127.0.0.1-9557	[(279, 290), (544, 268), (638, 299), (332, 319), [640, 480]]
April 23, 2017 19:18:35:774000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:35:778000	127.0.0.1-9557	[320, 199]
April 23, 2017 19:18:35:780000	127.0.0.1-9557	[(268, 160), (507, 147), (638, 175), (320, 199), [640, 480]]
April 23, 2017 19:18:35:877000	127.0.0.1-9557	AlignClosestCornerToMiddle
April 23, 2017 19:18:37:125000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:37:126000	127.0.0.1-9557	[324, 203]
April 23, 2017 19:18:37:129000	127.0.0.1-9557	[(268, 164), (543, 147), (638, 179), (324, 203), [640, 480]]
April 23, 2017 19:18:37:168000	127.0.0.1-9557	bottommost point: 199
April 23, 2017 19:18:37:173000	127.0.0.1-9557	turn angle:  0.0
April 23, 2017 19:18:37:194000	127.0.0.1-9557	bottom most position:  
April 23, 2017 19:18:37:199000	127.0.0.1-9557	320
April 23, 2017 19:18:37:202000	127.0.0.1-9557	AlignClosestCornerToMiddle
April 23, 2017 19:18:38:067000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:38:069000	127.0.0.1-9559	[568, 339]
April 23, 2017 19:18:38:071000	127.0.0.1-9559	[(459, 302), (579, 287), (638, 319), (568, 339), [640, 480]]
April 23, 2017 19:18:38:458000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:38:460000	127.0.0.1-9557	[316, 199]
April 23, 2017 19:18:38:465000	127.0.0.1-9557	[(271, 170), (472, 151), (638, 159), (316, 199), [640, 480]]
April 23, 2017 19:18:39:315000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:39:317000	127.0.0.1-9559	[564, 339]
April 23, 2017 19:18:39:321000	127.0.0.1-9559	[(451, 299), (615, 283), (638, 320), (564, 339), [640, 480]]
April 23, 2017 19:18:46:544000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:46:552000	127.0.0.1-9559	[488, 331]
April 23, 2017 19:18:46:554000	127.0.0.1-9559	[(395, 299), (563, 279), (638, 303), (488, 331), [640, 480]]
April 23, 2017 19:18:48:214000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:48:216000	127.0.0.1-9559	[496, 335]
April 23, 2017 19:18:48:218000	127.0.0.1-9559	[(392, 292), (569, 279), (638, 303), (496, 335), [640, 480]]
April 23, 2017 19:18:55:448000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:55:450000	127.0.0.1-9559	[456, 327]
April 23, 2017 19:18:55:453000	127.0.0.1-9559	[(363, 299), (515, 275), (638, 292), (456, 327), [640, 480]]
April 23, 2017 19:18:56:679000	127.0.0.1-9559	PRINTING BOTTOMMOST POINTS BELOW:::::
April 23, 2017 19:18:56:681000	127.0.0.1-9559	[468, 331]
