May 31, 2017 06:10:30:633000		MOVE  NAO
May 31, 2017 06:10:34:255000	127.0.0.1-9557	SendMessage
May 31, 2017 06:10:34:273000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 06:10:34:276000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 06:10:34:493000	127.0.0.1-9557	read messages
May 31, 2017 06:10:34:587000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
May 31, 2017 06:10:37:822000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 06:10:37:839000	127.0.0.1-9557	[264, 119]
May 31, 2017 06:10:37:849000	127.0.0.1-9557	[(251, 103), (256, 96), (275, 107), (264, 119), [640, 480]]
May 31, 2017 06:10:39:244000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 06:10:40:876000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 06:10:40:893000	127.0.0.1-9557	[264, 119]
May 31, 2017 06:10:40:896000	127.0.0.1-9557	[(251, 103), (256, 96), (275, 107), (264, 119), [640, 480]]
May 31, 2017 06:10:41:662000	127.0.0.1-9557	mask sizes
May 31, 2017 06:10:41:670000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 06:10:41:815000	127.0.0.1-9557	left value Y
May 31, 2017 06:10:41:846000	127.0.0.1-9557	182
May 31, 2017 06:10:41:849000	127.0.0.1-9557	left value Y
May 31, 2017 06:10:41:851000	127.0.0.1-9557	154
May 31, 2017 06:10:41:857000	127.0.0.1-9557	Y values left mid right
May 31, 2017 06:10:41:859000	127.0.0.1-9557	-1
May 31, 2017 06:10:41:873000	127.0.0.1-9557	182
May 31, 2017 06:10:41:886000	127.0.0.1-9557	154
May 31, 2017 06:10:47:287000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 06:10:47:299000	127.0.0.1-9557	[264, 119]
May 31, 2017 06:10:47:307000	127.0.0.1-9557	[(251, 103), (256, 96), (275, 107), (264, 119), [640, 480]]
May 31, 2017 06:10:47:855000	127.0.0.1-9557	mask sizes
May 31, 2017 06:10:47:868000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 06:10:47:889000	127.0.0.1-9557	left value Y
May 31, 2017 06:10:47:895000	127.0.0.1-9557	182
May 31, 2017 06:10:47:898000	127.0.0.1-9557	left value Y
May 31, 2017 06:10:47:900000	127.0.0.1-9557	154
May 31, 2017 06:10:47:907000	127.0.0.1-9557	Y values left mid right
May 31, 2017 06:10:47:916000	127.0.0.1-9557	-1
May 31, 2017 06:10:47:920000	127.0.0.1-9557	182
May 31, 2017 06:10:47:924000	127.0.0.1-9557	154
May 31, 2017 06:10:53:999000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 06:10:54:002000	127.0.0.1-9557	[264, 119]
May 31, 2017 06:10:54:005000	127.0.0.1-9557	[(251, 103), (256, 96), (275, 107), (264, 119), [640, 480]]
May 31, 2017 06:10:54:035000	127.0.0.1-9557	mask sizes
May 31, 2017 06:10:54:037000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 06:10:54:050000	127.0.0.1-9557	left value Y
May 31, 2017 06:10:54:063000	127.0.0.1-9557	182
May 31, 2017 06:10:54:069000	127.0.0.1-9557	left value Y
May 31, 2017 06:10:54:071000	127.0.0.1-9557	154
May 31, 2017 06:10:54:078000	127.0.0.1-9557	Y values left mid right
May 31, 2017 06:10:54:081000	127.0.0.1-9557	-1
May 31, 2017 06:10:54:083000	127.0.0.1-9557	182
May 31, 2017 06:10:54:085000	127.0.0.1-9557	154
May 31, 2017 06:10:59:493000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 06:10:59:503000	127.0.0.1-9557	[264, 119]
May 31, 2017 06:10:59:510000	127.0.0.1-9557	[(251, 103), (256, 96), (275, 107), (264, 119), [640, 480]]
May 31, 2017 06:10:59:723000	127.0.0.1-9557	mask sizes
May 31, 2017 06:10:59:725000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 06:10:59:788000	127.0.0.1-9557	left value Y
May 31, 2017 06:10:59:801000	127.0.0.1-9557	182
May 31, 2017 06:10:59:805000	127.0.0.1-9557	left value Y
May 31, 2017 06:10:59:814000	127.0.0.1-9557	154
May 31, 2017 06:10:59:820000	127.0.0.1-9557	Y values left mid right
May 31, 2017 06:10:59:836000	127.0.0.1-9557	-1
May 31, 2017 06:10:59:842000	127.0.0.1-9557	182
May 31, 2017 06:10:59:851000	127.0.0.1-9557	154
May 31, 2017 06:11:05:806000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 06:11:05:809000	127.0.0.1-9557	[264, 119]
May 31, 2017 06:11:05:812000	127.0.0.1-9557	[(251, 103), (256, 96), (275, 107), (264, 119), [640, 480]]
May 31, 2017 06:11:05:997000	127.0.0.1-9557	mask sizes
May 31, 2017 06:11:06:015000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 06:11:06:085000	127.0.0.1-9557	left value Y
May 31, 2017 06:11:06:095000	127.0.0.1-9557	182
May 31, 2017 06:11:06:105000	127.0.0.1-9557	left value Y
May 31, 2017 06:11:06:108000	127.0.0.1-9557	154
May 31, 2017 06:11:06:117000	127.0.0.1-9557	Y values left mid right
May 31, 2017 06:11:06:120000	127.0.0.1-9557	-1
May 31, 2017 06:11:06:124000	127.0.0.1-9557	182
May 31, 2017 06:11:06:138000	127.0.0.1-9557	154
May 31, 2017 06:11:11:545000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 06:11:11:550000	127.0.0.1-9557	[264, 119]
May 31, 2017 06:11:11:557000	127.0.0.1-9557	[(251, 103), (256, 96), (275, 107), (264, 119), [640, 480]]
May 31, 2017 06:11:11:609000	127.0.0.1-9557	mask sizes
May 31, 2017 06:11:11:612000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 06:11:11:624000	127.0.0.1-9557	left value Y
May 31, 2017 06:11:11:626000	127.0.0.1-9557	182
May 31, 2017 06:11:11:629000	127.0.0.1-9557	left value Y
May 31, 2017 06:11:11:631000	127.0.0.1-9557	154
May 31, 2017 06:11:11:654000	127.0.0.1-9557	Y values left mid right
May 31, 2017 06:11:11:659000	127.0.0.1-9557	-1
May 31, 2017 06:11:11:663000	127.0.0.1-9557	182
May 31, 2017 06:11:11:667000	127.0.0.1-9557	154
