June 02, 2017 05:49:42:853000		MOVE  NAO
June 02, 2017 05:49:48:295000	127.0.0.1-9557	SendMessage
June 02, 2017 05:49:48:301000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 02, 2017 05:49:48:303000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 02, 2017 05:49:48:308000	127.0.0.1-9557	read messages
June 02, 2017 05:49:48:314000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 02, 2017 05:49:51:326000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 02, 2017 05:49:51:329000	127.0.0.1-9557	[380, 55]
June 02, 2017 05:49:51:336000	127.0.0.1-9557	[(379, 43), (383, 39), (411, 43), (380, 55), [640, 480]]
June 02, 2017 05:49:54:387000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:49:54:390000	127.0.0.1-9557	244
June 02, 2017 05:49:54:484000	127.0.0.1-9557	638
June 02, 2017 05:49:54:486000	127.0.0.1-9557	0
June 02, 2017 05:49:54:488000	127.0.0.1-9557	183
June 02, 2017 05:49:54:492000	127.0.0.1-9557	Keep walking until very close to table
June 02, 2017 05:49:58:621000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:49:58:624000	127.0.0.1-9557	244
June 02, 2017 05:49:58:627000	127.0.0.1-9557	638
June 02, 2017 05:49:58:630000	127.0.0.1-9557	0
June 02, 2017 05:49:58:632000	127.0.0.1-9557	183
June 02, 2017 05:49:58:660000	127.0.0.1-9557	mask sizes
June 02, 2017 05:49:58:665000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 02, 2017 05:49:58:687000	127.0.0.1-9557	left value Y
June 02, 2017 05:49:58:690000	127.0.0.1-9557	174
June 02, 2017 05:49:58:692000	127.0.0.1-9557	left value Y
June 02, 2017 05:49:58:696000	127.0.0.1-9557	166
June 02, 2017 05:49:58:705000	127.0.0.1-9557	left value Y
June 02, 2017 05:49:58:710000	127.0.0.1-9557	166
June 02, 2017 05:49:58:813000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 02, 2017 05:50:09:831000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:50:09:832000	127.0.0.1-9557	-1
June 02, 2017 05:50:09:834000	127.0.0.1-9557	-1
June 02, 2017 05:50:09:836000	127.0.0.1-9557	-1
June 02, 2017 05:50:09:838000	127.0.0.1-9557	-1
June 02, 2017 05:50:19:349000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:50:19:352000	127.0.0.1-9557	-1
June 02, 2017 05:50:19:355000	127.0.0.1-9557	-1
June 02, 2017 05:50:19:358000	127.0.0.1-9557	-1
June 02, 2017 05:50:19:362000	127.0.0.1-9557	-1
June 02, 2017 05:50:28:860000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:50:28:865000	127.0.0.1-9557	-1
June 02, 2017 05:50:28:869000	127.0.0.1-9557	-1
June 02, 2017 05:50:28:875000	127.0.0.1-9557	-1
June 02, 2017 05:50:28:879000	127.0.0.1-9557	-1
June 02, 2017 05:50:38:868000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:50:38:871000	127.0.0.1-9557	148
June 02, 2017 05:50:38:874000	127.0.0.1-9557	638
June 02, 2017 05:50:38:877000	127.0.0.1-9557	0
June 02, 2017 05:50:38:880000	127.0.0.1-9557	119
June 02, 2017 05:50:48:831000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:50:48:834000	127.0.0.1-9557	172
June 02, 2017 05:50:48:838000	127.0.0.1-9557	638
June 02, 2017 05:50:48:840000	127.0.0.1-9557	0
June 02, 2017 05:50:48:843000	127.0.0.1-9557	383
June 02, 2017 05:51:05:754000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:51:05:756000	127.0.0.1-9557	0
June 02, 2017 05:51:05:759000	127.0.0.1-9557	638
June 02, 2017 05:51:05:762000	127.0.0.1-9557	0
June 02, 2017 05:51:05:765000	127.0.0.1-9557	435
June 02, 2017 05:51:14:135000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 02, 2017 05:51:14:138000	127.0.0.1-9557	[104, 335]
June 02, 2017 05:51:14:146000	127.0.0.1-9557	[(56, 264), (120, 220), (147, 267), (104, 335), [640, 480]]
June 02, 2017 05:51:18:155000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:51:18:156000	127.0.0.1-9557	0
June 02, 2017 05:51:18:158000	127.0.0.1-9557	638
June 02, 2017 05:51:18:159000	127.0.0.1-9557	0
June 02, 2017 05:51:18:162000	127.0.0.1-9557	435
June 02, 2017 05:51:18:290000	127.0.0.1-9557	Keep walking until very close to table
June 02, 2017 05:51:23:284000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:51:23:288000	127.0.0.1-9557	0
June 02, 2017 05:51:23:291000	127.0.0.1-9557	638
June 02, 2017 05:51:23:295000	127.0.0.1-9557	0
June 02, 2017 05:51:23:298000	127.0.0.1-9557	435
June 02, 2017 05:51:23:419000	127.0.0.1-9557	mask sizes
June 02, 2017 05:51:23:432000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 02, 2017 05:51:23:468000	127.0.0.1-9557	left value Y
June 02, 2017 05:51:23:470000	127.0.0.1-9557	402
June 02, 2017 05:51:23:475000	127.0.0.1-9557	left value Y
June 02, 2017 05:51:23:477000	127.0.0.1-9557	398
June 02, 2017 05:51:23:480000	127.0.0.1-9557	left value Y
June 02, 2017 05:51:23:484000	127.0.0.1-9557	390
June 02, 2017 05:51:34:449000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:51:34:452000	127.0.0.1-9557	0
June 02, 2017 05:51:34:454000	127.0.0.1-9557	638
June 02, 2017 05:51:34:456000	127.0.0.1-9557	0
June 02, 2017 05:51:34:463000	127.0.0.1-9557	415
June 02, 2017 05:51:34:494000	127.0.0.1-9557	mask sizes
June 02, 2017 05:51:34:501000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 02, 2017 05:51:34:511000	127.0.0.1-9557	left value Y
June 02, 2017 05:51:34:516000	127.0.0.1-9557	414
June 02, 2017 05:51:34:519000	127.0.0.1-9557	left value Y
June 02, 2017 05:51:34:521000	127.0.0.1-9557	414
June 02, 2017 05:51:34:529000	127.0.0.1-9557	left value Y
June 02, 2017 05:51:34:531000	127.0.0.1-9557	414
June 02, 2017 05:51:34:578000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 02, 2017 05:51:47:252000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:51:47:253000	127.0.0.1-9557	252
June 02, 2017 05:51:47:255000	127.0.0.1-9557	638
June 02, 2017 05:51:47:257000	127.0.0.1-9557	240
June 02, 2017 05:51:47:258000	127.0.0.1-9557	478
June 02, 2017 05:51:47:265000	127.0.0.1-9557	388
June 02, 2017 05:52:00:429000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:52:00:432000	127.0.0.1-9557	0
June 02, 2017 05:52:00:435000	127.0.0.1-9557	638
June 02, 2017 05:52:00:438000	127.0.0.1-9557	4
June 02, 2017 05:52:00:440000	127.0.0.1-9557	478
June 02, 2017 05:52:00:445000	127.0.0.1-9557	638
June 02, 2017 05:52:06:965000	127.0.0.1-9557	too much to left: -250
June 02, 2017 05:52:16:278000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 02, 2017 05:52:16:281000	127.0.0.1-9557	[160, 367]
June 02, 2017 05:52:16:283000	127.0.0.1-9557	[(159, 343), (168, 280), (263, 303), (160, 367), [640, 480]]
June 02, 2017 05:52:19:259000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:52:19:260000	127.0.0.1-9557	0
June 02, 2017 05:52:19:262000	127.0.0.1-9557	638
June 02, 2017 05:52:19:263000	127.0.0.1-9557	0
June 02, 2017 05:52:19:265000	127.0.0.1-9557	478
June 02, 2017 05:52:19:282000	127.0.0.1-9557	Keep walking until very close to table
June 02, 2017 05:52:23:368000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:52:23:370000	127.0.0.1-9557	0
June 02, 2017 05:52:23:372000	127.0.0.1-9557	638
June 02, 2017 05:52:23:374000	127.0.0.1-9557	0
June 02, 2017 05:52:23:376000	127.0.0.1-9557	478
June 02, 2017 05:52:23:399000	127.0.0.1-9557	mask sizes
June 02, 2017 05:52:23:402000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 02, 2017 05:52:23:410000	127.0.0.1-9557	left value Y
June 02, 2017 05:52:23:413000	127.0.0.1-9557	478
June 02, 2017 05:52:23:417000	127.0.0.1-9557	left value Y
June 02, 2017 05:52:23:420000	127.0.0.1-9557	478
June 02, 2017 05:52:23:422000	127.0.0.1-9557	left value Y
June 02, 2017 05:52:23:424000	127.0.0.1-9557	478
June 02, 2017 05:52:23:449000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 02, 2017 05:52:36:082000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:52:36:086000	127.0.0.1-9557	28
June 02, 2017 05:52:36:088000	127.0.0.1-9557	638
June 02, 2017 05:52:36:090000	127.0.0.1-9557	216
June 02, 2017 05:52:36:092000	127.0.0.1-9557	478
June 02, 2017 05:52:36:098000	127.0.0.1-9557	612
June 02, 2017 05:52:49:279000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:52:49:281000	127.0.0.1-9557	0
June 02, 2017 05:52:49:285000	127.0.0.1-9557	638
June 02, 2017 05:52:49:291000	127.0.0.1-9557	32
June 02, 2017 05:52:49:300000	127.0.0.1-9557	478
June 02, 2017 05:52:49:389000	127.0.0.1-9557	638
June 02, 2017 05:52:57:443000	127.0.0.1-9557	KEEP WALKING UNTIL OBJECT SEEN BY BOTTOM CAM
June 02, 2017 05:52:57:449000	127.0.0.1-9557	KEEP WALKING UNTIL OBJECT SEEN BY BOTTOM CAM
June 02, 2017 05:53:01:612000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:53:01:614000	127.0.0.1-9557	0
June 02, 2017 05:53:01:617000	127.0.0.1-9557	638
June 02, 2017 05:53:01:619000	127.0.0.1-9557	0
June 02, 2017 05:53:01:621000	127.0.0.1-9557	478
June 02, 2017 05:53:01:626000	127.0.0.1-9557	CLOSE ENOUGH TO TABLE NOW
June 02, 2017 05:53:04:948000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 02, 2017 05:53:04:951000	127.0.0.1-9557	[600, 451]
June 02, 2017 05:53:04:954000	127.0.0.1-9557	[(580, 392), (580, 392), (623, 451), (600, 451), [640, 480]]
June 02, 2017 05:53:08:053000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:53:08:056000	127.0.0.1-9557	0
June 02, 2017 05:53:08:059000	127.0.0.1-9557	638
June 02, 2017 05:53:08:061000	127.0.0.1-9557	0
June 02, 2017 05:53:08:063000	127.0.0.1-9557	478
June 02, 2017 05:53:08:066000	127.0.0.1-9557	Keep walking until very close to table
June 02, 2017 05:53:12:409000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:53:12:411000	127.0.0.1-9557	0
June 02, 2017 05:53:12:414000	127.0.0.1-9557	638
June 02, 2017 05:53:12:416000	127.0.0.1-9557	0
June 02, 2017 05:53:12:418000	127.0.0.1-9557	478
June 02, 2017 05:53:12:439000	127.0.0.1-9557	mask sizes
June 02, 2017 05:53:12:441000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 02, 2017 05:53:12:496000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 02, 2017 05:53:17:356000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 02, 2017 05:53:17:358000	127.0.0.1-9557	[176, 295]
June 02, 2017 05:53:17:360000	127.0.0.1-9557	[(172, 284), (192, 208), (207, 219), (176, 295), [640, 480]]
June 02, 2017 05:53:20:435000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:53:20:437000	127.0.0.1-9557	0
June 02, 2017 05:53:20:438000	127.0.0.1-9557	638
June 02, 2017 05:53:20:440000	127.0.0.1-9557	0
June 02, 2017 05:53:20:443000	127.0.0.1-9557	478
June 02, 2017 05:53:20:449000	127.0.0.1-9557	Keep walking until very close to table
June 02, 2017 05:53:24:539000	127.0.0.1-9557	Four extreme points are: 
June 02, 2017 05:53:24:541000	127.0.0.1-9557	0
June 02, 2017 05:53:24:545000	127.0.0.1-9557	638
June 02, 2017 05:53:24:548000	127.0.0.1-9557	0
June 02, 2017 05:53:24:551000	127.0.0.1-9557	478
June 02, 2017 05:53:24:572000	127.0.0.1-9557	mask sizes
June 02, 2017 05:53:24:585000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 02, 2017 05:53:24:596000	127.0.0.1-9557	left value Y
June 02, 2017 05:53:24:598000	127.0.0.1-9557	478
June 02, 2017 05:53:24:601000	127.0.0.1-9557	left value Y
June 02, 2017 05:53:24:604000	127.0.0.1-9557	478
June 02, 2017 05:53:24:607000	127.0.0.1-9557	left value Y
June 02, 2017 05:53:24:609000	127.0.0.1-9557	474
June 02, 2017 05:53:24:613000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
