May 31, 2017 21:55:12:467000		MOVE  NAO
May 31, 2017 21:55:17:881000	127.0.0.1-9557	SendMessage
May 31, 2017 21:55:17:883000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 21:55:17:886000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 21:55:17:896000	127.0.0.1-9557	read messages
May 31, 2017 21:55:17:910000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
May 31, 2017 21:55:20:179000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 21:55:20:182000	127.0.0.1-9557	[308, 111]
May 31, 2017 21:55:20:186000	127.0.0.1-9557	[(307, 91), (308, 88), (343, 95), (308, 111), [640, 480]]
May 31, 2017 21:55:23:437000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:55:23:446000	127.0.0.1-9557	256
May 31, 2017 21:55:23:448000	127.0.0.1-9557	638
May 31, 2017 21:55:23:449000	127.0.0.1-9557	0
May 31, 2017 21:55:23:451000	127.0.0.1-9557	183
May 31, 2017 21:55:23:458000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 21:55:27:488000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:55:27:490000	127.0.0.1-9557	256
May 31, 2017 21:55:27:492000	127.0.0.1-9557	638
May 31, 2017 21:55:27:495000	127.0.0.1-9557	0
May 31, 2017 21:55:27:497000	127.0.0.1-9557	183
May 31, 2017 21:55:27:526000	127.0.0.1-9557	mask sizes
May 31, 2017 21:55:27:530000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 21:55:27:554000	127.0.0.1-9557	left value Y
May 31, 2017 21:55:27:556000	127.0.0.1-9557	178
May 31, 2017 21:55:27:558000	127.0.0.1-9557	left value Y
May 31, 2017 21:55:27:562000	127.0.0.1-9557	174
May 31, 2017 21:55:27:568000	127.0.0.1-9557	left value Y
May 31, 2017 21:55:27:570000	127.0.0.1-9557	166
May 31, 2017 21:55:35:523000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:55:35:526000	127.0.0.1-9557	204
May 31, 2017 21:55:35:528000	127.0.0.1-9557	638
May 31, 2017 21:55:35:530000	127.0.0.1-9557	0
May 31, 2017 21:55:35:531000	127.0.0.1-9557	179
May 31, 2017 21:55:35:554000	127.0.0.1-9557	mask sizes
May 31, 2017 21:55:35:558000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 21:55:35:570000	127.0.0.1-9557	left value Y
May 31, 2017 21:55:35:573000	127.0.0.1-9557	174
May 31, 2017 21:55:35:576000	127.0.0.1-9557	left value Y
May 31, 2017 21:55:35:578000	127.0.0.1-9557	170
May 31, 2017 21:55:35:581000	127.0.0.1-9557	left value Y
May 31, 2017 21:55:35:583000	127.0.0.1-9557	162
