May 31, 2017 21:55:12:467000		MOVE  NAO
May 31, 2017 21:55:35:590000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
May 31, 2017 21:55:45:764000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:55:45:767000	127.0.0.1-9557	124
May 31, 2017 21:55:45:769000	127.0.0.1-9557	638
May 31, 2017 21:55:45:771000	127.0.0.1-9557	0
May 31, 2017 21:55:45:773000	127.0.0.1-9557	183
May 31, 2017 21:56:02:456000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:56:02:459000	127.0.0.1-9557	0
May 31, 2017 21:56:02:461000	127.0.0.1-9557	638
May 31, 2017 21:56:02:464000	127.0.0.1-9557	0
May 31, 2017 21:56:02:467000	127.0.0.1-9557	175
May 31, 2017 21:56:25:277000	127.0.0.1-9557	>>left most x and right most x points
May 31, 2017 21:56:25:279000	127.0.0.1-9557	0
May 31, 2017 21:56:25:281000	127.0.0.1-9557	0
May 31, 2017 21:56:51:858000	127.0.0.1-9557	>>left most x and right most x points
May 31, 2017 21:56:51:861000	127.0.0.1-9557	0
May 31, 2017 21:56:51:863000	127.0.0.1-9557	0
May 31, 2017 21:57:05:382000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 21:57:05:386000	127.0.0.1-9557	[540, 247]
May 31, 2017 21:57:05:389000	127.0.0.1-9557	[(540, 244), (588, 188), (603, 223), (540, 247), [640, 480]]
May 31, 2017 21:57:05:481000	127.0.0.1-9557	[(540, 244), (588, 188), (603, 223), (540, 247), [640, 480]]
May 31, 2017 21:57:15:777000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 21:57:15:780000	127.0.0.1-9557	[60, 159]
May 31, 2017 21:57:15:783000	127.0.0.1-9557	[(60, 156), (88, 108), (143, 153), (60, 159), [640, 480]]
May 31, 2017 21:57:15:809000	127.0.0.1-9557	[(60, 156), (88, 108), (143, 153), (60, 159), [640, 480]]
May 31, 2017 21:57:18:825000	127.0.0.1-9557	>>left most x and right most x points
May 31, 2017 21:57:18:827000	127.0.0.1-9557	100
May 31, 2017 21:57:18:829000	127.0.0.1-9557	143
May 31, 2017 21:57:26:075000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 21:57:26:077000	127.0.0.1-9557	[62, 259]
May 31, 2017 21:57:26:079000	127.0.0.1-9557	[(4, 204), (87, 159), (91, 163), (62, 259), [640, 480]]
May 31, 2017 21:57:28:725000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:57:28:727000	127.0.0.1-9557	0
May 31, 2017 21:57:28:730000	127.0.0.1-9557	555
May 31, 2017 21:57:28:731000	127.0.0.1-9557	0
May 31, 2017 21:57:28:733000	127.0.0.1-9557	478
May 31, 2017 21:57:28:737000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 21:57:32:736000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:57:32:738000	127.0.0.1-9557	0
May 31, 2017 21:57:32:740000	127.0.0.1-9557	559
May 31, 2017 21:57:32:742000	127.0.0.1-9557	0
May 31, 2017 21:57:32:745000	127.0.0.1-9557	478
May 31, 2017 21:57:32:761000	127.0.0.1-9557	mask sizes
May 31, 2017 21:57:32:765000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 21:57:32:769000	127.0.0.1-9557	left value Y
May 31, 2017 21:57:32:771000	127.0.0.1-9557	470
May 31, 2017 21:57:32:776000	127.0.0.1-9557	left value Y
May 31, 2017 21:57:32:781000	127.0.0.1-9557	438
May 31, 2017 21:57:32:797000	127.0.0.1-9557	Y values left mid right
May 31, 2017 21:57:32:800000	127.0.0.1-9557	-1
May 31, 2017 21:57:32:802000	127.0.0.1-9557	470
May 31, 2017 21:57:32:805000	127.0.0.1-9557	438
May 31, 2017 21:57:40:227000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:57:40:229000	127.0.0.1-9557	0
May 31, 2017 21:57:40:231000	127.0.0.1-9557	539
May 31, 2017 21:57:40:232000	127.0.0.1-9557	0
May 31, 2017 21:57:40:234000	127.0.0.1-9557	478
May 31, 2017 21:57:40:251000	127.0.0.1-9557	mask sizes
May 31, 2017 21:57:40:253000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 21:57:40:256000	127.0.0.1-9557	left value Y
May 31, 2017 21:57:40:258000	127.0.0.1-9557	462
May 31, 2017 21:57:40:260000	127.0.0.1-9557	left value Y
May 31, 2017 21:57:40:262000	127.0.0.1-9557	430
May 31, 2017 21:57:40:279000	127.0.0.1-9557	Y values left mid right
May 31, 2017 21:57:40:282000	127.0.0.1-9557	-1
May 31, 2017 21:57:40:289000	127.0.0.1-9557	462
May 31, 2017 21:57:40:293000	127.0.0.1-9557	430
May 31, 2017 21:57:47:607000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:57:47:608000	127.0.0.1-9557	0
May 31, 2017 21:57:47:610000	127.0.0.1-9557	519
May 31, 2017 21:57:47:611000	127.0.0.1-9557	0
May 31, 2017 21:57:47:612000	127.0.0.1-9557	478
May 31, 2017 21:57:47:629000	127.0.0.1-9557	mask sizes
May 31, 2017 21:57:47:632000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 21:57:47:641000	127.0.0.1-9557	left value Y
May 31, 2017 21:57:47:645000	127.0.0.1-9557	470
May 31, 2017 21:57:47:649000	127.0.0.1-9557	left value Y
May 31, 2017 21:57:47:651000	127.0.0.1-9557	414
May 31, 2017 21:57:47:664000	127.0.0.1-9557	Y values left mid right
May 31, 2017 21:57:47:667000	127.0.0.1-9557	-1
May 31, 2017 21:57:47:668000	127.0.0.1-9557	470
May 31, 2017 21:57:47:671000	127.0.0.1-9557	414
May 31, 2017 21:57:54:989000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:57:54:991000	127.0.0.1-9557	0
May 31, 2017 21:57:54:993000	127.0.0.1-9557	499
May 31, 2017 21:57:54:996000	127.0.0.1-9557	0
May 31, 2017 21:57:54:998000	127.0.0.1-9557	478
May 31, 2017 21:57:55:015000	127.0.0.1-9557	mask sizes
May 31, 2017 21:57:55:019000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 21:57:55:022000	127.0.0.1-9557	left value Y
May 31, 2017 21:57:55:025000	127.0.0.1-9557	462
May 31, 2017 21:57:55:029000	127.0.0.1-9557	left value Y
May 31, 2017 21:57:55:031000	127.0.0.1-9557	382
May 31, 2017 21:57:55:045000	127.0.0.1-9557	Y values left mid right
May 31, 2017 21:57:55:049000	127.0.0.1-9557	-1
May 31, 2017 21:57:55:052000	127.0.0.1-9557	462
May 31, 2017 21:57:55:054000	127.0.0.1-9557	382
May 31, 2017 21:58:02:410000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:58:02:412000	127.0.0.1-9557	0
May 31, 2017 21:58:02:416000	127.0.0.1-9557	483
May 31, 2017 21:58:02:417000	127.0.0.1-9557	0
May 31, 2017 21:58:02:419000	127.0.0.1-9557	478
May 31, 2017 21:58:02:438000	127.0.0.1-9557	mask sizes
May 31, 2017 21:58:02:440000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 21:58:02:447000	127.0.0.1-9557	left value Y
May 31, 2017 21:58:02:449000	127.0.0.1-9557	438
May 31, 2017 21:58:02:453000	127.0.0.1-9557	left value Y
May 31, 2017 21:58:02:456000	127.0.0.1-9557	358
May 31, 2017 21:58:02:468000	127.0.0.1-9557	Y values left mid right
May 31, 2017 21:58:02:470000	127.0.0.1-9557	-1
May 31, 2017 21:58:02:478000	127.0.0.1-9557	438
May 31, 2017 21:58:02:487000	127.0.0.1-9557	358
May 31, 2017 21:58:09:876000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:58:09:879000	127.0.0.1-9557	0
May 31, 2017 21:58:09:881000	127.0.0.1-9557	463
May 31, 2017 21:58:09:886000	127.0.0.1-9557	0
May 31, 2017 21:58:09:889000	127.0.0.1-9557	459
May 31, 2017 21:58:09:910000	127.0.0.1-9557	mask sizes
May 31, 2017 21:58:09:914000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 21:58:09:919000	127.0.0.1-9557	left value Y
May 31, 2017 21:58:09:922000	127.0.0.1-9557	418
May 31, 2017 21:58:09:927000	127.0.0.1-9557	left value Y
May 31, 2017 21:58:09:930000	127.0.0.1-9557	326
May 31, 2017 21:58:09:942000	127.0.0.1-9557	Y values left mid right
May 31, 2017 21:58:09:947000	127.0.0.1-9557	-1
May 31, 2017 21:58:09:950000	127.0.0.1-9557	418
May 31, 2017 21:58:09:953000	127.0.0.1-9557	326
May 31, 2017 21:58:17:392000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:58:17:396000	127.0.0.1-9557	0
May 31, 2017 21:58:17:398000	127.0.0.1-9557	439
May 31, 2017 21:58:17:400000	127.0.0.1-9557	0
May 31, 2017 21:58:17:404000	127.0.0.1-9557	423
May 31, 2017 21:58:17:527000	127.0.0.1-9557	mask sizes
May 31, 2017 21:58:17:529000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 21:58:17:537000	127.0.0.1-9557	left value Y
May 31, 2017 21:58:17:539000	127.0.0.1-9557	382
May 31, 2017 21:58:17:543000	127.0.0.1-9557	left value Y
May 31, 2017 21:58:17:545000	127.0.0.1-9557	314
May 31, 2017 21:58:17:555000	127.0.0.1-9557	Y values left mid right
May 31, 2017 21:58:17:558000	127.0.0.1-9557	-1
May 31, 2017 21:58:17:562000	127.0.0.1-9557	382
May 31, 2017 21:58:17:565000	127.0.0.1-9557	314
May 31, 2017 21:58:25:191000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:58:25:194000	127.0.0.1-9557	0
May 31, 2017 21:58:25:197000	127.0.0.1-9557	399
May 31, 2017 21:58:25:199000	127.0.0.1-9557	0
May 31, 2017 21:58:25:201000	127.0.0.1-9557	395
May 31, 2017 21:58:25:223000	127.0.0.1-9557	mask sizes
May 31, 2017 21:58:25:226000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 21:58:25:232000	127.0.0.1-9557	left value Y
May 31, 2017 21:58:25:255000	127.0.0.1-9557	354
May 31, 2017 21:58:25:270000	127.0.0.1-9557	left value Y
May 31, 2017 21:58:25:274000	127.0.0.1-9557	278
May 31, 2017 21:58:25:297000	127.0.0.1-9557	Y values left mid right
May 31, 2017 21:58:25:318000	127.0.0.1-9557	-1
May 31, 2017 21:58:25:321000	127.0.0.1-9557	354
May 31, 2017 21:58:25:331000	127.0.0.1-9557	278
May 31, 2017 21:58:33:173000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:58:33:176000	127.0.0.1-9557	0
May 31, 2017 21:58:33:178000	127.0.0.1-9557	383
May 31, 2017 21:58:33:180000	127.0.0.1-9557	0
May 31, 2017 21:58:33:183000	127.0.0.1-9557	383
May 31, 2017 21:58:33:208000	127.0.0.1-9557	mask sizes
May 31, 2017 21:58:33:210000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 21:58:33:218000	127.0.0.1-9557	left value Y
May 31, 2017 21:58:33:220000	127.0.0.1-9557	334
May 31, 2017 21:58:33:224000	127.0.0.1-9557	left value Y
May 31, 2017 21:58:33:228000	127.0.0.1-9557	262
May 31, 2017 21:58:33:236000	127.0.0.1-9557	Y values left mid right
May 31, 2017 21:58:33:238000	127.0.0.1-9557	-1
May 31, 2017 21:58:33:240000	127.0.0.1-9557	334
May 31, 2017 21:58:33:242000	127.0.0.1-9557	262
May 31, 2017 21:58:41:070000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:58:41:072000	127.0.0.1-9557	0
May 31, 2017 21:58:41:075000	127.0.0.1-9557	363
May 31, 2017 21:58:41:077000	127.0.0.1-9557	0
May 31, 2017 21:58:41:078000	127.0.0.1-9557	351
May 31, 2017 21:58:41:096000	127.0.0.1-9557	mask sizes
May 31, 2017 21:58:41:099000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 21:58:41:109000	127.0.0.1-9557	left value Y
May 31, 2017 21:58:41:112000	127.0.0.1-9557	310
May 31, 2017 21:58:41:117000	127.0.0.1-9557	left value Y
May 31, 2017 21:58:41:119000	127.0.0.1-9557	230
May 31, 2017 21:58:41:127000	127.0.0.1-9557	Y values left mid right
May 31, 2017 21:58:41:129000	127.0.0.1-9557	-1
May 31, 2017 21:58:41:132000	127.0.0.1-9557	310
May 31, 2017 21:58:41:135000	127.0.0.1-9557	230
May 31, 2017 21:58:48:578000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:58:48:581000	127.0.0.1-9557	0
May 31, 2017 21:58:48:583000	127.0.0.1-9557	315
May 31, 2017 21:58:48:586000	127.0.0.1-9557	0
May 31, 2017 21:58:48:588000	127.0.0.1-9557	311
May 31, 2017 21:58:48:607000	127.0.0.1-9557	mask sizes
May 31, 2017 21:58:48:609000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 21:58:48:617000	127.0.0.1-9557	left value Y
May 31, 2017 21:58:48:619000	127.0.0.1-9557	270
May 31, 2017 21:58:48:623000	127.0.0.1-9557	left value Y
May 31, 2017 21:58:48:626000	127.0.0.1-9557	190
May 31, 2017 21:58:48:634000	127.0.0.1-9557	Y values left mid right
May 31, 2017 21:58:48:636000	127.0.0.1-9557	-1
May 31, 2017 21:58:48:637000	127.0.0.1-9557	270
May 31, 2017 21:58:48:640000	127.0.0.1-9557	190
May 31, 2017 21:58:56:159000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 21:58:56:161000	127.0.0.1-9557	0
May 31, 2017 21:58:56:163000	127.0.0.1-9557	271
May 31, 2017 21:58:56:166000	127.0.0.1-9557	0
May 31, 2017 21:58:56:168000	127.0.0.1-9557	455
May 31, 2017 21:58:56:201000	127.0.0.1-9557	mask sizes
May 31, 2017 21:58:56:203000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 21:58:56:224000	127.0.0.1-9557	left value Y
May 31, 2017 21:58:56:229000	127.0.0.1-9557	226
May 31, 2017 21:58:56:250000	127.0.0.1-9557	left value Y
May 31, 2017 21:58:56:258000	127.0.0.1-9557	158
May 31, 2017 21:58:56:263000	127.0.0.1-9557	Y values left mid right
May 31, 2017 21:58:56:265000	127.0.0.1-9557	-1
May 31, 2017 21:58:56:267000	127.0.0.1-9557	226
May 31, 2017 21:58:56:269000	127.0.0.1-9557	158
