June 03, 2017 18:48:00:896000		MOVE  NAO
June 03, 2017 18:48:32:331000	127.0.0.1-9557	106
June 03, 2017 18:48:32:337000	127.0.0.1-9557	Y values left mid right
June 03, 2017 18:48:32:340000	127.0.0.1-9557	106
June 03, 2017 18:48:32:342000	127.0.0.1-9557	110
June 03, 2017 18:48:32:346000	127.0.0.1-9557	-1
June 03, 2017 18:48:42:780000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:48:42:783000	127.0.0.1-9557	0
June 03, 2017 18:48:42:785000	127.0.0.1-9557	543
June 03, 2017 18:48:42:788000	127.0.0.1-9557	0
June 03, 2017 18:48:42:790000	127.0.0.1-9557	123
June 03, 2017 18:48:42:813000	127.0.0.1-9557	mask sizes
June 03, 2017 18:48:42:817000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 18:48:42:831000	127.0.0.1-9557	left value Y
June 03, 2017 18:48:42:833000	127.0.0.1-9557	106
June 03, 2017 18:48:42:836000	127.0.0.1-9557	left value Y
June 03, 2017 18:48:42:841000	127.0.0.1-9557	102
June 03, 2017 18:48:42:844000	127.0.0.1-9557	left value Y
June 03, 2017 18:48:42:846000	127.0.0.1-9557	90
June 03, 2017 18:48:52:998000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:48:53:003000	127.0.0.1-9557	0
June 03, 2017 18:48:53:007000	127.0.0.1-9557	455
June 03, 2017 18:48:53:009000	127.0.0.1-9557	0
June 03, 2017 18:48:53:011000	127.0.0.1-9557	127
June 03, 2017 18:48:53:342000	127.0.0.1-9557	mask sizes
June 03, 2017 18:48:53:346000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 18:48:53:392000	127.0.0.1-9557	left value Y
June 03, 2017 18:48:53:394000	127.0.0.1-9557	118
June 03, 2017 18:48:53:398000	127.0.0.1-9557	left value Y
June 03, 2017 18:48:53:400000	127.0.0.1-9557	90
June 03, 2017 18:48:53:406000	127.0.0.1-9557	Y values left mid right
June 03, 2017 18:48:53:419000	127.0.0.1-9557	118
June 03, 2017 18:48:53:424000	127.0.0.1-9557	90
June 03, 2017 18:48:53:428000	127.0.0.1-9557	-1
June 03, 2017 18:49:03:540000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:49:03:543000	127.0.0.1-9557	0
June 03, 2017 18:49:03:547000	127.0.0.1-9557	495
June 03, 2017 18:49:03:549000	127.0.0.1-9557	0
June 03, 2017 18:49:03:551000	127.0.0.1-9557	131
June 03, 2017 18:49:03:569000	127.0.0.1-9557	mask sizes
June 03, 2017 18:49:03:571000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 18:49:03:582000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:03:585000	127.0.0.1-9557	118
June 03, 2017 18:49:03:587000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:03:589000	127.0.0.1-9557	110
June 03, 2017 18:49:03:599000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:03:603000	127.0.0.1-9557	38
June 03, 2017 18:49:13:755000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:49:13:761000	127.0.0.1-9557	0
June 03, 2017 18:49:13:763000	127.0.0.1-9557	467
June 03, 2017 18:49:13:766000	127.0.0.1-9557	0
June 03, 2017 18:49:13:767000	127.0.0.1-9557	127
June 03, 2017 18:49:13:787000	127.0.0.1-9557	mask sizes
June 03, 2017 18:49:13:789000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 18:49:13:801000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:13:803000	127.0.0.1-9557	114
June 03, 2017 18:49:13:810000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:13:813000	127.0.0.1-9557	74
June 03, 2017 18:49:13:821000	127.0.0.1-9557	Y values left mid right
June 03, 2017 18:49:13:823000	127.0.0.1-9557	114
June 03, 2017 18:49:13:838000	127.0.0.1-9557	74
June 03, 2017 18:49:13:841000	127.0.0.1-9557	-1
June 03, 2017 18:49:24:516000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:49:24:551000	127.0.0.1-9557	16
June 03, 2017 18:49:24:553000	127.0.0.1-9557	571
June 03, 2017 18:49:24:557000	127.0.0.1-9557	0
June 03, 2017 18:49:24:558000	127.0.0.1-9557	139
June 03, 2017 18:49:24:602000	127.0.0.1-9557	mask sizes
June 03, 2017 18:49:24:604000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 18:49:24:659000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:24:662000	127.0.0.1-9557	126
June 03, 2017 18:49:24:664000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:24:672000	127.0.0.1-9557	122
June 03, 2017 18:49:24:685000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:24:713000	127.0.0.1-9557	110
June 03, 2017 18:49:35:497000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:49:35:504000	127.0.0.1-9557	0
June 03, 2017 18:49:35:510000	127.0.0.1-9557	499
June 03, 2017 18:49:35:513000	127.0.0.1-9557	0
June 03, 2017 18:49:35:516000	127.0.0.1-9557	139
June 03, 2017 18:49:35:543000	127.0.0.1-9557	mask sizes
June 03, 2017 18:49:35:549000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 18:49:35:588000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:35:594000	127.0.0.1-9557	126
June 03, 2017 18:49:35:602000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:35:610000	127.0.0.1-9557	94
June 03, 2017 18:49:35:619000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:35:623000	127.0.0.1-9557	30
June 03, 2017 18:49:46:400000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:49:46:410000	127.0.0.1-9557	0
June 03, 2017 18:49:46:414000	127.0.0.1-9557	515
June 03, 2017 18:49:46:423000	127.0.0.1-9557	0
June 03, 2017 18:49:46:425000	127.0.0.1-9557	139
June 03, 2017 18:49:46:527000	127.0.0.1-9557	mask sizes
June 03, 2017 18:49:46:537000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 18:49:46:617000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:46:619000	127.0.0.1-9557	130
June 03, 2017 18:49:46:627000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:46:636000	127.0.0.1-9557	102
June 03, 2017 18:49:46:641000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:46:655000	127.0.0.1-9557	46
June 03, 2017 18:49:58:342000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:49:58:347000	127.0.0.1-9557	44
June 03, 2017 18:49:58:356000	127.0.0.1-9557	579
June 03, 2017 18:49:58:362000	127.0.0.1-9557	0
June 03, 2017 18:49:58:367000	127.0.0.1-9557	147
June 03, 2017 18:49:58:435000	127.0.0.1-9557	mask sizes
June 03, 2017 18:49:58:439000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 18:49:58:454000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:58:457000	127.0.0.1-9557	126
June 03, 2017 18:49:58:461000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:58:468000	127.0.0.1-9557	122
June 03, 2017 18:49:58:477000	127.0.0.1-9557	left value Y
June 03, 2017 18:49:58:482000	127.0.0.1-9557	106
June 03, 2017 18:50:05:428000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:50:05:430000	127.0.0.1-9557	28
June 03, 2017 18:50:05:432000	127.0.0.1-9557	579
June 03, 2017 18:50:05:434000	127.0.0.1-9557	0
June 03, 2017 18:50:05:436000	127.0.0.1-9557	147
June 03, 2017 18:50:05:464000	127.0.0.1-9557	mask sizes
June 03, 2017 18:50:05:471000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 18:50:05:513000	127.0.0.1-9557	left value Y
June 03, 2017 18:50:05:520000	127.0.0.1-9557	134
June 03, 2017 18:50:05:523000	127.0.0.1-9557	left value Y
June 03, 2017 18:50:05:525000	127.0.0.1-9557	126
June 03, 2017 18:50:05:529000	127.0.0.1-9557	left value Y
June 03, 2017 18:50:05:536000	127.0.0.1-9557	102
