June 03, 2017 18:48:00:896000		MOVE  NAO
June 03, 2017 18:48:06:749000	127.0.0.1-9557	SendMessage
June 03, 2017 18:48:06:752000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 03, 2017 18:48:06:756000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 03, 2017 18:48:06:761000	127.0.0.1-9557	read messages
June 03, 2017 18:48:06:767000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 03, 2017 18:48:14:577000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 03, 2017 18:48:14:582000	127.0.0.1-9557	[420, 27]
June 03, 2017 18:48:14:585000	127.0.0.1-9557	[(415, 19), (428, 12), (431, 15), (420, 27), [640, 480]]
June 03, 2017 18:48:17:289000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:48:17:292000	127.0.0.1-9557	0
June 03, 2017 18:48:17:294000	127.0.0.1-9557	463
June 03, 2017 18:48:17:297000	127.0.0.1-9557	0
June 03, 2017 18:48:17:300000	127.0.0.1-9557	119
June 03, 2017 18:48:17:305000	127.0.0.1-9557	Keep walking until very close to table
June 03, 2017 18:48:21:187000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:48:21:189000	127.0.0.1-9557	0
June 03, 2017 18:48:21:191000	127.0.0.1-9557	455
June 03, 2017 18:48:21:194000	127.0.0.1-9557	0
June 03, 2017 18:48:21:196000	127.0.0.1-9557	115
June 03, 2017 18:48:21:232000	127.0.0.1-9557	mask sizes
June 03, 2017 18:48:21:235000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 18:48:21:259000	127.0.0.1-9557	left value Y
June 03, 2017 18:48:21:266000	127.0.0.1-9557	110
June 03, 2017 18:48:21:273000	127.0.0.1-9557	left value Y
June 03, 2017 18:48:21:276000	127.0.0.1-9557	106
June 03, 2017 18:48:21:281000	127.0.0.1-9557	Y values left mid right
June 03, 2017 18:48:21:282000	127.0.0.1-9557	110
June 03, 2017 18:48:21:285000	127.0.0.1-9557	106
June 03, 2017 18:48:21:294000	127.0.0.1-9557	-1
June 03, 2017 18:48:32:033000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 18:48:32:054000	127.0.0.1-9557	0
June 03, 2017 18:48:32:068000	127.0.0.1-9557	455
June 03, 2017 18:48:32:104000	127.0.0.1-9557	0
June 03, 2017 18:48:32:114000	127.0.0.1-9557	111
June 03, 2017 18:48:32:291000	127.0.0.1-9557	mask sizes
June 03, 2017 18:48:32:295000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 18:48:32:317000	127.0.0.1-9557	left value Y
June 03, 2017 18:48:32:320000	127.0.0.1-9557	110
June 03, 2017 18:48:32:324000	127.0.0.1-9557	left value Y
