June 03, 2017 19:11:53:421000		MOVE  NAO
June 03, 2017 19:11:59:115000	127.0.0.1-9557	SendMessage
June 03, 2017 19:11:59:120000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 03, 2017 19:11:59:124000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 03, 2017 19:11:59:137000	127.0.0.1-9557	read messages
June 03, 2017 19:11:59:160000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 03, 2017 19:12:01:891000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 03, 2017 19:12:01:901000	127.0.0.1-9557	[360, 39]
June 03, 2017 19:12:01:907000	127.0.0.1-9557	[(356, 24), (359, 23), (368, 32), (360, 39), [640, 480]]
June 03, 2017 19:12:05:160000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:12:05:170000	127.0.0.1-9557	0
June 03, 2017 19:12:05:172000	127.0.0.1-9557	455
June 03, 2017 19:12:05:174000	127.0.0.1-9557	0
June 03, 2017 19:12:05:176000	127.0.0.1-9557	111
June 03, 2017 19:12:05:181000	127.0.0.1-9557	Keep walking until very close to table
June 03, 2017 19:12:09:021000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:12:09:025000	127.0.0.1-9557	0
June 03, 2017 19:12:09:027000	127.0.0.1-9557	447
June 03, 2017 19:12:09:029000	127.0.0.1-9557	0
June 03, 2017 19:12:09:032000	127.0.0.1-9557	107
June 03, 2017 19:12:09:055000	127.0.0.1-9557	mask sizes
June 03, 2017 19:12:09:059000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:12:09:072000	127.0.0.1-9557	left value Y
June 03, 2017 19:12:09:074000	127.0.0.1-9557	106
June 03, 2017 19:12:09:076000	127.0.0.1-9557	left value Y
June 03, 2017 19:12:09:077000	127.0.0.1-9557	102
June 03, 2017 19:12:09:079000	127.0.0.1-9557	left value Y
June 03, 2017 19:12:09:081000	127.0.0.1-9557	98
June 03, 2017 19:12:09:089000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 03, 2017 19:12:16:138000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:12:16:140000	127.0.0.1-9557	-1
June 03, 2017 19:12:16:143000	127.0.0.1-9557	-1
June 03, 2017 19:12:16:146000	127.0.0.1-9557	-1
June 03, 2017 19:12:16:149000	127.0.0.1-9557	-1
June 03, 2017 19:12:26:559000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:12:26:562000	127.0.0.1-9557	-1
June 03, 2017 19:12:26:577000	127.0.0.1-9557	-1
June 03, 2017 19:12:26:580000	127.0.0.1-9557	-1
June 03, 2017 19:12:26:586000	127.0.0.1-9557	-1
June 03, 2017 19:12:36:930000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:12:36:937000	127.0.0.1-9557	-1
June 03, 2017 19:12:36:943000	127.0.0.1-9557	-1
June 03, 2017 19:12:36:949000	127.0.0.1-9557	-1
June 03, 2017 19:12:36:956000	127.0.0.1-9557	-1
June 03, 2017 19:12:46:699000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:12:46:703000	127.0.0.1-9557	-1
June 03, 2017 19:12:46:707000	127.0.0.1-9557	-1
June 03, 2017 19:12:46:710000	127.0.0.1-9557	-1
June 03, 2017 19:12:46:715000	127.0.0.1-9557	-1
June 03, 2017 19:12:56:377000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:12:56:384000	127.0.0.1-9557	-1
June 03, 2017 19:12:56:390000	127.0.0.1-9557	-1
June 03, 2017 19:12:56:392000	127.0.0.1-9557	-1
June 03, 2017 19:12:56:395000	127.0.0.1-9557	-1
June 03, 2017 19:13:06:730000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:13:06:732000	127.0.0.1-9557	-1
June 03, 2017 19:13:06:734000	127.0.0.1-9557	-1
June 03, 2017 19:13:06:736000	127.0.0.1-9557	-1
June 03, 2017 19:13:06:739000	127.0.0.1-9557	-1
June 03, 2017 19:13:16:187000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:13:16:189000	127.0.0.1-9557	456
June 03, 2017 19:13:16:193000	127.0.0.1-9557	638
June 03, 2017 19:13:16:196000	127.0.0.1-9557	0
June 03, 2017 19:13:16:200000	127.0.0.1-9557	55
June 03, 2017 19:13:24:781000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:13:24:784000	127.0.0.1-9557	264
June 03, 2017 19:13:24:786000	127.0.0.1-9557	638
June 03, 2017 19:13:24:789000	127.0.0.1-9557	0
June 03, 2017 19:13:24:791000	127.0.0.1-9557	107
June 03, 2017 19:13:33:690000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:13:33:692000	127.0.0.1-9557	212
June 03, 2017 19:13:33:693000	127.0.0.1-9557	638
June 03, 2017 19:13:33:695000	127.0.0.1-9557	0
June 03, 2017 19:13:33:697000	127.0.0.1-9557	131
June 03, 2017 19:13:42:658000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:13:42:666000	127.0.0.1-9557	116
June 03, 2017 19:13:42:676000	127.0.0.1-9557	638
June 03, 2017 19:13:42:696000	127.0.0.1-9557	0
June 03, 2017 19:13:42:716000	127.0.0.1-9557	175
June 03, 2017 19:13:51:540000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:13:51:544000	127.0.0.1-9557	0
June 03, 2017 19:13:51:549000	127.0.0.1-9557	638
June 03, 2017 19:13:51:552000	127.0.0.1-9557	0
June 03, 2017 19:13:51:556000	127.0.0.1-9557	219
June 03, 2017 19:13:59:908000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 03, 2017 19:13:59:910000	127.0.0.1-9557	[600, 99]
June 03, 2017 19:13:59:913000	127.0.0.1-9557	[(596, 88), (620, 32), (638, 51), (600, 99), [640, 480]]
June 03, 2017 19:14:02:684000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:14:02:686000	127.0.0.1-9557	0
June 03, 2017 19:14:02:688000	127.0.0.1-9557	638
June 03, 2017 19:14:02:690000	127.0.0.1-9557	0
June 03, 2017 19:14:02:692000	127.0.0.1-9557	219
June 03, 2017 19:14:02:698000	127.0.0.1-9557	Keep walking until very close to table
June 03, 2017 19:14:06:538000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:14:06:541000	127.0.0.1-9557	0
June 03, 2017 19:14:06:544000	127.0.0.1-9557	638
