May 31, 2017 19:16:51:680000		MOVE  NAO
May 31, 2017 19:16:57:102000	127.0.0.1-9557	SendMessage
May 31, 2017 19:16:57:114000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 19:16:57:116000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 19:16:57:136000	127.0.0.1-9557	read messages
May 31, 2017 19:16:57:192000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
May 31, 2017 19:16:59:759000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 19:17:01:082000	127.0.0.1-9557	mask sizes
May 31, 2017 19:17:01:085000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:17:01:102000	127.0.0.1-9557	left value Y
May 31, 2017 19:17:01:108000	127.0.0.1-9557	170
May 31, 2017 19:17:01:118000	127.0.0.1-9557	Y values left mid right
May 31, 2017 19:17:01:133000	127.0.0.1-9557	170
May 31, 2017 19:17:01:135000	127.0.0.1-9557	-1
May 31, 2017 19:17:01:137000	127.0.0.1-9557	-1
May 31, 2017 19:17:06:287000	127.0.0.1-9557	mask sizes
May 31, 2017 19:17:06:291000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:17:06:321000	127.0.0.1-9557	left value Y
May 31, 2017 19:17:06:325000	127.0.0.1-9557	166
May 31, 2017 19:17:06:333000	127.0.0.1-9557	Y values left mid right
May 31, 2017 19:17:06:335000	127.0.0.1-9557	166
May 31, 2017 19:17:06:338000	127.0.0.1-9557	-1
May 31, 2017 19:17:06:341000	127.0.0.1-9557	-1
May 31, 2017 19:17:11:311000	127.0.0.1-9557	mask sizes
May 31, 2017 19:17:11:322000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:17:11:392000	127.0.0.1-9557	left value Y
May 31, 2017 19:17:11:395000	127.0.0.1-9557	154
May 31, 2017 19:17:11:408000	127.0.0.1-9557	left value Y
May 31, 2017 19:17:11:439000	127.0.0.1-9557	154
May 31, 2017 19:17:11:447000	127.0.0.1-9557	Y values left mid right
May 31, 2017 19:17:11:452000	127.0.0.1-9557	154
May 31, 2017 19:17:11:454000	127.0.0.1-9557	-1
May 31, 2017 19:17:11:463000	127.0.0.1-9557	154
May 31, 2017 19:17:11:572000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
