June 01, 2017 06:28:41:827000		MOVE  NAO
June 01, 2017 06:28:47:271000	127.0.0.1-9557	SendMessage
June 01, 2017 06:28:47:274000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 01, 2017 06:28:47:276000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 01, 2017 06:28:47:280000	127.0.0.1-9557	read messages
June 01, 2017 06:28:47:283000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 01, 2017 06:28:49:657000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 01, 2017 06:28:49:660000	127.0.0.1-9557	[416, 99]
June 01, 2017 06:28:49:663000	127.0.0.1-9557	[(396, 84), (399, 83), (435, 87), (416, 99), [640, 480]]
June 01, 2017 06:28:53:152000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:28:53:160000	127.0.0.1-9557	264
June 01, 2017 06:28:53:163000	127.0.0.1-9557	638
June 01, 2017 06:28:53:164000	127.0.0.1-9557	0
June 01, 2017 06:28:53:166000	127.0.0.1-9557	179
June 01, 2017 06:28:53:171000	127.0.0.1-9557	Keep walking until very close to table
June 01, 2017 06:28:57:561000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:28:57:565000	127.0.0.1-9557	256
June 01, 2017 06:28:57:569000	127.0.0.1-9557	638
June 01, 2017 06:28:57:572000	127.0.0.1-9557	0
June 01, 2017 06:28:57:576000	127.0.0.1-9557	179
June 01, 2017 06:28:57:600000	127.0.0.1-9557	mask sizes
June 01, 2017 06:28:57:603000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:28:57:616000	127.0.0.1-9557	left value Y
June 01, 2017 06:28:57:619000	127.0.0.1-9557	170
June 01, 2017 06:28:57:621000	127.0.0.1-9557	left value Y
June 01, 2017 06:28:57:623000	127.0.0.1-9557	166
June 01, 2017 06:28:57:626000	127.0.0.1-9557	left value Y
June 01, 2017 06:28:57:628000	127.0.0.1-9557	166
June 01, 2017 06:28:57:634000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 01, 2017 06:29:09:553000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:29:09:556000	127.0.0.1-9557	-1
June 01, 2017 06:29:09:560000	127.0.0.1-9557	-1
June 01, 2017 06:29:09:573000	127.0.0.1-9557	-1
June 01, 2017 06:29:09:582000	127.0.0.1-9557	-1
June 01, 2017 06:29:19:431000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:29:19:433000	127.0.0.1-9557	-1
June 01, 2017 06:29:19:440000	127.0.0.1-9557	-1
June 01, 2017 06:29:19:443000	127.0.0.1-9557	-1
June 01, 2017 06:29:19:446000	127.0.0.1-9557	-1
June 01, 2017 06:29:29:369000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:29:29:392000	127.0.0.1-9557	-1
June 01, 2017 06:29:29:403000	127.0.0.1-9557	-1
June 01, 2017 06:29:29:409000	127.0.0.1-9557	-1
June 01, 2017 06:29:29:424000	127.0.0.1-9557	-1
June 01, 2017 06:29:39:156000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:29:39:172000	127.0.0.1-9557	-1
