June 01, 2017 06:28:41:827000		MOVE  NAO
June 01, 2017 06:29:39:174000	127.0.0.1-9557	-1
June 01, 2017 06:29:39:175000	127.0.0.1-9557	-1
June 01, 2017 06:29:39:177000	127.0.0.1-9557	-1
June 01, 2017 06:29:49:048000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:29:49:057000	127.0.0.1-9557	-1
June 01, 2017 06:29:49:059000	127.0.0.1-9557	-1
June 01, 2017 06:29:49:064000	127.0.0.1-9557	-1
June 01, 2017 06:29:49:066000	127.0.0.1-9557	-1
June 01, 2017 06:29:58:876000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:29:58:878000	127.0.0.1-9557	288
June 01, 2017 06:29:58:881000	127.0.0.1-9557	611
June 01, 2017 06:29:58:885000	127.0.0.1-9557	0
June 01, 2017 06:29:58:890000	127.0.0.1-9557	39
June 01, 2017 06:30:09:258000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:30:09:261000	127.0.0.1-9557	312
June 01, 2017 06:30:09:264000	127.0.0.1-9557	638
June 01, 2017 06:30:09:270000	127.0.0.1-9557	0
June 01, 2017 06:30:09:274000	127.0.0.1-9557	131
June 01, 2017 06:30:19:326000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:30:19:336000	127.0.0.1-9557	320
June 01, 2017 06:30:19:348000	127.0.0.1-9557	638
June 01, 2017 06:30:19:359000	127.0.0.1-9557	0
June 01, 2017 06:30:19:366000	127.0.0.1-9557	251
June 01, 2017 06:30:36:605000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:30:36:608000	127.0.0.1-9557	0
June 01, 2017 06:30:36:611000	127.0.0.1-9557	638
June 01, 2017 06:30:36:615000	127.0.0.1-9557	0
June 01, 2017 06:30:36:618000	127.0.0.1-9557	227
June 01, 2017 06:30:45:023000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 01, 2017 06:30:45:029000	127.0.0.1-9557	[175, 100]
June 01, 2017 06:30:45:033000	127.0.0.1-9557	[(171, 27), (172, 24), (203, 47), (175, 100), [640, 480]]
June 01, 2017 06:30:47:896000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:30:47:905000	127.0.0.1-9557	0
June 01, 2017 06:30:47:908000	127.0.0.1-9557	638
June 01, 2017 06:30:47:910000	127.0.0.1-9557	0
June 01, 2017 06:30:47:912000	127.0.0.1-9557	223
June 01, 2017 06:30:47:919000	127.0.0.1-9557	Keep walking until very close to table
June 01, 2017 06:30:51:930000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:30:51:936000	127.0.0.1-9557	0
June 01, 2017 06:30:51:939000	127.0.0.1-9557	638
June 01, 2017 06:30:51:942000	127.0.0.1-9557	0
June 01, 2017 06:30:51:946000	127.0.0.1-9557	223
June 01, 2017 06:30:51:972000	127.0.0.1-9557	mask sizes
June 01, 2017 06:30:51:976000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:30:51:986000	127.0.0.1-9557	left value Y
June 01, 2017 06:30:51:989000	127.0.0.1-9557	206
June 01, 2017 06:30:51:994000	127.0.0.1-9557	left value Y
June 01, 2017 06:30:51:999000	127.0.0.1-9557	202
June 01, 2017 06:30:52:008000	127.0.0.1-9557	left value Y
June 01, 2017 06:30:52:016000	127.0.0.1-9557	186
June 01, 2017 06:31:02:837000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:31:02:842000	127.0.0.1-9557	0
June 01, 2017 06:31:02:844000	127.0.0.1-9557	638
June 01, 2017 06:31:02:849000	127.0.0.1-9557	0
June 01, 2017 06:31:02:851000	127.0.0.1-9557	179
June 01, 2017 06:31:03:015000	127.0.0.1-9557	mask sizes
June 01, 2017 06:31:03:019000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:31:03:048000	127.0.0.1-9557	left value Y
June 01, 2017 06:31:03:056000	127.0.0.1-9557	166
June 01, 2017 06:31:03:063000	127.0.0.1-9557	left value Y
June 01, 2017 06:31:03:074000	127.0.0.1-9557	162
June 01, 2017 06:31:03:105000	127.0.0.1-9557	left value Y
June 01, 2017 06:31:03:107000	127.0.0.1-9557	154
June 01, 2017 06:31:13:602000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:31:13:606000	127.0.0.1-9557	0
June 01, 2017 06:31:13:608000	127.0.0.1-9557	638
June 01, 2017 06:31:13:610000	127.0.0.1-9557	0
June 01, 2017 06:31:13:613000	127.0.0.1-9557	179
June 01, 2017 06:31:13:631000	127.0.0.1-9557	mask sizes
June 01, 2017 06:31:13:633000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:31:13:642000	127.0.0.1-9557	left value Y
June 01, 2017 06:31:13:647000	127.0.0.1-9557	162
June 01, 2017 06:31:13:649000	127.0.0.1-9557	left value Y
June 01, 2017 06:31:13:657000	127.0.0.1-9557	162
June 01, 2017 06:31:13:666000	127.0.0.1-9557	left value Y
June 01, 2017 06:31:13:668000	127.0.0.1-9557	158
June 01, 2017 06:31:13:689000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 01, 2017 06:31:26:693000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:31:26:700000	127.0.0.1-9557	176
June 01, 2017 06:31:26:703000	127.0.0.1-9557	638
June 01, 2017 06:31:26:707000	127.0.0.1-9557	0
June 01, 2017 06:31:26:721000	127.0.0.1-9557	367
June 01, 2017 06:31:26:949000	127.0.0.1-9557	464
June 01, 2017 06:31:39:874000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:31:39:878000	127.0.0.1-9557	0
June 01, 2017 06:31:39:882000	127.0.0.1-9557	379
June 01, 2017 06:31:39:889000	127.0.0.1-9557	0
June 01, 2017 06:31:39:897000	127.0.0.1-9557	343
June 01, 2017 06:31:39:901000	127.0.0.1-9557	379
June 01, 2017 06:31:46:856000	127.0.0.1-9557	too much to right: 85
June 01, 2017 06:31:56:248000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 01, 2017 06:31:56:249000	127.0.0.1-9557	[124, 255]
June 01, 2017 06:31:56:251000	127.0.0.1-9557	[(120, 244), (128, 176), (219, 191), (124, 255), [640, 480]]
June 01, 2017 06:31:59:178000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:31:59:180000	127.0.0.1-9557	0
June 01, 2017 06:31:59:191000	127.0.0.1-9557	638
June 01, 2017 06:31:59:195000	127.0.0.1-9557	0
June 01, 2017 06:31:59:198000	127.0.0.1-9557	351
June 01, 2017 06:31:59:344000	127.0.0.1-9557	Keep walking until very close to table
June 01, 2017 06:32:03:336000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:32:03:339000	127.0.0.1-9557	0
June 01, 2017 06:32:03:342000	127.0.0.1-9557	638
June 01, 2017 06:32:03:344000	127.0.0.1-9557	0
June 01, 2017 06:32:03:346000	127.0.0.1-9557	351
June 01, 2017 06:32:03:365000	127.0.0.1-9557	mask sizes
June 01, 2017 06:32:03:368000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:32:03:375000	127.0.0.1-9557	left value Y
June 01, 2017 06:32:03:378000	127.0.0.1-9557	338
June 01, 2017 06:32:03:382000	127.0.0.1-9557	left value Y
June 01, 2017 06:32:03:385000	127.0.0.1-9557	338
June 01, 2017 06:32:03:389000	127.0.0.1-9557	left value Y
June 01, 2017 06:32:03:394000	127.0.0.1-9557	334
June 01, 2017 06:32:03:429000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 01, 2017 06:32:17:028000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:32:17:038000	127.0.0.1-9557	224
June 01, 2017 06:32:17:046000	127.0.0.1-9557	638
June 01, 2017 06:32:17:056000	127.0.0.1-9557	0
June 01, 2017 06:32:17:062000	127.0.0.1-9557	379
June 01, 2017 06:32:17:101000	127.0.0.1-9557	416
June 01, 2017 06:32:30:432000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:32:30:456000	127.0.0.1-9557	0
June 01, 2017 06:32:30:459000	127.0.0.1-9557	371
June 01, 2017 06:32:30:461000	127.0.0.1-9557	0
June 01, 2017 06:32:30:462000	127.0.0.1-9557	347
June 01, 2017 06:32:30:687000	127.0.0.1-9557	371
June 01, 2017 06:32:38:751000	127.0.0.1-9557	KEEP WALKING UNTIL OBJECT SEEN BY BOTTOM CAM
June 01, 2017 06:32:38:755000	127.0.0.1-9557	KEEP WALKING UNTIL OBJECT SEEN BY BOTTOM CAM
June 01, 2017 06:32:42:681000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:32:42:683000	127.0.0.1-9557	0
June 01, 2017 06:32:42:685000	127.0.0.1-9557	371
June 01, 2017 06:32:42:688000	127.0.0.1-9557	0
June 01, 2017 06:32:42:690000	127.0.0.1-9557	347
June 01, 2017 06:32:45:410000	127.0.0.1-9557	KEEP WALKING UNTIL OBJECT SEEN BY BOTTOM CAM
June 01, 2017 06:32:49:247000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:32:49:249000	127.0.0.1-9557	0
June 01, 2017 06:32:49:251000	127.0.0.1-9557	463
June 01, 2017 06:32:49:253000	127.0.0.1-9557	0
June 01, 2017 06:32:49:256000	127.0.0.1-9557	431
June 01, 2017 06:32:52:055000	127.0.0.1-9557	KEEP WALKING UNTIL OBJECT SEEN BY BOTTOM CAM
June 01, 2017 06:32:56:104000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:32:56:107000	127.0.0.1-9557	0
June 01, 2017 06:32:56:110000	127.0.0.1-9557	559
June 01, 2017 06:32:56:113000	127.0.0.1-9557	0
June 01, 2017 06:32:56:116000	127.0.0.1-9557	478
June 01, 2017 06:32:56:121000	127.0.0.1-9557	CLOSE ENOUGH TO TABLE NOW
June 01, 2017 06:32:59:621000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 01, 2017 06:32:59:626000	127.0.0.1-9557	[167, 444]
June 01, 2017 06:32:59:628000	127.0.0.1-9557	[(136, 412), (148, 392), (180, 432), (167, 444), [640, 480]]
June 01, 2017 06:33:02:761000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:33:02:763000	127.0.0.1-9557	0
June 01, 2017 06:33:02:766000	127.0.0.1-9557	638
June 01, 2017 06:33:02:768000	127.0.0.1-9557	0
June 01, 2017 06:33:02:769000	127.0.0.1-9557	478
June 01, 2017 06:33:02:777000	127.0.0.1-9557	Keep walking until very close to table
June 01, 2017 06:33:07:180000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:33:07:197000	127.0.0.1-9557	0
June 01, 2017 06:33:07:203000	127.0.0.1-9557	638
June 01, 2017 06:33:07:209000	127.0.0.1-9557	0
June 01, 2017 06:33:07:215000	127.0.0.1-9557	478
June 01, 2017 06:33:07:242000	127.0.0.1-9557	mask sizes
June 01, 2017 06:33:07:245000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:33:07:248000	127.0.0.1-9557	left value Y
June 01, 2017 06:33:07:250000	127.0.0.1-9557	478
June 01, 2017 06:33:07:252000	127.0.0.1-9557	left value Y
June 01, 2017 06:33:07:255000	127.0.0.1-9557	478
June 01, 2017 06:33:07:260000	127.0.0.1-9557	left value Y
June 01, 2017 06:33:07:286000	127.0.0.1-9557	478
June 01, 2017 06:33:07:345000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 01, 2017 06:33:12:604000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 01, 2017 06:33:12:608000	127.0.0.1-9557	[188, 415]
June 01, 2017 06:33:12:611000	127.0.0.1-9557	[(184, 408), (196, 360), (227, 375), (188, 415), [640, 480]]
June 01, 2017 06:33:15:896000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:33:15:901000	127.0.0.1-9557	0
June 01, 2017 06:33:15:905000	127.0.0.1-9557	638
June 01, 2017 06:33:15:910000	127.0.0.1-9557	0
June 01, 2017 06:33:15:915000	127.0.0.1-9557	478
June 01, 2017 06:33:15:925000	127.0.0.1-9557	Keep walking until very close to table
