June 08, 2017 20:11:02:490000		MOVE  NAO
June 08, 2017 20:11:08:017000	127.0.0.1-9557	SendMessage
June 08, 2017 20:11:08:020000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 08, 2017 20:11:08:021000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 08, 2017 20:11:08:035000	127.0.0.1-9557	read messages
June 08, 2017 20:11:08:088000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 08, 2017 20:11:08:116000	127.0.0.1-9557	START MOVING TO OTHER SIDE MoveToOtherSideOfObject
June 08, 2017 20:11:08:131000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 08, 2017 20:11:10:387000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 08, 2017 20:11:10:390000	127.0.0.1-9557	[224, 223]
June 08, 2017 20:11:10:396000	127.0.0.1-9557	[(220, 212), (220, 212), (227, 223), (224, 223), [640, 480]]
June 08, 2017 20:11:13:840000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 08, 2017 20:11:15:138000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 08, 2017 20:11:15:140000	127.0.0.1-9557	[300, 255]
June 08, 2017 20:11:15:142000	127.0.0.1-9557	[(296, 248), (296, 248), (303, 255), (300, 255), [640, 480]]
June 08, 2017 20:11:18:409000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable
June 08, 2017 20:11:19:913000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 08, 2017 20:11:19:915000	127.0.0.1-9557	[292, 251]
June 08, 2017 20:11:19:931000	127.0.0.1-9557	[(292, 244), (292, 244), (303, 251), (292, 251), [640, 480]]
June 08, 2017 20:11:23:853000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 08, 2017 20:11:23:859000	127.0.0.1-9557	[437, 332]
June 08, 2017 20:11:23:861000	127.0.0.1-9557	[(423, 287), (451, 279), (623, 327), (437, 332), [640, 480]]
June 08, 2017 20:11:23:982000	127.0.0.1-9557	FindDirectionOfOtherRobotRelativeToTable is LEFT
June 08, 2017 20:11:26:169000	127.0.0.1-9557	DIRECTION TO MOVE IS
June 08, 2017 20:11:26:170000	127.0.0.1-9557	
June 08, 2017 20:11:27:544000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 08, 2017 20:11:27:548000	127.0.0.1-9557	[437, 332]
