May 31, 2017 19:00:43:358000		MOVE  NAO
May 31, 2017 19:00:48:889000	127.0.0.1-9557	SendMessage
May 31, 2017 19:00:48:894000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 19:00:48:896000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 19:00:48:906000	127.0.0.1-9557	read messages
May 31, 2017 19:00:48:915000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
May 31, 2017 19:00:51:272000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 19:00:52:606000	127.0.0.1-9557	mask sizes
May 31, 2017 19:00:52:608000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:00:52:621000	127.0.0.1-9557	left value Y
May 31, 2017 19:00:52:626000	127.0.0.1-9557	170
May 31, 2017 19:00:52:634000	127.0.0.1-9557	Y values left mid right
May 31, 2017 19:00:52:652000	127.0.0.1-9557	170
May 31, 2017 19:00:52:654000	127.0.0.1-9557	-1
May 31, 2017 19:00:52:655000	127.0.0.1-9557	-1
May 31, 2017 19:00:57:750000	127.0.0.1-9557	mask sizes
May 31, 2017 19:00:57:756000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:00:57:776000	127.0.0.1-9557	left value Y
May 31, 2017 19:00:57:780000	127.0.0.1-9557	158
May 31, 2017 19:00:57:791000	127.0.0.1-9557	Y values left mid right
May 31, 2017 19:00:57:793000	127.0.0.1-9557	158
May 31, 2017 19:00:57:796000	127.0.0.1-9557	-1
May 31, 2017 19:00:57:798000	127.0.0.1-9557	-1
May 31, 2017 19:01:02:813000	127.0.0.1-9557	mask sizes
May 31, 2017 19:01:02:816000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:01:02:883000	127.0.0.1-9557	left value Y
May 31, 2017 19:01:02:886000	127.0.0.1-9557	182
May 31, 2017 19:01:02:889000	127.0.0.1-9557	left value Y
May 31, 2017 19:01:02:891000	127.0.0.1-9557	150
May 31, 2017 19:01:02:896000	127.0.0.1-9557	Y values left mid right
May 31, 2017 19:01:02:899000	127.0.0.1-9557	150
May 31, 2017 19:01:02:902000	127.0.0.1-9557	-1
May 31, 2017 19:01:02:904000	127.0.0.1-9557	182
