June 01, 2017 06:15:03:112000		MOVE  NAO
June 01, 2017 06:17:15:997000	127.0.0.1-9557	[(407, 119), (408, 116), (443, 139), (420, 199), [640, 480]]
June 01, 2017 06:17:18:941000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:17:18:945000	127.0.0.1-9557	0
June 01, 2017 06:17:18:950000	127.0.0.1-9557	638
June 01, 2017 06:17:18:955000	127.0.0.1-9557	0
June 01, 2017 06:17:18:958000	127.0.0.1-9557	363
June 01, 2017 06:17:19:033000	127.0.0.1-9557	Keep walking until very close to table
June 01, 2017 06:17:22:958000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:17:22:961000	127.0.0.1-9557	0
June 01, 2017 06:17:22:965000	127.0.0.1-9557	638
June 01, 2017 06:17:22:967000	127.0.0.1-9557	0
June 01, 2017 06:17:22:970000	127.0.0.1-9557	363
June 01, 2017 06:17:22:997000	127.0.0.1-9557	mask sizes
June 01, 2017 06:17:23:001000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:17:23:011000	127.0.0.1-9557	left value Y
June 01, 2017 06:17:23:017000	127.0.0.1-9557	294
June 01, 2017 06:17:23:023000	127.0.0.1-9557	left value Y
June 01, 2017 06:17:23:030000	127.0.0.1-9557	274
June 01, 2017 06:17:23:033000	127.0.0.1-9557	left value Y
June 01, 2017 06:17:23:038000	127.0.0.1-9557	274
June 01, 2017 06:17:30:738000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:17:30:741000	127.0.0.1-9557	0
June 01, 2017 06:17:30:744000	127.0.0.1-9557	638
June 01, 2017 06:17:30:747000	127.0.0.1-9557	0
June 01, 2017 06:17:30:750000	127.0.0.1-9557	355
June 01, 2017 06:17:30:780000	127.0.0.1-9557	mask sizes
June 01, 2017 06:17:30:785000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:17:30:796000	127.0.0.1-9557	left value Y
June 01, 2017 06:17:30:806000	127.0.0.1-9557	278
June 01, 2017 06:17:30:816000	127.0.0.1-9557	left value Y
June 01, 2017 06:17:30:820000	127.0.0.1-9557	262
June 01, 2017 06:17:30:822000	127.0.0.1-9557	left value Y
June 01, 2017 06:17:30:825000	127.0.0.1-9557	254
June 01, 2017 06:17:38:241000	127.0.0.1-9557	Four extreme points are: 
