May 31, 2017 22:25:48:033000		MOVE  NAO
May 31, 2017 22:25:53:446000	127.0.0.1-9557	SendMessage
May 31, 2017 22:25:53:449000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 22:25:53:452000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 22:25:53:458000	127.0.0.1-9557	read messages
May 31, 2017 22:25:53:464000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
May 31, 2017 22:25:55:596000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 22:25:55:604000	127.0.0.1-9557	[308, 55]
May 31, 2017 22:25:55:607000	127.0.0.1-9557	[(307, 47), (311, 43), (339, 47), (308, 55), [640, 480]]
May 31, 2017 22:25:58:294000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:25:58:296000	127.0.0.1-9557	260
May 31, 2017 22:25:58:301000	127.0.0.1-9557	638
May 31, 2017 22:25:58:303000	127.0.0.1-9557	0
May 31, 2017 22:25:58:305000	127.0.0.1-9557	183
May 31, 2017 22:25:58:308000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 22:26:02:132000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:26:02:134000	127.0.0.1-9557	256
May 31, 2017 22:26:02:135000	127.0.0.1-9557	638
May 31, 2017 22:26:02:137000	127.0.0.1-9557	0
May 31, 2017 22:26:02:139000	127.0.0.1-9557	183
May 31, 2017 22:26:02:157000	127.0.0.1-9557	mask sizes
May 31, 2017 22:26:02:159000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:26:02:168000	127.0.0.1-9557	left value Y
May 31, 2017 22:26:02:171000	127.0.0.1-9557	178
May 31, 2017 22:26:02:173000	127.0.0.1-9557	left value Y
May 31, 2017 22:26:02:175000	127.0.0.1-9557	174
May 31, 2017 22:26:02:178000	127.0.0.1-9557	left value Y
May 31, 2017 22:26:02:187000	127.0.0.1-9557	174
May 31, 2017 22:26:02:216000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
May 31, 2017 22:26:12:879000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:26:12:883000	127.0.0.1-9557	-1
May 31, 2017 22:26:12:886000	127.0.0.1-9557	-1
May 31, 2017 22:26:12:888000	127.0.0.1-9557	-1
May 31, 2017 22:26:12:890000	127.0.0.1-9557	-1
May 31, 2017 22:26:22:571000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:26:22:574000	127.0.0.1-9557	-1
May 31, 2017 22:26:22:577000	127.0.0.1-9557	-1
May 31, 2017 22:26:22:580000	127.0.0.1-9557	-1
May 31, 2017 22:26:22:582000	127.0.0.1-9557	-1
May 31, 2017 22:26:32:782000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:26:32:784000	127.0.0.1-9557	164
May 31, 2017 22:26:32:786000	127.0.0.1-9557	638
May 31, 2017 22:26:32:788000	127.0.0.1-9557	0
May 31, 2017 22:26:32:790000	127.0.0.1-9557	259
May 31, 2017 22:26:49:316000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:26:49:318000	127.0.0.1-9557	0
May 31, 2017 22:26:49:321000	127.0.0.1-9557	638
May 31, 2017 22:26:49:323000	127.0.0.1-9557	0
May 31, 2017 22:26:49:325000	127.0.0.1-9557	227
May 31, 2017 22:26:59:171000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:26:59:173000	127.0.0.1-9557	0
May 31, 2017 22:26:59:176000	127.0.0.1-9557	638
May 31, 2017 22:26:59:178000	127.0.0.1-9557	0
May 31, 2017 22:26:59:180000	127.0.0.1-9557	439
May 31, 2017 22:27:10:129000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:27:10:132000	127.0.0.1-9557	24
May 31, 2017 22:27:10:134000	127.0.0.1-9557	638
May 31, 2017 22:27:10:135000	127.0.0.1-9557	0
May 31, 2017 22:27:10:137000	127.0.0.1-9557	478
May 31, 2017 22:27:10:144000	127.0.0.1-9557	616
May 31, 2017 22:27:23:069000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:27:23:073000	127.0.0.1-9557	0
May 31, 2017 22:27:23:075000	127.0.0.1-9557	638
May 31, 2017 22:27:23:076000	127.0.0.1-9557	0
May 31, 2017 22:27:23:078000	127.0.0.1-9557	478
May 31, 2017 22:27:23:085000	127.0.0.1-9557	638
May 31, 2017 22:27:30:391000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 22:27:30:393000	127.0.0.1-9557	[19, 478]
May 31, 2017 22:27:30:396000	127.0.0.1-9557	[(4, 452), (296, 268), (638, 316), (19, 478), [640, 480]]
May 31, 2017 22:27:33:330000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:27:33:333000	127.0.0.1-9557	0
May 31, 2017 22:27:33:336000	127.0.0.1-9557	638
May 31, 2017 22:27:33:337000	127.0.0.1-9557	0
May 31, 2017 22:27:33:339000	127.0.0.1-9557	478
May 31, 2017 22:27:33:343000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 22:27:37:199000	127.0.0.1-9557	Four extreme points are: 
