May 31, 2017 22:25:48:033000		MOVE  NAO
May 31, 2017 22:27:37:202000	127.0.0.1-9557	0
May 31, 2017 22:27:37:203000	127.0.0.1-9557	638
May 31, 2017 22:27:37:206000	127.0.0.1-9557	0
May 31, 2017 22:27:37:208000	127.0.0.1-9557	478
May 31, 2017 22:27:37:227000	127.0.0.1-9557	mask sizes
May 31, 2017 22:27:37:229000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:27:37:234000	127.0.0.1-9557	left value Y
May 31, 2017 22:27:37:237000	127.0.0.1-9557	442
May 31, 2017 22:27:37:240000	127.0.0.1-9557	left value Y
May 31, 2017 22:27:37:245000	127.0.0.1-9557	430
May 31, 2017 22:27:37:248000	127.0.0.1-9557	left value Y
May 31, 2017 22:27:37:250000	127.0.0.1-9557	414
May 31, 2017 22:27:44:995000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:27:45:000000	127.0.0.1-9557	0
May 31, 2017 22:27:45:002000	127.0.0.1-9557	638
May 31, 2017 22:27:45:004000	127.0.0.1-9557	0
May 31, 2017 22:27:45:006000	127.0.0.1-9557	478
May 31, 2017 22:27:45:030000	127.0.0.1-9557	mask sizes
May 31, 2017 22:27:45:034000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:27:45:041000	127.0.0.1-9557	left value Y
May 31, 2017 22:27:45:044000	127.0.0.1-9557	430
May 31, 2017 22:27:45:048000	127.0.0.1-9557	left value Y
May 31, 2017 22:27:45:051000	127.0.0.1-9557	426
May 31, 2017 22:27:45:054000	127.0.0.1-9557	left value Y
May 31, 2017 22:27:45:057000	127.0.0.1-9557	414
May 31, 2017 22:27:52:664000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:27:52:669000	127.0.0.1-9557	0
May 31, 2017 22:27:52:672000	127.0.0.1-9557	638
May 31, 2017 22:27:52:681000	127.0.0.1-9557	0
May 31, 2017 22:27:52:687000	127.0.0.1-9557	478
May 31, 2017 22:27:52:715000	127.0.0.1-9557	mask sizes
May 31, 2017 22:27:52:719000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:27:52:765000	127.0.0.1-9557	left value Y
May 31, 2017 22:27:52:770000	127.0.0.1-9557	442
May 31, 2017 22:27:52:785000	127.0.0.1-9557	left value Y
May 31, 2017 22:27:52:788000	127.0.0.1-9557	422
May 31, 2017 22:27:52:790000	127.0.0.1-9557	left value Y
May 31, 2017 22:27:52:793000	127.0.0.1-9557	414
May 31, 2017 22:28:01:061000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:28:01:063000	127.0.0.1-9557	0
May 31, 2017 22:28:01:065000	127.0.0.1-9557	638
May 31, 2017 22:28:01:068000	127.0.0.1-9557	0
May 31, 2017 22:28:01:070000	127.0.0.1-9557	478
May 31, 2017 22:28:01:089000	127.0.0.1-9557	mask sizes
May 31, 2017 22:28:01:092000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:28:01:095000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:01:097000	127.0.0.1-9557	442
May 31, 2017 22:28:01:101000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:01:105000	127.0.0.1-9557	430
May 31, 2017 22:28:01:109000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:01:114000	127.0.0.1-9557	414
May 31, 2017 22:28:09:214000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:28:09:216000	127.0.0.1-9557	0
May 31, 2017 22:28:09:218000	127.0.0.1-9557	638
May 31, 2017 22:28:09:220000	127.0.0.1-9557	0
May 31, 2017 22:28:09:223000	127.0.0.1-9557	478
May 31, 2017 22:28:09:241000	127.0.0.1-9557	mask sizes
May 31, 2017 22:28:09:246000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:28:09:251000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:09:255000	127.0.0.1-9557	442
May 31, 2017 22:28:09:259000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:09:262000	127.0.0.1-9557	430
May 31, 2017 22:28:09:265000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:09:268000	127.0.0.1-9557	414
May 31, 2017 22:28:17:018000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:28:17:021000	127.0.0.1-9557	0
May 31, 2017 22:28:17:024000	127.0.0.1-9557	638
May 31, 2017 22:28:17:027000	127.0.0.1-9557	0
May 31, 2017 22:28:17:029000	127.0.0.1-9557	478
May 31, 2017 22:28:17:048000	127.0.0.1-9557	mask sizes
May 31, 2017 22:28:17:052000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:28:17:056000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:17:058000	127.0.0.1-9557	438
May 31, 2017 22:28:17:060000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:17:063000	127.0.0.1-9557	430
May 31, 2017 22:28:17:066000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:17:068000	127.0.0.1-9557	414
May 31, 2017 22:28:24:997000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:28:25:000000	127.0.0.1-9557	0
May 31, 2017 22:28:25:003000	127.0.0.1-9557	638
May 31, 2017 22:28:25:008000	127.0.0.1-9557	0
May 31, 2017 22:28:25:011000	127.0.0.1-9557	478
May 31, 2017 22:28:25:029000	127.0.0.1-9557	mask sizes
May 31, 2017 22:28:25:032000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:28:25:037000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:25:043000	127.0.0.1-9557	430
May 31, 2017 22:28:25:046000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:25:048000	127.0.0.1-9557	430
May 31, 2017 22:28:25:052000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:25:054000	127.0.0.1-9557	410
May 31, 2017 22:28:32:828000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:28:32:830000	127.0.0.1-9557	0
May 31, 2017 22:28:32:838000	127.0.0.1-9557	638
May 31, 2017 22:28:32:846000	127.0.0.1-9557	0
May 31, 2017 22:28:32:848000	127.0.0.1-9557	478
May 31, 2017 22:28:33:008000	127.0.0.1-9557	mask sizes
May 31, 2017 22:28:33:012000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:28:33:027000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:33:032000	127.0.0.1-9557	442
May 31, 2017 22:28:33:036000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:33:038000	127.0.0.1-9557	430
May 31, 2017 22:28:33:045000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:33:047000	127.0.0.1-9557	414
May 31, 2017 22:28:40:718000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:28:40:720000	127.0.0.1-9557	0
May 31, 2017 22:28:40:723000	127.0.0.1-9557	638
May 31, 2017 22:28:40:724000	127.0.0.1-9557	0
May 31, 2017 22:28:40:726000	127.0.0.1-9557	478
May 31, 2017 22:28:40:746000	127.0.0.1-9557	mask sizes
May 31, 2017 22:28:40:748000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:28:40:757000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:40:760000	127.0.0.1-9557	442
May 31, 2017 22:28:40:764000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:40:767000	127.0.0.1-9557	430
May 31, 2017 22:28:40:771000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:40:775000	127.0.0.1-9557	414
May 31, 2017 22:28:48:939000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:28:48:944000	127.0.0.1-9557	0
May 31, 2017 22:28:48:948000	127.0.0.1-9557	638
May 31, 2017 22:28:48:953000	127.0.0.1-9557	0
May 31, 2017 22:28:48:957000	127.0.0.1-9557	478
May 31, 2017 22:28:48:989000	127.0.0.1-9557	mask sizes
May 31, 2017 22:28:48:992000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:28:49:007000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:49:013000	127.0.0.1-9557	438
May 31, 2017 22:28:49:016000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:49:022000	127.0.0.1-9557	430
May 31, 2017 22:28:49:026000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:49:030000	127.0.0.1-9557	414
May 31, 2017 22:28:57:973000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:28:57:975000	127.0.0.1-9557	0
May 31, 2017 22:28:57:978000	127.0.0.1-9557	638
May 31, 2017 22:28:57:982000	127.0.0.1-9557	0
May 31, 2017 22:28:57:984000	127.0.0.1-9557	478
May 31, 2017 22:28:58:017000	127.0.0.1-9557	mask sizes
May 31, 2017 22:28:58:020000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:28:58:025000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:58:028000	127.0.0.1-9557	442
May 31, 2017 22:28:58:037000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:58:041000	127.0.0.1-9557	430
May 31, 2017 22:28:58:046000	127.0.0.1-9557	left value Y
May 31, 2017 22:28:58:049000	127.0.0.1-9557	414
May 31, 2017 22:29:06:350000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:29:06:352000	127.0.0.1-9557	0
May 31, 2017 22:29:06:354000	127.0.0.1-9557	638
May 31, 2017 22:29:06:356000	127.0.0.1-9557	0
May 31, 2017 22:29:06:359000	127.0.0.1-9557	478
May 31, 2017 22:29:06:474000	127.0.0.1-9557	mask sizes
May 31, 2017 22:29:06:503000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:29:06:554000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:06:558000	127.0.0.1-9557	442
May 31, 2017 22:29:06:561000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:06:563000	127.0.0.1-9557	430
May 31, 2017 22:29:06:566000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:06:571000	127.0.0.1-9557	414
May 31, 2017 22:29:14:257000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:29:14:260000	127.0.0.1-9557	0
May 31, 2017 22:29:14:263000	127.0.0.1-9557	638
May 31, 2017 22:29:14:264000	127.0.0.1-9557	0
May 31, 2017 22:29:14:266000	127.0.0.1-9557	478
May 31, 2017 22:29:14:285000	127.0.0.1-9557	mask sizes
May 31, 2017 22:29:14:287000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:29:14:294000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:14:296000	127.0.0.1-9557	442
May 31, 2017 22:29:14:300000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:14:303000	127.0.0.1-9557	430
May 31, 2017 22:29:14:309000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:14:314000	127.0.0.1-9557	414
May 31, 2017 22:29:21:902000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:29:21:904000	127.0.0.1-9557	0
May 31, 2017 22:29:21:906000	127.0.0.1-9557	638
May 31, 2017 22:29:21:907000	127.0.0.1-9557	0
May 31, 2017 22:29:21:909000	127.0.0.1-9557	478
May 31, 2017 22:29:21:929000	127.0.0.1-9557	mask sizes
May 31, 2017 22:29:21:932000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:29:21:973000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:21:978000	127.0.0.1-9557	442
May 31, 2017 22:29:21:985000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:21:999000	127.0.0.1-9557	430
May 31, 2017 22:29:22:009000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:22:012000	127.0.0.1-9557	414
May 31, 2017 22:29:32:331000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:29:32:333000	127.0.0.1-9557	0
May 31, 2017 22:29:32:335000	127.0.0.1-9557	638
May 31, 2017 22:29:32:337000	127.0.0.1-9557	0
May 31, 2017 22:29:32:338000	127.0.0.1-9557	478
May 31, 2017 22:29:32:908000	127.0.0.1-9557	mask sizes
May 31, 2017 22:29:32:911000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:29:33:097000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:33:104000	127.0.0.1-9557	438
May 31, 2017 22:29:33:121000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:33:131000	127.0.0.1-9557	430
May 31, 2017 22:29:33:147000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:33:157000	127.0.0.1-9557	418
May 31, 2017 22:29:43:074000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:29:43:085000	127.0.0.1-9557	0
May 31, 2017 22:29:43:098000	127.0.0.1-9557	638
May 31, 2017 22:29:43:113000	127.0.0.1-9557	0
May 31, 2017 22:29:43:120000	127.0.0.1-9557	478
May 31, 2017 22:29:43:288000	127.0.0.1-9557	mask sizes
May 31, 2017 22:29:43:315000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:29:43:425000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:43:446000	127.0.0.1-9557	442
May 31, 2017 22:29:43:460000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:43:462000	127.0.0.1-9557	430
May 31, 2017 22:29:43:477000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:43:485000	127.0.0.1-9557	414
May 31, 2017 22:29:52:629000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:29:52:634000	127.0.0.1-9557	0
May 31, 2017 22:29:52:640000	127.0.0.1-9557	638
May 31, 2017 22:29:52:644000	127.0.0.1-9557	0
May 31, 2017 22:29:52:647000	127.0.0.1-9557	478
May 31, 2017 22:29:52:832000	127.0.0.1-9557	mask sizes
May 31, 2017 22:29:52:834000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:29:52:851000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:52:853000	127.0.0.1-9557	442
May 31, 2017 22:29:52:856000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:52:858000	127.0.0.1-9557	426
May 31, 2017 22:29:52:861000	127.0.0.1-9557	left value Y
May 31, 2017 22:29:52:863000	127.0.0.1-9557	414
