May 31, 2017 19:28:33:626000		MOVE  NAO
May 31, 2017 19:28:39:038000	127.0.0.1-9557	SendMessage
May 31, 2017 19:28:39:040000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 19:28:39:042000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 19:28:39:047000	127.0.0.1-9557	read messages
May 31, 2017 19:28:39:052000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
May 31, 2017 19:28:41:363000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 19:28:42:845000	127.0.0.1-9557	mask sizes
May 31, 2017 19:28:42:851000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:28:42:870000	127.0.0.1-9557	left value Y
May 31, 2017 19:28:42:877000	127.0.0.1-9557	154
May 31, 2017 19:28:42:883000	127.0.0.1-9557	Y values left mid right
May 31, 2017 19:28:42:923000	127.0.0.1-9557	154
May 31, 2017 19:28:42:926000	127.0.0.1-9557	-1
May 31, 2017 19:28:42:928000	127.0.0.1-9557	-1
May 31, 2017 19:28:48:039000	127.0.0.1-9557	mask sizes
May 31, 2017 19:28:48:043000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:28:48:069000	127.0.0.1-9557	left value Y
May 31, 2017 19:28:48:073000	127.0.0.1-9557	158
May 31, 2017 19:28:48:087000	127.0.0.1-9557	Y values left mid right
May 31, 2017 19:28:48:092000	127.0.0.1-9557	158
May 31, 2017 19:28:48:093000	127.0.0.1-9557	-1
May 31, 2017 19:28:48:096000	127.0.0.1-9557	-1
May 31, 2017 19:28:53:054000	127.0.0.1-9557	mask sizes
May 31, 2017 19:28:53:059000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:28:53:075000	127.0.0.1-9557	left value Y
May 31, 2017 19:28:53:078000	127.0.0.1-9557	162
May 31, 2017 19:28:53:085000	127.0.0.1-9557	Y values left mid right
May 31, 2017 19:28:53:090000	127.0.0.1-9557	162
May 31, 2017 19:28:53:094000	127.0.0.1-9557	-1
May 31, 2017 19:28:53:097000	127.0.0.1-9557	-1
May 31, 2017 19:28:58:003000	127.0.0.1-9557	mask sizes
May 31, 2017 19:28:58:005000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:28:58:022000	127.0.0.1-9557	left value Y
May 31, 2017 19:28:58:024000	127.0.0.1-9557	178
May 31, 2017 19:28:58:027000	127.0.0.1-9557	left value Y
May 31, 2017 19:28:58:033000	127.0.0.1-9557	158
May 31, 2017 19:28:58:036000	127.0.0.1-9557	left value Y
May 31, 2017 19:28:58:038000	127.0.0.1-9557	158
May 31, 2017 19:28:58:049000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
