June 01, 2017 06:34:08:451000		MOVE  NAO
June 01, 2017 06:34:14:006000	127.0.0.1-9557	SendMessage
June 01, 2017 06:34:14:036000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 01, 2017 06:34:14:037000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 01, 2017 06:34:14:063000	127.0.0.1-9557	read messages
June 01, 2017 06:34:14:065000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 01, 2017 06:34:23:796000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:34:23:799000	127.0.0.1-9557	-1
June 01, 2017 06:34:23:802000	127.0.0.1-9557	-1
June 01, 2017 06:34:23:804000	127.0.0.1-9557	-1
June 01, 2017 06:34:23:806000	127.0.0.1-9557	-1
June 01, 2017 06:34:23:809000	127.0.0.1-9557	Keep walking until very close to table
June 01, 2017 06:34:27:617000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:34:27:621000	127.0.0.1-9557	-1
June 01, 2017 06:34:27:623000	127.0.0.1-9557	-1
June 01, 2017 06:34:27:626000	127.0.0.1-9557	-1
June 01, 2017 06:34:27:628000	127.0.0.1-9557	-1
June 01, 2017 06:34:27:646000	127.0.0.1-9557	mask sizes
June 01, 2017 06:34:27:651000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:34:27:671000	127.0.0.1-9557	Y values left mid right
June 01, 2017 06:34:27:673000	127.0.0.1-9557	-1
June 01, 2017 06:34:27:676000	127.0.0.1-9557	-1
June 01, 2017 06:34:27:678000	127.0.0.1-9557	-1
June 01, 2017 06:34:27:720000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 01, 2017 06:34:38:177000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:34:38:196000	127.0.0.1-9557	256
June 01, 2017 06:34:38:210000	127.0.0.1-9557	638
June 01, 2017 06:34:38:226000	127.0.0.1-9557	180
June 01, 2017 06:34:38:238000	127.0.0.1-9557	478
June 01, 2017 06:34:55:070000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:34:55:077000	127.0.0.1-9557	172
June 01, 2017 06:34:55:091000	127.0.0.1-9557	638
June 01, 2017 06:34:55:102000	127.0.0.1-9557	8
June 01, 2017 06:34:55:109000	127.0.0.1-9557	327
June 01, 2017 06:35:11:610000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:35:11:613000	127.0.0.1-9557	0
June 01, 2017 06:35:11:618000	127.0.0.1-9557	638
June 01, 2017 06:35:11:626000	127.0.0.1-9557	20
June 01, 2017 06:35:11:635000	127.0.0.1-9557	327
June 01, 2017 06:35:22:923000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:35:22:931000	127.0.0.1-9557	-1
June 01, 2017 06:35:22:945000	127.0.0.1-9557	-1
June 01, 2017 06:35:22:947000	127.0.0.1-9557	-1
June 01, 2017 06:35:22:950000	127.0.0.1-9557	-1
June 01, 2017 06:35:23:112000	127.0.0.1-9557	Keep walking until very close to table
June 01, 2017 06:35:26:956000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:35:26:959000	127.0.0.1-9557	-1
June 01, 2017 06:35:26:961000	127.0.0.1-9557	-1
June 01, 2017 06:35:26:962000	127.0.0.1-9557	-1
