June 01, 2017 06:34:08:451000		MOVE  NAO
June 01, 2017 06:35:26:965000	127.0.0.1-9557	-1
June 01, 2017 06:35:26:985000	127.0.0.1-9557	mask sizes
June 01, 2017 06:35:26:987000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:35:27:002000	127.0.0.1-9557	Y values left mid right
June 01, 2017 06:35:27:005000	127.0.0.1-9557	-1
June 01, 2017 06:35:27:007000	127.0.0.1-9557	-1
June 01, 2017 06:35:27:009000	127.0.0.1-9557	-1
June 01, 2017 06:35:27:021000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 01, 2017 06:35:39:612000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:35:39:629000	127.0.0.1-9557	416
June 01, 2017 06:35:39:641000	127.0.0.1-9557	638
June 01, 2017 06:35:39:656000	127.0.0.1-9557	172
June 01, 2017 06:35:39:669000	127.0.0.1-9557	459
June 01, 2017 06:35:39:940000	127.0.0.1-9557	224
June 01, 2017 06:35:52:903000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:35:52:906000	127.0.0.1-9557	0
June 01, 2017 06:35:52:908000	127.0.0.1-9557	487
June 01, 2017 06:35:52:911000	127.0.0.1-9557	12
June 01, 2017 06:35:52:914000	127.0.0.1-9557	455
June 01, 2017 06:35:52:919000	127.0.0.1-9557	487
June 01, 2017 06:35:59:464000	127.0.0.1-9557	too much to left: -263
June 01, 2017 06:36:12:086000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:36:12:093000	127.0.0.1-9557	-1
June 01, 2017 06:36:12:095000	127.0.0.1-9557	-1
June 01, 2017 06:36:12:097000	127.0.0.1-9557	-1
June 01, 2017 06:36:12:099000	127.0.0.1-9557	-1
June 01, 2017 06:36:12:170000	127.0.0.1-9557	Keep walking until very close to table
June 01, 2017 06:36:16:466000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:36:16:471000	127.0.0.1-9557	-1
June 01, 2017 06:36:16:475000	127.0.0.1-9557	-1
June 01, 2017 06:36:16:478000	127.0.0.1-9557	-1
June 01, 2017 06:36:16:484000	127.0.0.1-9557	-1
June 01, 2017 06:36:16:516000	127.0.0.1-9557	mask sizes
June 01, 2017 06:36:16:520000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:36:16:548000	127.0.0.1-9557	Y values left mid right
June 01, 2017 06:36:16:556000	127.0.0.1-9557	-1
June 01, 2017 06:36:16:561000	127.0.0.1-9557	-1
June 01, 2017 06:36:16:570000	127.0.0.1-9557	-1
June 01, 2017 06:36:16:589000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 01, 2017 06:36:29:127000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:36:29:129000	127.0.0.1-9557	284
June 01, 2017 06:36:29:132000	127.0.0.1-9557	638
June 01, 2017 06:36:29:134000	127.0.0.1-9557	64
June 01, 2017 06:36:29:137000	127.0.0.1-9557	455
June 01, 2017 06:36:29:143000	127.0.0.1-9557	356
June 01, 2017 06:36:42:535000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:36:42:539000	127.0.0.1-9557	0
June 01, 2017 06:36:42:548000	127.0.0.1-9557	471
June 01, 2017 06:36:42:561000	127.0.0.1-9557	12
June 01, 2017 06:36:42:573000	127.0.0.1-9557	455
June 01, 2017 06:36:42:730000	127.0.0.1-9557	471
June 01, 2017 06:36:49:314000	127.0.0.1-9557	too much to left: -115
June 01, 2017 06:37:01:384000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:37:01:397000	127.0.0.1-9557	-1
June 01, 2017 06:37:01:401000	127.0.0.1-9557	-1
June 01, 2017 06:37:01:407000	127.0.0.1-9557	-1
June 01, 2017 06:37:01:409000	127.0.0.1-9557	-1
June 01, 2017 06:37:01:421000	127.0.0.1-9557	Keep walking until very close to table
June 01, 2017 06:37:05:321000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:37:05:325000	127.0.0.1-9557	-1
June 01, 2017 06:37:05:329000	127.0.0.1-9557	-1
June 01, 2017 06:37:05:336000	127.0.0.1-9557	-1
June 01, 2017 06:37:05:339000	127.0.0.1-9557	-1
June 01, 2017 06:37:05:361000	127.0.0.1-9557	mask sizes
June 01, 2017 06:37:05:365000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:37:05:382000	127.0.0.1-9557	Y values left mid right
June 01, 2017 06:37:05:386000	127.0.0.1-9557	-1
June 01, 2017 06:37:05:387000	127.0.0.1-9557	-1
June 01, 2017 06:37:05:389000	127.0.0.1-9557	-1
June 01, 2017 06:37:05:395000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 01, 2017 06:37:18:005000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:37:18:019000	127.0.0.1-9557	360
June 01, 2017 06:37:18:024000	127.0.0.1-9557	638
June 01, 2017 06:37:18:027000	127.0.0.1-9557	164
June 01, 2017 06:37:18:041000	127.0.0.1-9557	451
June 01, 2017 06:37:18:289000	127.0.0.1-9557	280
June 01, 2017 06:37:31:219000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:37:31:223000	127.0.0.1-9557	0
June 01, 2017 06:37:31:229000	127.0.0.1-9557	459
June 01, 2017 06:37:31:233000	127.0.0.1-9557	4
June 01, 2017 06:37:31:238000	127.0.0.1-9557	459
June 01, 2017 06:37:31:246000	127.0.0.1-9557	459
June 01, 2017 06:37:37:778000	127.0.0.1-9557	too much to left: -179
June 01, 2017 06:37:49:886000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:37:49:891000	127.0.0.1-9557	-1
June 01, 2017 06:37:49:894000	127.0.0.1-9557	-1
June 01, 2017 06:37:49:896000	127.0.0.1-9557	-1
June 01, 2017 06:37:49:899000	127.0.0.1-9557	-1
June 01, 2017 06:37:50:095000	127.0.0.1-9557	Keep walking until very close to table
June 01, 2017 06:37:54:035000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:37:54:038000	127.0.0.1-9557	-1
June 01, 2017 06:37:54:041000	127.0.0.1-9557	-1
June 01, 2017 06:37:54:045000	127.0.0.1-9557	-1
June 01, 2017 06:37:54:050000	127.0.0.1-9557	-1
June 01, 2017 06:37:54:075000	127.0.0.1-9557	mask sizes
June 01, 2017 06:37:54:081000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:37:54:111000	127.0.0.1-9557	Y values left mid right
June 01, 2017 06:37:54:117000	127.0.0.1-9557	-1
June 01, 2017 06:37:54:125000	127.0.0.1-9557	-1
June 01, 2017 06:37:54:134000	127.0.0.1-9557	-1
June 01, 2017 06:37:54:147000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
