June 06, 2017 19:09:14:550000		MOVE  NAO
June 06, 2017 19:09:19:927000	127.0.0.1-9557	SendMessage
June 06, 2017 19:09:19:930000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 06, 2017 19:09:19:932000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 06, 2017 19:09:19:937000	127.0.0.1-9557	read messages
June 06, 2017 19:09:19:940000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 06, 2017 19:09:19:950000	127.0.0.1-9557	START MOVING TO OTHER SIDE MoveToOtherSideOfObject
June 06, 2017 19:09:19:952000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 19:09:22:215000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 19:09:22:227000	127.0.0.1-9557	[224, 263]
June 06, 2017 19:09:22:267000	127.0.0.1-9557	[(220, 256), (220, 256), (231, 263), (224, 263), [640, 480]]
June 06, 2017 19:09:25:616000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 19:09:26:924000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 19:09:26:931000	127.0.0.1-9557	[224, 263]
June 06, 2017 19:09:26:934000	127.0.0.1-9557	[(220, 256), (220, 256), (231, 263), (224, 263), [640, 480]]
June 06, 2017 19:09:30:381000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 19:09:31:750000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 19:09:31:753000	127.0.0.1-9557	[224, 263]
June 06, 2017 19:09:31:758000	127.0.0.1-9557	[(220, 256), (220, 256), (231, 263), (224, 263), [640, 480]]
June 06, 2017 19:09:35:520000	127.0.0.1-9557	Adjust table to centre for FindDirectionOfOtherRobotRelativeToTable
June 06, 2017 19:09:36:839000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 06, 2017 19:09:36:843000	127.0.0.1-9557	[224, 263]
June 06, 2017 19:09:36:852000	127.0.0.1-9557	[(220, 256), (220, 256), (231, 263), (224, 263), [640, 480]]
