May 31, 2017 06:23:03:046000		MOVE  NAO
May 31, 2017 06:23:08:897000	127.0.0.1-9557	SendMessage
May 31, 2017 06:23:08:899000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 06:23:08:901000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 06:23:08:944000	127.0.0.1-9557	read messages
May 31, 2017 06:23:08:951000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
May 31, 2017 06:23:11:620000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 06:23:13:036000	127.0.0.1-9557	mask sizes
May 31, 2017 06:23:13:043000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 06:23:13:070000	127.0.0.1-9557	left value Y
May 31, 2017 06:23:13:076000	127.0.0.1-9557	166
May 31, 2017 06:23:13:087000	127.0.0.1-9557	Y values left mid right
May 31, 2017 06:23:13:115000	127.0.0.1-9557	166
May 31, 2017 06:23:13:117000	127.0.0.1-9557	-1
May 31, 2017 06:23:13:119000	127.0.0.1-9557	-1
May 31, 2017 06:23:18:238000	127.0.0.1-9557	mask sizes
May 31, 2017 06:23:18:244000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 06:23:18:263000	127.0.0.1-9557	left value Y
May 31, 2017 06:23:18:265000	127.0.0.1-9557	170
May 31, 2017 06:23:18:274000	127.0.0.1-9557	Y values left mid right
May 31, 2017 06:23:18:278000	127.0.0.1-9557	170
May 31, 2017 06:23:18:282000	127.0.0.1-9557	-1
May 31, 2017 06:23:18:285000	127.0.0.1-9557	-1
May 31, 2017 06:23:23:279000	127.0.0.1-9557	mask sizes
May 31, 2017 06:23:23:283000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 06:23:23:295000	127.0.0.1-9557	left value Y
May 31, 2017 06:23:23:298000	127.0.0.1-9557	158
May 31, 2017 06:23:23:304000	127.0.0.1-9557	Y values left mid right
May 31, 2017 06:23:23:306000	127.0.0.1-9557	158
May 31, 2017 06:23:23:308000	127.0.0.1-9557	-1
May 31, 2017 06:23:23:310000	127.0.0.1-9557	-1
