June 01, 2017 06:12:13:190000		MOVE  NAO
June 01, 2017 06:12:18:624000	127.0.0.1-9557	SendMessage
June 01, 2017 06:12:18:628000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 01, 2017 06:12:18:631000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 01, 2017 06:12:18:638000	127.0.0.1-9557	read messages
June 01, 2017 06:12:18:645000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 01, 2017 06:12:21:032000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 01, 2017 06:12:21:035000	127.0.0.1-9557	[316, 111]
June 01, 2017 06:12:21:045000	127.0.0.1-9557	[(304, 92), (316, 88), (331, 95), (316, 111), [640, 480]]
June 01, 2017 06:12:23:957000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:12:23:959000	127.0.0.1-9557	268
June 01, 2017 06:12:23:974000	127.0.0.1-9557	638
June 01, 2017 06:12:23:977000	127.0.0.1-9557	0
June 01, 2017 06:12:23:980000	127.0.0.1-9557	183
June 01, 2017 06:12:23:986000	127.0.0.1-9557	Keep walking until very close to table
June 01, 2017 06:12:27:755000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:12:27:759000	127.0.0.1-9557	260
June 01, 2017 06:12:27:762000	127.0.0.1-9557	638
June 01, 2017 06:12:27:766000	127.0.0.1-9557	0
June 01, 2017 06:12:27:768000	127.0.0.1-9557	183
June 01, 2017 06:12:27:789000	127.0.0.1-9557	mask sizes
June 01, 2017 06:12:27:791000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:12:27:800000	127.0.0.1-9557	left value Y
June 01, 2017 06:12:27:802000	127.0.0.1-9557	178
June 01, 2017 06:12:27:803000	127.0.0.1-9557	left value Y
June 01, 2017 06:12:27:804000	127.0.0.1-9557	178
June 01, 2017 06:12:27:806000	127.0.0.1-9557	left value Y
June 01, 2017 06:12:27:810000	127.0.0.1-9557	174
June 01, 2017 06:12:27:829000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 01, 2017 06:12:38:735000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:12:38:738000	127.0.0.1-9557	-1
June 01, 2017 06:12:38:741000	127.0.0.1-9557	-1
June 01, 2017 06:12:38:743000	127.0.0.1-9557	-1
June 01, 2017 06:12:38:747000	127.0.0.1-9557	-1
June 01, 2017 06:12:47:796000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:12:47:800000	127.0.0.1-9557	-1
June 01, 2017 06:12:47:802000	127.0.0.1-9557	-1
June 01, 2017 06:12:47:805000	127.0.0.1-9557	-1
June 01, 2017 06:12:47:807000	127.0.0.1-9557	-1
June 01, 2017 06:12:57:069000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:12:57:073000	127.0.0.1-9557	-1
June 01, 2017 06:12:57:078000	127.0.0.1-9557	-1
June 01, 2017 06:12:57:081000	127.0.0.1-9557	-1
June 01, 2017 06:12:57:083000	127.0.0.1-9557	-1
June 01, 2017 06:13:06:501000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:13:06:518000	127.0.0.1-9557	-1
June 01, 2017 06:13:06:528000	127.0.0.1-9557	-1
June 01, 2017 06:13:06:533000	127.0.0.1-9557	-1
June 01, 2017 06:13:06:538000	127.0.0.1-9557	-1
June 01, 2017 06:13:16:020000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:13:16:023000	127.0.0.1-9557	-1
June 01, 2017 06:13:16:025000	127.0.0.1-9557	-1
June 01, 2017 06:13:16:028000	127.0.0.1-9557	-1
June 01, 2017 06:13:16:031000	127.0.0.1-9557	-1
June 01, 2017 06:13:25:714000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:13:25:719000	127.0.0.1-9557	344
June 01, 2017 06:13:25:725000	127.0.0.1-9557	631
June 01, 2017 06:13:25:728000	127.0.0.1-9557	0
June 01, 2017 06:13:25:731000	127.0.0.1-9557	19
June 01, 2017 06:13:35:543000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:13:35:552000	127.0.0.1-9557	364
June 01, 2017 06:13:35:557000	127.0.0.1-9557	638
June 01, 2017 06:13:35:574000	127.0.0.1-9557	0
June 01, 2017 06:13:35:578000	127.0.0.1-9557	131
June 01, 2017 06:13:45:081000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:13:45:083000	127.0.0.1-9557	360
June 01, 2017 06:13:45:090000	127.0.0.1-9557	638
June 01, 2017 06:13:45:093000	127.0.0.1-9557	0
June 01, 2017 06:13:45:102000	127.0.0.1-9557	227
June 01, 2017 06:14:02:332000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:14:02:342000	127.0.0.1-9557	0
June 01, 2017 06:14:02:362000	127.0.0.1-9557	638
June 01, 2017 06:14:02:378000	127.0.0.1-9557	0
June 01, 2017 06:14:02:382000	127.0.0.1-9557	207
