May 31, 2017 05:12:52:779000		MOVE  NAO
May 31, 2017 05:12:58:418000	127.0.0.1-9557	SendMessage
May 31, 2017 05:12:58:461000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 05:12:58:502000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 05:12:58:780000	127.0.0.1-9557	read messages
May 31, 2017 05:12:58:987000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
May 31, 2017 05:13:03:589000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 05:13:03:593000	127.0.0.1-9557	[280, 95]
May 31, 2017 05:13:03:595000	127.0.0.1-9557	[(264, 76), (280, 72), (295, 79), (280, 95), [640, 480]]
May 31, 2017 05:13:03:872000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 05:13:05:315000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 05:13:05:317000	127.0.0.1-9557	[408, 47]
May 31, 2017 05:13:05:320000	127.0.0.1-9557	[(392, 32), (404, 28), (423, 35), (408, 47), [640, 480]]
May 31, 2017 05:13:05:353000	127.0.0.1-9557	mask sizes
May 31, 2017 05:13:05:359000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 05:13:05:379000	127.0.0.1-9557	left value Y
May 31, 2017 05:13:05:384000	127.0.0.1-9557	166
May 31, 2017 05:13:05:395000	127.0.0.1-9557	left value Y
May 31, 2017 05:13:05:398000	127.0.0.1-9557	162
May 31, 2017 05:13:05:403000	127.0.0.1-9557	left value Y
May 31, 2017 05:13:05:422000	127.0.0.1-9557	154
May 31, 2017 05:13:10:901000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 05:13:10:903000	127.0.0.1-9557	[456, 51]
May 31, 2017 05:13:10:906000	127.0.0.1-9557	[(444, 36), (447, 35), (463, 39), (456, 51), [640, 480]]
May 31, 2017 05:13:11:013000	127.0.0.1-9557	mask sizes
May 31, 2017 05:13:11:015000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 05:13:11:029000	127.0.0.1-9557	left value Y
May 31, 2017 05:13:11:034000	127.0.0.1-9557	170
May 31, 2017 05:13:11:037000	127.0.0.1-9557	left value Y
May 31, 2017 05:13:11:043000	127.0.0.1-9557	170
May 31, 2017 05:13:11:047000	127.0.0.1-9557	left value Y
May 31, 2017 05:13:11:051000	127.0.0.1-9557	166
May 31, 2017 05:13:11:103000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
May 31, 2017 05:13:35:855000	127.0.0.1-9557	>>left most x and right most x points
May 31, 2017 05:13:35:858000	127.0.0.1-9557	0
May 31, 2017 05:13:35:861000	127.0.0.1-9557	0
May 31, 2017 05:14:15:433000	127.0.0.1-9557	>>left most x and right most x points
May 31, 2017 05:14:15:476000	127.0.0.1-9557	0
May 31, 2017 05:14:15:478000	127.0.0.1-9557	0
May 31, 2017 05:14:57:141000	127.0.0.1-9557	>>left most x and right most x points
May 31, 2017 05:14:57:170000	127.0.0.1-9557	0
May 31, 2017 05:14:57:184000	127.0.0.1-9557	0
May 31, 2017 05:15:39:565000	127.0.0.1-9557	>>left most x and right most x points
May 31, 2017 05:15:39:582000	127.0.0.1-9557	0
May 31, 2017 05:15:39:615000	127.0.0.1-9557	0
