May 31, 2017 22:30:36:694000		MOVE  NAO
May 31, 2017 22:30:42:364000	127.0.0.1-9557	SendMessage
May 31, 2017 22:30:42:366000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 22:30:42:368000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 22:30:42:436000	127.0.0.1-9557	read messages
May 31, 2017 22:30:42:446000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
May 31, 2017 22:30:45:256000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 22:30:45:258000	127.0.0.1-9557	[380, 75]
May 31, 2017 22:30:45:261000	127.0.0.1-9557	[(363, 59), (364, 56), (395, 63), (380, 75), [640, 480]]
May 31, 2017 22:30:48:225000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:30:48:228000	127.0.0.1-9557	236
May 31, 2017 22:30:48:231000	127.0.0.1-9557	638
May 31, 2017 22:30:48:233000	127.0.0.1-9557	0
May 31, 2017 22:30:48:235000	127.0.0.1-9557	179
May 31, 2017 22:30:48:240000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 22:30:52:552000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:30:52:555000	127.0.0.1-9557	228
May 31, 2017 22:30:52:558000	127.0.0.1-9557	638
May 31, 2017 22:30:52:562000	127.0.0.1-9557	0
May 31, 2017 22:30:52:565000	127.0.0.1-9557	175
May 31, 2017 22:30:52:591000	127.0.0.1-9557	mask sizes
May 31, 2017 22:30:52:593000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:30:52:615000	127.0.0.1-9557	left value Y
May 31, 2017 22:30:52:623000	127.0.0.1-9557	166
May 31, 2017 22:30:52:627000	127.0.0.1-9557	left value Y
May 31, 2017 22:30:52:634000	127.0.0.1-9557	166
May 31, 2017 22:30:52:642000	127.0.0.1-9557	left value Y
May 31, 2017 22:30:52:658000	127.0.0.1-9557	154
May 31, 2017 22:31:00:777000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:31:00:785000	127.0.0.1-9557	152
May 31, 2017 22:31:00:787000	127.0.0.1-9557	638
May 31, 2017 22:31:00:789000	127.0.0.1-9557	0
May 31, 2017 22:31:00:792000	127.0.0.1-9557	179
May 31, 2017 22:31:00:887000	127.0.0.1-9557	mask sizes
May 31, 2017 22:31:00:893000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:31:00:925000	127.0.0.1-9557	left value Y
May 31, 2017 22:31:00:932000	127.0.0.1-9557	170
May 31, 2017 22:31:00:940000	127.0.0.1-9557	left value Y
May 31, 2017 22:31:00:945000	127.0.0.1-9557	166
May 31, 2017 22:31:00:949000	127.0.0.1-9557	left value Y
May 31, 2017 22:31:00:952000	127.0.0.1-9557	162
May 31, 2017 22:31:01:098000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
May 31, 2017 22:31:11:954000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:31:11:956000	127.0.0.1-9557	-1
May 31, 2017 22:31:11:960000	127.0.0.1-9557	-1
May 31, 2017 22:31:11:963000	127.0.0.1-9557	-1
May 31, 2017 22:31:11:970000	127.0.0.1-9557	-1
May 31, 2017 22:31:23:107000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:31:23:117000	127.0.0.1-9557	-1
May 31, 2017 22:31:23:123000	127.0.0.1-9557	-1
May 31, 2017 22:31:23:126000	127.0.0.1-9557	-1
May 31, 2017 22:31:23:137000	127.0.0.1-9557	-1
May 31, 2017 22:31:33:532000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:31:33:535000	127.0.0.1-9557	-1
May 31, 2017 22:31:33:537000	127.0.0.1-9557	-1
May 31, 2017 22:31:33:540000	127.0.0.1-9557	-1
May 31, 2017 22:31:33:542000	127.0.0.1-9557	-1
May 31, 2017 22:31:43:541000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:31:43:543000	127.0.0.1-9557	88
May 31, 2017 22:31:43:546000	127.0.0.1-9557	638
May 31, 2017 22:31:43:547000	127.0.0.1-9557	0
May 31, 2017 22:31:43:549000	127.0.0.1-9557	127
May 31, 2017 22:31:54:237000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:31:54:242000	127.0.0.1-9557	0
May 31, 2017 22:31:54:246000	127.0.0.1-9557	638
May 31, 2017 22:31:54:248000	127.0.0.1-9557	0
May 31, 2017 22:31:54:250000	127.0.0.1-9557	295
May 31, 2017 22:32:05:872000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:32:05:884000	127.0.0.1-9557	476
May 31, 2017 22:32:05:898000	127.0.0.1-9557	638
May 31, 2017 22:32:05:937000	127.0.0.1-9557	128
May 31, 2017 22:32:05:950000	127.0.0.1-9557	447
May 31, 2017 22:32:06:268000	127.0.0.1-9557	164
May 31, 2017 22:32:19:473000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:32:19:475000	127.0.0.1-9557	0
May 31, 2017 22:32:19:478000	127.0.0.1-9557	555
May 31, 2017 22:32:19:487000	127.0.0.1-9557	0
May 31, 2017 22:32:19:492000	127.0.0.1-9557	451
May 31, 2017 22:32:19:497000	127.0.0.1-9557	555
May 31, 2017 22:32:26:314000	127.0.0.1-9557	too much to left: -391
May 31, 2017 22:32:38:472000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:32:38:486000	127.0.0.1-9557	324
May 31, 2017 22:32:38:492000	127.0.0.1-9557	638
May 31, 2017 22:32:38:500000	127.0.0.1-9557	0
May 31, 2017 22:32:38:504000	127.0.0.1-9557	463
May 31, 2017 22:32:38:618000	127.0.0.1-9557	316
May 31, 2017 22:32:51:515000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:32:51:517000	127.0.0.1-9557	0
May 31, 2017 22:32:51:519000	127.0.0.1-9557	559
May 31, 2017 22:32:51:521000	127.0.0.1-9557	0
May 31, 2017 22:32:51:523000	127.0.0.1-9557	467
May 31, 2017 22:32:51:528000	127.0.0.1-9557	559
May 31, 2017 22:32:58:052000	127.0.0.1-9557	too much to left: -243
May 31, 2017 22:33:10:300000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:33:10:302000	127.0.0.1-9557	168
May 31, 2017 22:33:10:303000	127.0.0.1-9557	638
