May 31, 2017 22:30:36:694000		MOVE  NAO
May 31, 2017 22:33:10:305000	127.0.0.1-9557	0
May 31, 2017 22:33:10:307000	127.0.0.1-9557	463
May 31, 2017 22:33:10:312000	127.0.0.1-9557	472
May 31, 2017 22:33:23:232000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:33:23:234000	127.0.0.1-9557	0
May 31, 2017 22:33:23:236000	127.0.0.1-9557	535
May 31, 2017 22:33:23:237000	127.0.0.1-9557	0
May 31, 2017 22:33:23:239000	127.0.0.1-9557	459
May 31, 2017 22:33:23:244000	127.0.0.1-9557	535
May 31, 2017 22:33:29:779000	127.0.0.1-9557	too much to left: -63
May 31, 2017 22:33:41:549000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:33:41:552000	127.0.0.1-9557	104
May 31, 2017 22:33:41:554000	127.0.0.1-9557	638
May 31, 2017 22:33:41:557000	127.0.0.1-9557	0
May 31, 2017 22:33:41:559000	127.0.0.1-9557	459
May 31, 2017 22:33:41:564000	127.0.0.1-9557	536
May 31, 2017 22:33:54:285000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:33:54:287000	127.0.0.1-9557	0
May 31, 2017 22:33:54:291000	127.0.0.1-9557	527
May 31, 2017 22:33:54:293000	127.0.0.1-9557	0
May 31, 2017 22:33:54:296000	127.0.0.1-9557	455
May 31, 2017 22:33:54:303000	127.0.0.1-9557	527
May 31, 2017 22:34:02:354000	127.0.0.1-9557	KEEP WALKING UNTIL OBJECT SEEN BY BOTTOM CAM
May 31, 2017 22:34:02:374000	127.0.0.1-9557	KEEP WALKING UNTIL OBJECT SEEN BY BOTTOM CAM
May 31, 2017 22:34:06:109000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:34:06:112000	127.0.0.1-9557	0
May 31, 2017 22:34:06:116000	127.0.0.1-9557	527
May 31, 2017 22:34:06:118000	127.0.0.1-9557	0
May 31, 2017 22:34:06:120000	127.0.0.1-9557	455
May 31, 2017 22:34:08:814000	127.0.0.1-9557	KEEP WALKING UNTIL OBJECT SEEN BY BOTTOM CAM
May 31, 2017 22:34:12:592000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:34:12:594000	127.0.0.1-9557	0
May 31, 2017 22:34:12:597000	127.0.0.1-9557	638
May 31, 2017 22:34:12:600000	127.0.0.1-9557	0
May 31, 2017 22:34:12:603000	127.0.0.1-9557	478
May 31, 2017 22:34:12:670000	127.0.0.1-9557	CLOSE ENOUGH TO TABLE NOW
May 31, 2017 22:34:16:102000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 22:34:16:106000	127.0.0.1-9557	[620, 395]
May 31, 2017 22:34:16:110000	127.0.0.1-9557	[(544, 384), (571, 351), (623, 395), (620, 395), [640, 480]]
May 31, 2017 22:34:18:803000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:34:18:805000	127.0.0.1-9557	0
May 31, 2017 22:34:18:807000	127.0.0.1-9557	638
May 31, 2017 22:34:18:811000	127.0.0.1-9557	0
May 31, 2017 22:34:18:813000	127.0.0.1-9557	478
May 31, 2017 22:34:18:816000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 22:34:22:792000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:34:22:794000	127.0.0.1-9557	0
May 31, 2017 22:34:22:797000	127.0.0.1-9557	638
May 31, 2017 22:34:22:802000	127.0.0.1-9557	0
May 31, 2017 22:34:22:805000	127.0.0.1-9557	478
May 31, 2017 22:34:22:824000	127.0.0.1-9557	mask sizes
May 31, 2017 22:34:22:827000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:34:22:848000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
