June 03, 2017 19:40:58:024000		MOVE  NAO
June 03, 2017 19:41:03:748000	127.0.0.1-9557	SendMessage
June 03, 2017 19:41:03:755000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 03, 2017 19:41:03:761000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 03, 2017 19:41:03:780000	127.0.0.1-9557	read messages
June 03, 2017 19:41:03:848000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 03, 2017 19:41:06:990000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 03, 2017 19:41:06:994000	127.0.0.1-9557	[128, 19]
June 03, 2017 19:41:06:998000	127.0.0.1-9557	[(128, 16), (139, 7), (147, 11), (128, 19), [640, 480]]
June 03, 2017 19:41:10:116000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:41:10:118000	127.0.0.1-9557	0
June 03, 2017 19:41:10:120000	127.0.0.1-9557	435
June 03, 2017 19:41:10:121000	127.0.0.1-9557	0
June 03, 2017 19:41:10:125000	127.0.0.1-9557	111
June 03, 2017 19:41:10:134000	127.0.0.1-9557	Keep walking until very close to table
June 03, 2017 19:41:13:918000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:41:13:922000	127.0.0.1-9557	0
June 03, 2017 19:41:13:924000	127.0.0.1-9557	435
June 03, 2017 19:41:13:927000	127.0.0.1-9557	0
June 03, 2017 19:41:13:930000	127.0.0.1-9557	111
June 03, 2017 19:41:13:957000	127.0.0.1-9557	mask sizes
June 03, 2017 19:41:13:961000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:41:13:976000	127.0.0.1-9557	left value Y
June 03, 2017 19:41:13:978000	127.0.0.1-9557	86
June 03, 2017 19:41:13:986000	127.0.0.1-9557	left value Y
June 03, 2017 19:41:13:996000	127.0.0.1-9557	78
June 03, 2017 19:41:14:000000	127.0.0.1-9557	left value Y
June 03, 2017 19:41:14:003000	127.0.0.1-9557	74
June 03, 2017 19:41:20:162000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:41:20:164000	127.0.0.1-9557	0
June 03, 2017 19:41:20:166000	127.0.0.1-9557	395
June 03, 2017 19:41:20:167000	127.0.0.1-9557	0
June 03, 2017 19:41:20:169000	127.0.0.1-9557	111
June 03, 2017 19:41:20:192000	127.0.0.1-9557	mask sizes
June 03, 2017 19:41:20:196000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:41:20:221000	127.0.0.1-9557	left value Y
June 03, 2017 19:41:20:230000	127.0.0.1-9557	90
June 03, 2017 19:41:20:235000	127.0.0.1-9557	left value Y
June 03, 2017 19:41:20:238000	127.0.0.1-9557	90
June 03, 2017 19:41:20:244000	127.0.0.1-9557	left value Y
June 03, 2017 19:41:20:249000	127.0.0.1-9557	86
June 03, 2017 19:41:20:271000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 03, 2017 19:41:27:213000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:41:27:216000	127.0.0.1-9557	-1
June 03, 2017 19:41:27:219000	127.0.0.1-9557	-1
June 03, 2017 19:41:27:223000	127.0.0.1-9557	-1
