June 03, 2017 19:40:58:024000		MOVE  NAO
June 03, 2017 19:41:27:225000	127.0.0.1-9557	-1
June 03, 2017 19:41:37:081000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:41:37:083000	127.0.0.1-9557	-1
June 03, 2017 19:41:37:086000	127.0.0.1-9557	-1
June 03, 2017 19:41:37:089000	127.0.0.1-9557	-1
June 03, 2017 19:41:37:093000	127.0.0.1-9557	-1
June 03, 2017 19:41:46:676000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:41:46:691000	127.0.0.1-9557	-1
June 03, 2017 19:41:46:700000	127.0.0.1-9557	-1
June 03, 2017 19:41:46:703000	127.0.0.1-9557	-1
June 03, 2017 19:41:46:705000	127.0.0.1-9557	-1
June 03, 2017 19:41:56:334000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:41:56:352000	127.0.0.1-9557	-1
June 03, 2017 19:41:56:373000	127.0.0.1-9557	-1
June 03, 2017 19:41:56:409000	127.0.0.1-9557	-1
June 03, 2017 19:41:56:425000	127.0.0.1-9557	-1
June 03, 2017 19:42:06:124000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:42:06:147000	127.0.0.1-9557	276
June 03, 2017 19:42:06:150000	127.0.0.1-9557	479
June 03, 2017 19:42:06:186000	127.0.0.1-9557	0
June 03, 2017 19:42:06:205000	127.0.0.1-9557	27
June 03, 2017 19:42:15:270000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:42:15:279000	127.0.0.1-9557	36
June 03, 2017 19:42:15:284000	127.0.0.1-9557	543
June 03, 2017 19:42:15:292000	127.0.0.1-9557	0
June 03, 2017 19:42:15:298000	127.0.0.1-9557	75
June 03, 2017 19:42:24:302000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:42:24:304000	127.0.0.1-9557	0
June 03, 2017 19:42:24:307000	127.0.0.1-9557	607
June 03, 2017 19:42:24:311000	127.0.0.1-9557	0
June 03, 2017 19:42:24:314000	127.0.0.1-9557	135
June 03, 2017 19:42:33:265000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:42:33:268000	127.0.0.1-9557	0
June 03, 2017 19:42:33:281000	127.0.0.1-9557	638
June 03, 2017 19:42:33:281000	127.0.0.1-9557	0
June 03, 2017 19:42:33:281000	127.0.0.1-9557	183
June 03, 2017 19:42:42:222000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:42:42:236000	127.0.0.1-9557	0
June 03, 2017 19:42:42:253000	127.0.0.1-9557	638
June 03, 2017 19:42:42:256000	127.0.0.1-9557	0
June 03, 2017 19:42:42:260000	127.0.0.1-9557	271
June 03, 2017 19:42:50:747000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 03, 2017 19:42:50:751000	127.0.0.1-9557	[592, 171]
June 03, 2017 19:42:50:754000	127.0.0.1-9557	[(587, 155), (607, 91), (638, 115), (592, 171), [640, 480]]
June 03, 2017 19:42:53:741000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:42:53:748000	127.0.0.1-9557	0
June 03, 2017 19:42:53:751000	127.0.0.1-9557	638
June 03, 2017 19:42:53:758000	127.0.0.1-9557	0
June 03, 2017 19:42:53:761000	127.0.0.1-9557	271
June 03, 2017 19:42:53:792000	127.0.0.1-9557	Keep walking until very close to table
June 03, 2017 19:42:57:740000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:42:57:744000	127.0.0.1-9557	0
June 03, 2017 19:42:57:746000	127.0.0.1-9557	638
June 03, 2017 19:42:57:748000	127.0.0.1-9557	0
June 03, 2017 19:42:57:751000	127.0.0.1-9557	271
June 03, 2017 19:42:57:773000	127.0.0.1-9557	mask sizes
June 03, 2017 19:42:57:775000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:42:57:782000	127.0.0.1-9557	One of the vertical positions not found AlignBodyHorizontallyWithTable
June 03, 2017 19:43:06:750000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:43:06:754000	127.0.0.1-9557	76
June 03, 2017 19:43:06:757000	127.0.0.1-9557	638
June 03, 2017 19:43:06:760000	127.0.0.1-9557	132
June 03, 2017 19:43:06:764000	127.0.0.1-9557	478
June 03, 2017 19:43:06:776000	127.0.0.1-9557	564
June 03, 2017 19:43:19:848000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:43:19:855000	127.0.0.1-9557	0
June 03, 2017 19:43:19:857000	127.0.0.1-9557	291
June 03, 2017 19:43:19:859000	127.0.0.1-9557	12
June 03, 2017 19:43:19:861000	127.0.0.1-9557	478
June 03, 2017 19:43:20:082000	127.0.0.1-9557	291
June 03, 2017 19:43:28:279000	127.0.0.1-9557	too much to right: 273
June 03, 2017 19:43:37:600000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 03, 2017 19:43:37:605000	127.0.0.1-9557	[536, 223]
June 03, 2017 19:43:37:613000	127.0.0.1-9557	[(535, 211), (548, 156), (556, 204), (536, 223), [640, 480]]
June 03, 2017 19:43:40:636000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:43:40:639000	127.0.0.1-9557	0
June 03, 2017 19:43:40:650000	127.0.0.1-9557	638
June 03, 2017 19:43:40:664000	127.0.0.1-9557	0
June 03, 2017 19:43:40:676000	127.0.0.1-9557	351
June 03, 2017 19:43:40:807000	127.0.0.1-9557	Keep walking until very close to table
June 03, 2017 19:43:44:717000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:43:44:720000	127.0.0.1-9557	0
June 03, 2017 19:43:44:725000	127.0.0.1-9557	638
June 03, 2017 19:43:44:728000	127.0.0.1-9557	0
June 03, 2017 19:43:44:732000	127.0.0.1-9557	351
June 03, 2017 19:43:44:761000	127.0.0.1-9557	mask sizes
June 03, 2017 19:43:44:764000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:43:44:776000	127.0.0.1-9557	left value Y
June 03, 2017 19:43:44:781000	127.0.0.1-9557	330
June 03, 2017 19:43:44:785000	127.0.0.1-9557	left value Y
June 03, 2017 19:43:44:788000	127.0.0.1-9557	326
June 03, 2017 19:43:44:793000	127.0.0.1-9557	left value Y
June 03, 2017 19:43:44:798000	127.0.0.1-9557	314
June 03, 2017 19:43:51:004000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:43:51:009000	127.0.0.1-9557	0
June 03, 2017 19:43:51:013000	127.0.0.1-9557	638
June 03, 2017 19:43:51:016000	127.0.0.1-9557	0
June 03, 2017 19:43:51:020000	127.0.0.1-9557	319
June 03, 2017 19:43:51:052000	127.0.0.1-9557	mask sizes
June 03, 2017 19:43:51:055000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:43:51:075000	127.0.0.1-9557	left value Y
June 03, 2017 19:43:51:078000	127.0.0.1-9557	302
June 03, 2017 19:43:51:080000	127.0.0.1-9557	left value Y
June 03, 2017 19:43:51:083000	127.0.0.1-9557	302
June 03, 2017 19:43:51:085000	127.0.0.1-9557	left value Y
June 03, 2017 19:43:51:088000	127.0.0.1-9557	294
June 03, 2017 19:43:57:452000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:43:57:455000	127.0.0.1-9557	0
June 03, 2017 19:43:57:461000	127.0.0.1-9557	638
June 03, 2017 19:43:57:464000	127.0.0.1-9557	0
June 03, 2017 19:43:57:466000	127.0.0.1-9557	303
June 03, 2017 19:43:57:491000	127.0.0.1-9557	mask sizes
June 03, 2017 19:43:57:497000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:43:57:504000	127.0.0.1-9557	left value Y
June 03, 2017 19:43:57:506000	127.0.0.1-9557	290
June 03, 2017 19:43:57:510000	127.0.0.1-9557	left value Y
June 03, 2017 19:43:57:513000	127.0.0.1-9557	278
June 03, 2017 19:43:57:519000	127.0.0.1-9557	left value Y
June 03, 2017 19:43:57:530000	127.0.0.1-9557	274
June 03, 2017 19:44:04:149000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:44:04:154000	127.0.0.1-9557	0
June 03, 2017 19:44:04:157000	127.0.0.1-9557	638
June 03, 2017 19:44:04:162000	127.0.0.1-9557	0
June 03, 2017 19:44:04:167000	127.0.0.1-9557	279
June 03, 2017 19:44:04:199000	127.0.0.1-9557	mask sizes
June 03, 2017 19:44:04:204000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:44:04:234000	127.0.0.1-9557	left value Y
June 03, 2017 19:44:04:236000	127.0.0.1-9557	270
June 03, 2017 19:44:04:251000	127.0.0.1-9557	left value Y
June 03, 2017 19:44:04:252000	127.0.0.1-9557	266
June 03, 2017 19:44:04:256000	127.0.0.1-9557	left value Y
June 03, 2017 19:44:04:262000	127.0.0.1-9557	266
June 03, 2017 19:44:04:292000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 03, 2017 19:44:13:196000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:44:13:199000	127.0.0.1-9557	0
June 03, 2017 19:44:13:205000	127.0.0.1-9557	638
June 03, 2017 19:44:13:208000	127.0.0.1-9557	140
June 03, 2017 19:44:13:211000	127.0.0.1-9557	478
June 03, 2017 19:44:13:217000	127.0.0.1-9557	640
June 03, 2017 19:44:26:082000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:44:26:086000	127.0.0.1-9557	0
June 03, 2017 19:44:26:089000	127.0.0.1-9557	211
June 03, 2017 19:44:26:092000	127.0.0.1-9557	76
June 03, 2017 19:44:26:094000	127.0.0.1-9557	478
June 03, 2017 19:44:26:102000	127.0.0.1-9557	211
June 03, 2017 19:44:34:607000	127.0.0.1-9557	too much to right: 429
June 03, 2017 19:44:43:973000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 03, 2017 19:44:43:976000	127.0.0.1-9557	[176, 171]
June 03, 2017 19:44:43:981000	127.0.0.1-9557	[(172, 152), (192, 100), (199, 147), (176, 171), [640, 480]]
June 03, 2017 19:44:46:948000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:44:46:964000	127.0.0.1-9557	0
June 03, 2017 19:44:46:988000	127.0.0.1-9557	638
June 03, 2017 19:44:47:004000	127.0.0.1-9557	0
June 03, 2017 19:44:47:020000	127.0.0.1-9557	295
June 03, 2017 19:44:47:094000	127.0.0.1-9557	Keep walking until very close to table
June 03, 2017 19:44:50:952000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:44:50:955000	127.0.0.1-9557	0
June 03, 2017 19:44:50:957000	127.0.0.1-9557	638
June 03, 2017 19:44:50:960000	127.0.0.1-9557	0
June 03, 2017 19:44:50:962000	127.0.0.1-9557	295
June 03, 2017 19:44:50:991000	127.0.0.1-9557	mask sizes
June 03, 2017 19:44:50:994000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:44:51:016000	127.0.0.1-9557	left value Y
June 03, 2017 19:44:51:023000	127.0.0.1-9557	262
June 03, 2017 19:44:51:035000	127.0.0.1-9557	left value Y
June 03, 2017 19:44:51:038000	127.0.0.1-9557	258
June 03, 2017 19:44:51:041000	127.0.0.1-9557	left value Y
June 03, 2017 19:44:51:043000	127.0.0.1-9557	250
June 03, 2017 19:44:57:191000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:44:57:193000	127.0.0.1-9557	0
June 03, 2017 19:44:57:196000	127.0.0.1-9557	638
June 03, 2017 19:44:57:198000	127.0.0.1-9557	0
June 03, 2017 19:44:57:201000	127.0.0.1-9557	255
June 03, 2017 19:44:57:225000	127.0.0.1-9557	mask sizes
June 03, 2017 19:44:57:234000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:44:57:250000	127.0.0.1-9557	left value Y
June 03, 2017 19:44:57:255000	127.0.0.1-9557	238
June 03, 2017 19:44:57:258000	127.0.0.1-9557	left value Y
June 03, 2017 19:44:57:264000	127.0.0.1-9557	234
June 03, 2017 19:44:57:268000	127.0.0.1-9557	left value Y
June 03, 2017 19:44:57:272000	127.0.0.1-9557	230
June 03, 2017 19:45:03:513000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:45:03:515000	127.0.0.1-9557	0
June 03, 2017 19:45:03:517000	127.0.0.1-9557	638
June 03, 2017 19:45:03:520000	127.0.0.1-9557	0
June 03, 2017 19:45:03:523000	127.0.0.1-9557	263
June 03, 2017 19:45:03:545000	127.0.0.1-9557	mask sizes
June 03, 2017 19:45:03:546000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:45:03:554000	127.0.0.1-9557	left value Y
June 03, 2017 19:45:03:556000	127.0.0.1-9557	258
June 03, 2017 19:45:03:558000	127.0.0.1-9557	left value Y
June 03, 2017 19:45:03:562000	127.0.0.1-9557	254
June 03, 2017 19:45:03:564000	127.0.0.1-9557	left value Y
June 03, 2017 19:45:03:568000	127.0.0.1-9557	254
June 03, 2017 19:45:03:626000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 03, 2017 19:45:12:466000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:45:12:468000	127.0.0.1-9557	0
June 03, 2017 19:45:12:471000	127.0.0.1-9557	638
June 03, 2017 19:45:12:473000	127.0.0.1-9557	148
June 03, 2017 19:45:12:475000	127.0.0.1-9557	478
June 03, 2017 19:45:12:481000	127.0.0.1-9557	640
June 03, 2017 19:45:25:702000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:45:25:705000	127.0.0.1-9557	0
June 03, 2017 19:45:25:711000	127.0.0.1-9557	407
June 03, 2017 19:45:25:746000	127.0.0.1-9557	80
June 03, 2017 19:45:25:749000	127.0.0.1-9557	478
June 03, 2017 19:45:25:889000	127.0.0.1-9557	407
June 03, 2017 19:45:34:183000	127.0.0.1-9557	too much to right: 233
June 03, 2017 19:45:43:622000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 03, 2017 19:45:43:626000	127.0.0.1-9557	[419, 184]
June 03, 2017 19:45:43:631000	127.0.0.1-9557	[(415, 123), (416, 120), (483, 143), (419, 184), [640, 480]]
June 03, 2017 19:45:46:683000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:45:46:709000	127.0.0.1-9557	0
June 03, 2017 19:45:46:731000	127.0.0.1-9557	638
June 03, 2017 19:45:46:737000	127.0.0.1-9557	0
June 03, 2017 19:45:46:748000	127.0.0.1-9557	283
June 03, 2017 19:45:46:785000	127.0.0.1-9557	Keep walking until very close to table
June 03, 2017 19:45:50:657000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:45:50:660000	127.0.0.1-9557	0
June 03, 2017 19:45:50:663000	127.0.0.1-9557	638
June 03, 2017 19:45:50:665000	127.0.0.1-9557	0
June 03, 2017 19:45:50:667000	127.0.0.1-9557	283
June 03, 2017 19:45:50:690000	127.0.0.1-9557	mask sizes
June 03, 2017 19:45:50:692000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:45:50:701000	127.0.0.1-9557	left value Y
June 03, 2017 19:45:50:704000	127.0.0.1-9557	282
June 03, 2017 19:45:50:707000	127.0.0.1-9557	left value Y
June 03, 2017 19:45:50:710000	127.0.0.1-9557	278
June 03, 2017 19:45:50:712000	127.0.0.1-9557	left value Y
June 03, 2017 19:45:50:713000	127.0.0.1-9557	274
June 03, 2017 19:45:50:744000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 03, 2017 19:46:00:026000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:46:00:033000	127.0.0.1-9557	0
June 03, 2017 19:46:00:036000	127.0.0.1-9557	638
June 03, 2017 19:46:00:043000	127.0.0.1-9557	156
June 03, 2017 19:46:00:052000	127.0.0.1-9557	478
June 03, 2017 19:46:00:088000	127.0.0.1-9557	640
June 03, 2017 19:46:13:100000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:46:13:107000	127.0.0.1-9557	0
June 03, 2017 19:46:13:117000	127.0.0.1-9557	511
June 03, 2017 19:46:13:131000	127.0.0.1-9557	56
June 03, 2017 19:46:13:135000	127.0.0.1-9557	478
June 03, 2017 19:46:13:325000	127.0.0.1-9557	511
June 03, 2017 19:46:21:723000	127.0.0.1-9557	too much to right: 129
June 03, 2017 19:46:31:082000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 03, 2017 19:46:31:092000	127.0.0.1-9557	[216, 187]
June 03, 2017 19:46:31:097000	127.0.0.1-9557	[(215, 171), (227, 59), (247, 71), (216, 187), [640, 480]]
June 03, 2017 19:46:34:068000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:46:34:084000	127.0.0.1-9557	0
June 03, 2017 19:46:34:087000	127.0.0.1-9557	638
June 03, 2017 19:46:34:100000	127.0.0.1-9557	0
June 03, 2017 19:46:34:104000	127.0.0.1-9557	287
June 03, 2017 19:46:34:282000	127.0.0.1-9557	Keep walking until very close to table
June 03, 2017 19:46:38:122000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:46:38:125000	127.0.0.1-9557	0
June 03, 2017 19:46:38:128000	127.0.0.1-9557	638
June 03, 2017 19:46:38:129000	127.0.0.1-9557	0
June 03, 2017 19:46:38:131000	127.0.0.1-9557	287
June 03, 2017 19:46:38:154000	127.0.0.1-9557	mask sizes
June 03, 2017 19:46:38:157000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:46:38:182000	127.0.0.1-9557	left value Y
June 03, 2017 19:46:38:193000	127.0.0.1-9557	282
June 03, 2017 19:46:38:198000	127.0.0.1-9557	left value Y
June 03, 2017 19:46:38:200000	127.0.0.1-9557	278
June 03, 2017 19:46:38:202000	127.0.0.1-9557	left value Y
June 03, 2017 19:46:38:204000	127.0.0.1-9557	278
June 03, 2017 19:46:38:215000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 03, 2017 19:46:47:212000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:46:47:214000	127.0.0.1-9557	0
June 03, 2017 19:46:47:217000	127.0.0.1-9557	638
June 03, 2017 19:46:47:219000	127.0.0.1-9557	164
June 03, 2017 19:46:47:222000	127.0.0.1-9557	478
June 03, 2017 19:46:47:226000	127.0.0.1-9557	640
June 03, 2017 19:47:00:363000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:47:00:371000	127.0.0.1-9557	0
June 03, 2017 19:47:00:400000	127.0.0.1-9557	559
June 03, 2017 19:47:00:402000	127.0.0.1-9557	12
June 03, 2017 19:47:00:404000	127.0.0.1-9557	478
June 03, 2017 19:47:00:561000	127.0.0.1-9557	559
June 03, 2017 19:47:08:936000	127.0.0.1-9557	too much to right: 81
June 03, 2017 19:47:18:263000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 03, 2017 19:47:18:268000	127.0.0.1-9557	[168, 199]
June 03, 2017 19:47:18:276000	127.0.0.1-9557	[(164, 180), (176, 124), (215, 147), (168, 199), [640, 480]]
June 03, 2017 19:47:21:204000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:47:21:210000	127.0.0.1-9557	0
June 03, 2017 19:47:21:216000	127.0.0.1-9557	638
June 03, 2017 19:47:21:218000	127.0.0.1-9557	0
June 03, 2017 19:47:21:232000	127.0.0.1-9557	287
June 03, 2017 19:47:21:465000	127.0.0.1-9557	Keep walking until very close to table
June 03, 2017 19:47:25:338000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:47:25:340000	127.0.0.1-9557	0
June 03, 2017 19:47:25:342000	127.0.0.1-9557	638
June 03, 2017 19:47:25:343000	127.0.0.1-9557	0
June 03, 2017 19:47:25:345000	127.0.0.1-9557	287
June 03, 2017 19:47:25:371000	127.0.0.1-9557	mask sizes
June 03, 2017 19:47:25:376000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:47:25:409000	127.0.0.1-9557	left value Y
June 03, 2017 19:47:25:412000	127.0.0.1-9557	282
June 03, 2017 19:47:25:415000	127.0.0.1-9557	left value Y
June 03, 2017 19:47:25:417000	127.0.0.1-9557	282
June 03, 2017 19:47:25:419000	127.0.0.1-9557	left value Y
June 03, 2017 19:47:25:426000	127.0.0.1-9557	278
June 03, 2017 19:47:25:434000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 03, 2017 19:47:34:361000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:47:34:365000	127.0.0.1-9557	0
June 03, 2017 19:47:34:367000	127.0.0.1-9557	638
June 03, 2017 19:47:34:371000	127.0.0.1-9557	172
June 03, 2017 19:47:34:375000	127.0.0.1-9557	478
June 03, 2017 19:47:34:384000	127.0.0.1-9557	640
June 03, 2017 19:47:47:555000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:47:47:565000	127.0.0.1-9557	0
June 03, 2017 19:47:47:579000	127.0.0.1-9557	595
June 03, 2017 19:47:47:600000	127.0.0.1-9557	40
June 03, 2017 19:47:47:607000	127.0.0.1-9557	478
June 03, 2017 19:47:47:642000	127.0.0.1-9557	595
June 03, 2017 19:47:55:694000	127.0.0.1-9557	KEEP WALKING UNTIL OBJECT SEEN BY BOTTOM CAM
June 03, 2017 19:47:55:705000	127.0.0.1-9557	KEEP WALKING UNTIL OBJECT SEEN BY BOTTOM CAM
June 03, 2017 19:47:59:458000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:47:59:462000	127.0.0.1-9557	0
June 03, 2017 19:47:59:465000	127.0.0.1-9557	439
June 03, 2017 19:47:59:467000	127.0.0.1-9557	0
June 03, 2017 19:47:59:470000	127.0.0.1-9557	339
June 03, 2017 19:48:02:184000	127.0.0.1-9557	KEEP WALKING UNTIL OBJECT SEEN BY BOTTOM CAM
June 03, 2017 19:48:05:941000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:48:05:943000	127.0.0.1-9557	0
June 03, 2017 19:48:05:945000	127.0.0.1-9557	491
June 03, 2017 19:48:05:946000	127.0.0.1-9557	0
June 03, 2017 19:48:05:948000	127.0.0.1-9557	399
June 03, 2017 19:48:08:773000	127.0.0.1-9557	KEEP WALKING UNTIL OBJECT SEEN BY BOTTOM CAM
June 03, 2017 19:48:12:554000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:48:12:557000	127.0.0.1-9557	0
June 03, 2017 19:48:12:561000	127.0.0.1-9557	527
June 03, 2017 19:48:12:563000	127.0.0.1-9557	0
June 03, 2017 19:48:12:566000	127.0.0.1-9557	435
June 03, 2017 19:48:15:370000	127.0.0.1-9557	KEEP WALKING UNTIL OBJECT SEEN BY BOTTOM CAM
June 03, 2017 19:48:19:219000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:48:19:222000	127.0.0.1-9557	0
June 03, 2017 19:48:19:225000	127.0.0.1-9557	635
June 03, 2017 19:48:19:227000	127.0.0.1-9557	0
June 03, 2017 19:48:19:230000	127.0.0.1-9557	478
June 03, 2017 19:48:19:235000	127.0.0.1-9557	CLOSE ENOUGH TO TABLE NOW
June 03, 2017 19:48:22:691000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 03, 2017 19:48:22:694000	127.0.0.1-9557	[464, 443]
June 03, 2017 19:48:22:698000	127.0.0.1-9557	[(392, 428), (416, 388), (467, 443), (464, 443), [640, 480]]
June 03, 2017 19:48:25:699000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:48:25:701000	127.0.0.1-9557	0
June 03, 2017 19:48:25:703000	127.0.0.1-9557	638
June 03, 2017 19:48:25:705000	127.0.0.1-9557	0
June 03, 2017 19:48:25:707000	127.0.0.1-9557	478
June 03, 2017 19:48:25:712000	127.0.0.1-9557	Keep walking until very close to table
June 03, 2017 19:48:29:972000	127.0.0.1-9557	Four extreme points are: 
June 03, 2017 19:48:29:975000	127.0.0.1-9557	0
June 03, 2017 19:48:29:978000	127.0.0.1-9557	638
June 03, 2017 19:48:29:981000	127.0.0.1-9557	0
June 03, 2017 19:48:29:984000	127.0.0.1-9557	478
June 03, 2017 19:48:30:005000	127.0.0.1-9557	mask sizes
June 03, 2017 19:48:30:008000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 03, 2017 19:48:30:016000	127.0.0.1-9557	left value Y
June 03, 2017 19:48:30:020000	127.0.0.1-9557	478
