May 31, 2017 22:18:07:791000		MOVE  NAO
May 31, 2017 22:18:13:237000	127.0.0.1-9557	SendMessage
May 31, 2017 22:18:13:241000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 22:18:13:244000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 22:18:13:248000	127.0.0.1-9557	read messages
May 31, 2017 22:18:13:250000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
May 31, 2017 22:18:15:431000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
May 31, 2017 22:18:15:433000	127.0.0.1-9557	[556, 103]
May 31, 2017 22:18:15:435000	127.0.0.1-9557	[(532, 84), (535, 83), (583, 87), (556, 103), [640, 480]]
May 31, 2017 22:18:18:476000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:18:18:481000	127.0.0.1-9557	256
May 31, 2017 22:18:18:484000	127.0.0.1-9557	638
May 31, 2017 22:18:18:485000	127.0.0.1-9557	0
May 31, 2017 22:18:18:487000	127.0.0.1-9557	183
May 31, 2017 22:18:18:491000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 22:18:22:696000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:18:22:698000	127.0.0.1-9557	252
May 31, 2017 22:18:22:700000	127.0.0.1-9557	638
May 31, 2017 22:18:22:706000	127.0.0.1-9557	0
May 31, 2017 22:18:22:708000	127.0.0.1-9557	183
May 31, 2017 22:18:22:737000	127.0.0.1-9557	mask sizes
May 31, 2017 22:18:22:743000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 22:18:22:756000	127.0.0.1-9557	left value Y
May 31, 2017 22:18:22:763000	127.0.0.1-9557	170
May 31, 2017 22:18:22:768000	127.0.0.1-9557	left value Y
May 31, 2017 22:18:22:771000	127.0.0.1-9557	170
May 31, 2017 22:18:22:779000	127.0.0.1-9557	left value Y
May 31, 2017 22:18:22:783000	127.0.0.1-9557	166
May 31, 2017 22:18:22:796000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
May 31, 2017 22:18:32:597000	127.0.0.1-9557	Four extreme points are: 
May 31, 2017 22:18:32:600000	127.0.0.1-9557	132
May 31, 2017 22:18:32:603000	127.0.0.1-9557	638
May 31, 2017 22:18:32:605000	127.0.0.1-9557	0
