May 31, 2017 19:24:34:852000		MOVE  NAO
May 31, 2017 19:24:40:336000	127.0.0.1-9557	SendMessage
May 31, 2017 19:24:40:338000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 19:24:40:340000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 19:24:40:352000	127.0.0.1-9557	read messages
May 31, 2017 19:24:40:369000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
May 31, 2017 19:24:43:259000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 19:24:44:725000	127.0.0.1-9557	mask sizes
May 31, 2017 19:24:44:734000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:24:44:755000	127.0.0.1-9557	left value Y
May 31, 2017 19:24:44:757000	127.0.0.1-9557	158
May 31, 2017 19:24:44:766000	127.0.0.1-9557	Y values left mid right
May 31, 2017 19:24:44:785000	127.0.0.1-9557	158
May 31, 2017 19:24:44:786000	127.0.0.1-9557	-1
May 31, 2017 19:24:44:788000	127.0.0.1-9557	-1
May 31, 2017 19:24:49:935000	127.0.0.1-9557	mask sizes
May 31, 2017 19:24:49:938000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:24:49:970000	127.0.0.1-9557	left value Y
May 31, 2017 19:24:49:974000	127.0.0.1-9557	154
May 31, 2017 19:24:49:987000	127.0.0.1-9557	Y values left mid right
May 31, 2017 19:24:49:992000	127.0.0.1-9557	154
May 31, 2017 19:24:50:001000	127.0.0.1-9557	-1
May 31, 2017 19:24:50:005000	127.0.0.1-9557	-1
May 31, 2017 19:24:55:074000	127.0.0.1-9557	mask sizes
May 31, 2017 19:24:55:076000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:24:55:094000	127.0.0.1-9557	left value Y
May 31, 2017 19:24:55:097000	127.0.0.1-9557	182
May 31, 2017 19:24:55:101000	127.0.0.1-9557	left value Y
May 31, 2017 19:24:55:105000	127.0.0.1-9557	182
May 31, 2017 19:24:55:109000	127.0.0.1-9557	left value Y
May 31, 2017 19:24:55:111000	127.0.0.1-9557	142
May 31, 2017 19:24:59:947000	127.0.0.1-9557	mask sizes
May 31, 2017 19:24:59:951000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:24:59:967000	127.0.0.1-9557	left value Y
May 31, 2017 19:24:59:970000	127.0.0.1-9557	174
May 31, 2017 19:24:59:973000	127.0.0.1-9557	left value Y
May 31, 2017 19:24:59:976000	127.0.0.1-9557	174
May 31, 2017 19:24:59:982000	127.0.0.1-9557	left value Y
May 31, 2017 19:24:59:983000	127.0.0.1-9557	146
May 31, 2017 19:25:04:880000	127.0.0.1-9557	mask sizes
May 31, 2017 19:25:04:889000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:25:04:908000	127.0.0.1-9557	left value Y
May 31, 2017 19:25:04:911000	127.0.0.1-9557	166
May 31, 2017 19:25:04:916000	127.0.0.1-9557	left value Y
May 31, 2017 19:25:04:919000	127.0.0.1-9557	162
May 31, 2017 19:25:04:922000	127.0.0.1-9557	left value Y
May 31, 2017 19:25:04:925000	127.0.0.1-9557	146
May 31, 2017 19:25:09:830000	127.0.0.1-9557	mask sizes
May 31, 2017 19:25:09:832000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:25:09:847000	127.0.0.1-9557	left value Y
May 31, 2017 19:25:09:849000	127.0.0.1-9557	174
May 31, 2017 19:25:09:854000	127.0.0.1-9557	left value Y
May 31, 2017 19:25:09:860000	127.0.0.1-9557	166
May 31, 2017 19:25:09:864000	127.0.0.1-9557	left value Y
May 31, 2017 19:25:09:868000	127.0.0.1-9557	126
May 31, 2017 19:25:14:842000	127.0.0.1-9557	mask sizes
May 31, 2017 19:25:14:844000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:25:14:855000	127.0.0.1-9557	left value Y
May 31, 2017 19:25:14:858000	127.0.0.1-9557	166
May 31, 2017 19:25:14:862000	127.0.0.1-9557	left value Y
May 31, 2017 19:25:14:866000	127.0.0.1-9557	154
May 31, 2017 19:25:14:869000	127.0.0.1-9557	left value Y
May 31, 2017 19:25:14:871000	127.0.0.1-9557	134
May 31, 2017 19:25:19:752000	127.0.0.1-9557	mask sizes
May 31, 2017 19:25:19:762000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:25:19:796000	127.0.0.1-9557	left value Y
May 31, 2017 19:25:19:800000	127.0.0.1-9557	150
May 31, 2017 19:25:19:802000	127.0.0.1-9557	left value Y
May 31, 2017 19:25:19:805000	127.0.0.1-9557	146
May 31, 2017 19:25:19:808000	127.0.0.1-9557	left value Y
May 31, 2017 19:25:19:811000	127.0.0.1-9557	130
