May 31, 2017 19:14:14:750000		MOVE  NAO
May 31, 2017 19:14:20:188000	127.0.0.1-9557	SendMessage
May 31, 2017 19:14:20:189000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 19:14:20:191000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
May 31, 2017 19:14:20:199000	127.0.0.1-9557	read messages
May 31, 2017 19:14:20:203000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
May 31, 2017 19:14:22:970000	127.0.0.1-9557	Keep walking until very close to table
May 31, 2017 19:14:24:351000	127.0.0.1-9557	mask sizes
May 31, 2017 19:14:24:353000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:14:24:374000	127.0.0.1-9557	left value Y
May 31, 2017 19:14:24:379000	127.0.0.1-9557	166
May 31, 2017 19:14:24:400000	127.0.0.1-9557	Y values left mid right
May 31, 2017 19:14:24:447000	127.0.0.1-9557	166
May 31, 2017 19:14:24:449000	127.0.0.1-9557	-1
May 31, 2017 19:14:24:451000	127.0.0.1-9557	-1
May 31, 2017 19:14:29:600000	127.0.0.1-9557	mask sizes
May 31, 2017 19:14:29:603000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:14:29:617000	127.0.0.1-9557	left value Y
May 31, 2017 19:14:29:621000	127.0.0.1-9557	162
May 31, 2017 19:14:29:631000	127.0.0.1-9557	Y values left mid right
May 31, 2017 19:14:29:635000	127.0.0.1-9557	162
May 31, 2017 19:14:29:638000	127.0.0.1-9557	-1
May 31, 2017 19:14:29:643000	127.0.0.1-9557	-1
May 31, 2017 19:14:34:568000	127.0.0.1-9557	mask sizes
May 31, 2017 19:14:34:572000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:14:34:584000	127.0.0.1-9557	left value Y
May 31, 2017 19:14:34:586000	127.0.0.1-9557	174
May 31, 2017 19:14:34:593000	127.0.0.1-9557	Y values left mid right
May 31, 2017 19:14:34:595000	127.0.0.1-9557	174
May 31, 2017 19:14:34:597000	127.0.0.1-9557	-1
May 31, 2017 19:14:34:598000	127.0.0.1-9557	-1
May 31, 2017 19:14:39:522000	127.0.0.1-9557	mask sizes
May 31, 2017 19:14:39:530000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
May 31, 2017 19:14:39:548000	127.0.0.1-9557	left value Y
May 31, 2017 19:14:39:554000	127.0.0.1-9557	182
May 31, 2017 19:14:39:559000	127.0.0.1-9557	left value Y
May 31, 2017 19:14:39:564000	127.0.0.1-9557	146
May 31, 2017 19:14:39:571000	127.0.0.1-9557	Y values left mid right
May 31, 2017 19:14:39:577000	127.0.0.1-9557	146
May 31, 2017 19:14:39:581000	127.0.0.1-9557	-1
May 31, 2017 19:14:39:584000	127.0.0.1-9557	182
