June 01, 2017 06:02:13:759000		MOVE  NAO
June 01, 2017 06:02:19:629000	127.0.0.1-9557	SendMessage
June 01, 2017 06:02:19:631000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 01, 2017 06:02:19:632000	127.0.0.1-9557	[['127.0.0.1:9557', 'NEW NAO']]
June 01, 2017 06:02:19:637000	127.0.0.1-9557	read messages
June 01, 2017 06:02:19:639000	127.0.0.1-9557	['127.0.0.1:9557', 'NEW NAO']
June 01, 2017 06:02:22:253000	127.0.0.1-9557	PRINTING BOTTOMMOST POINTS BELOW:::::
June 01, 2017 06:02:22:260000	127.0.0.1-9557	[289, 116]
June 01, 2017 06:02:22:267000	127.0.0.1-9557	[(280, 80), (288, 1), (638, 108), (289, 116), [640, 480]]
June 01, 2017 06:02:25:507000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:02:25:512000	127.0.0.1-9557	280
June 01, 2017 06:02:25:529000	127.0.0.1-9557	638
June 01, 2017 06:02:25:533000	127.0.0.1-9557	0
June 01, 2017 06:02:25:536000	127.0.0.1-9557	175
June 01, 2017 06:02:25:548000	127.0.0.1-9557	Keep walking until very close to table
June 01, 2017 06:02:29:430000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:02:29:435000	127.0.0.1-9557	272
June 01, 2017 06:02:29:441000	127.0.0.1-9557	638
June 01, 2017 06:02:29:445000	127.0.0.1-9557	0
June 01, 2017 06:02:29:451000	127.0.0.1-9557	175
June 01, 2017 06:02:29:490000	127.0.0.1-9557	mask sizes
June 01, 2017 06:02:29:493000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:02:29:506000	127.0.0.1-9557	left value Y
June 01, 2017 06:02:29:510000	127.0.0.1-9557	174
June 01, 2017 06:02:29:512000	127.0.0.1-9557	left value Y
June 01, 2017 06:02:29:514000	127.0.0.1-9557	174
June 01, 2017 06:02:29:516000	127.0.0.1-9557	left value Y
June 01, 2017 06:02:29:518000	127.0.0.1-9557	166
June 01, 2017 06:02:37:190000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:02:37:196000	127.0.0.1-9557	208
June 01, 2017 06:02:37:199000	127.0.0.1-9557	638
June 01, 2017 06:02:37:202000	127.0.0.1-9557	0
June 01, 2017 06:02:37:204000	127.0.0.1-9557	179
June 01, 2017 06:02:37:272000	127.0.0.1-9557	mask sizes
June 01, 2017 06:02:37:280000	127.0.0.1-9557	Inside: Looking for y axis ranges on coloured blob
June 01, 2017 06:02:37:310000	127.0.0.1-9557	left value Y
June 01, 2017 06:02:37:321000	127.0.0.1-9557	174
June 01, 2017 06:02:37:324000	127.0.0.1-9557	left value Y
June 01, 2017 06:02:37:327000	127.0.0.1-9557	174
June 01, 2017 06:02:37:331000	127.0.0.1-9557	left value Y
June 01, 2017 06:02:37:333000	127.0.0.1-9557	170
June 01, 2017 06:02:37:464000	127.0.0.1-9557	COMPLETED ** AlignBodyHorizontallyWithTable
June 01, 2017 06:02:48:450000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:02:48:453000	127.0.0.1-9557	-1
June 01, 2017 06:02:48:465000	127.0.0.1-9557	-1
June 01, 2017 06:02:48:468000	127.0.0.1-9557	-1
June 01, 2017 06:02:48:470000	127.0.0.1-9557	-1
June 01, 2017 06:02:57:837000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:02:57:840000	127.0.0.1-9557	-1
June 01, 2017 06:02:57:843000	127.0.0.1-9557	-1
June 01, 2017 06:02:57:845000	127.0.0.1-9557	-1
June 01, 2017 06:02:57:848000	127.0.0.1-9557	-1
June 01, 2017 06:03:07:315000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:03:07:319000	127.0.0.1-9557	-1
