June 01, 2017 06:02:13:759000		MOVE  NAO
June 01, 2017 06:03:07:321000	127.0.0.1-9557	-1
June 01, 2017 06:03:07:323000	127.0.0.1-9557	-1
June 01, 2017 06:03:07:326000	127.0.0.1-9557	-1
June 01, 2017 06:03:16:792000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:03:16:802000	127.0.0.1-9557	-1
June 01, 2017 06:03:16:807000	127.0.0.1-9557	-1
June 01, 2017 06:03:16:821000	127.0.0.1-9557	-1
June 01, 2017 06:03:16:832000	127.0.0.1-9557	-1
June 01, 2017 06:03:26:916000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:03:26:924000	127.0.0.1-9557	-1
June 01, 2017 06:03:26:926000	127.0.0.1-9557	-1
June 01, 2017 06:03:26:940000	127.0.0.1-9557	-1
June 01, 2017 06:03:26:958000	127.0.0.1-9557	-1
June 01, 2017 06:03:36:509000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:03:36:523000	127.0.0.1-9557	100
June 01, 2017 06:03:36:526000	127.0.0.1-9557	638
June 01, 2017 06:03:36:529000	127.0.0.1-9557	0
June 01, 2017 06:03:36:541000	127.0.0.1-9557	127
June 01, 2017 06:03:46:112000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:03:46:125000	127.0.0.1-9557	28
June 01, 2017 06:03:46:132000	127.0.0.1-9557	638
June 01, 2017 06:03:46:138000	127.0.0.1-9557	0
June 01, 2017 06:03:46:140000	127.0.0.1-9557	291
June 01, 2017 06:04:03:025000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:04:03:027000	127.0.0.1-9557	0
June 01, 2017 06:04:03:034000	127.0.0.1-9557	638
June 01, 2017 06:04:03:049000	127.0.0.1-9557	0
June 01, 2017 06:04:03:052000	127.0.0.1-9557	195
June 01, 2017 06:04:12:447000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:04:12:450000	127.0.0.1-9557	0
June 01, 2017 06:04:12:455000	127.0.0.1-9557	638
June 01, 2017 06:04:12:459000	127.0.0.1-9557	0
June 01, 2017 06:04:12:461000	127.0.0.1-9557	343
June 01, 2017 06:04:23:650000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:04:23:654000	127.0.0.1-9557	36
June 01, 2017 06:04:23:683000	127.0.0.1-9557	638
June 01, 2017 06:04:23:690000	127.0.0.1-9557	0
June 01, 2017 06:04:23:693000	127.0.0.1-9557	478
June 01, 2017 06:04:23:733000	127.0.0.1-9557	604
June 01, 2017 06:04:37:386000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:04:37:389000	127.0.0.1-9557	0
June 01, 2017 06:04:37:395000	127.0.0.1-9557	295
June 01, 2017 06:04:37:400000	127.0.0.1-9557	0
June 01, 2017 06:04:37:404000	127.0.0.1-9557	411
June 01, 2017 06:04:37:535000	127.0.0.1-9557	295
June 01, 2017 06:04:45:008000	127.0.0.1-9557	too much to right: 309
June 01, 2017 06:04:57:450000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:04:57:453000	127.0.0.1-9557	112
June 01, 2017 06:04:57:456000	127.0.0.1-9557	638
June 01, 2017 06:04:57:458000	127.0.0.1-9557	0
June 01, 2017 06:04:57:461000	127.0.0.1-9557	478
June 01, 2017 06:04:57:479000	127.0.0.1-9557	528
June 01, 2017 06:05:10:687000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:05:10:689000	127.0.0.1-9557	0
June 01, 2017 06:05:10:691000	127.0.0.1-9557	331
June 01, 2017 06:05:10:693000	127.0.0.1-9557	0
June 01, 2017 06:05:10:695000	127.0.0.1-9557	478
June 01, 2017 06:05:10:699000	127.0.0.1-9557	331
June 01, 2017 06:05:18:050000	127.0.0.1-9557	too much to right: 197
June 01, 2017 06:05:31:292000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:05:31:294000	127.0.0.1-9557	148
June 01, 2017 06:05:31:295000	127.0.0.1-9557	638
June 01, 2017 06:05:31:297000	127.0.0.1-9557	0
June 01, 2017 06:05:31:299000	127.0.0.1-9557	478
June 01, 2017 06:05:31:304000	127.0.0.1-9557	492
June 01, 2017 06:05:44:900000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:05:44:905000	127.0.0.1-9557	0
June 01, 2017 06:05:44:909000	127.0.0.1-9557	335
June 01, 2017 06:05:44:911000	127.0.0.1-9557	0
June 01, 2017 06:05:44:924000	127.0.0.1-9557	478
June 01, 2017 06:05:44:965000	127.0.0.1-9557	335
June 01, 2017 06:05:52:201000	127.0.0.1-9557	too much to right: 157
June 01, 2017 06:06:05:988000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:06:05:990000	127.0.0.1-9557	212
June 01, 2017 06:06:05:992000	127.0.0.1-9557	638
June 01, 2017 06:06:05:995000	127.0.0.1-9557	0
June 01, 2017 06:06:05:997000	127.0.0.1-9557	478
June 01, 2017 06:06:06:678000	127.0.0.1-9557	428
June 01, 2017 06:06:20:723000	127.0.0.1-9557	Four extreme points are: 
June 01, 2017 06:06:20:728000	127.0.0.1-9557	0
June 01, 2017 06:06:20:730000	127.0.0.1-9557	371
June 01, 2017 06:06:20:737000	127.0.0.1-9557	0
June 01, 2017 06:06:20:748000	127.0.0.1-9557	478
June 01, 2017 06:06:20:975000	127.0.0.1-9557	371
